Trial 1: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 64, 'val_acc': 9.589484889156292, 'test_acc': 9.323163507109005}
Trial 2: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'val_acc': 9.589484889156292, 'test_acc': 9.323163507109005}
Trial 3: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'val_acc': 9.584856759383532, 'test_acc': 9.41202606635071}
Trial 4: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'val_acc': 42.129865321423615, 'test_acc': 42.51332938388626}
Trial 5: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'val_acc': 41.69019299301152, 'test_acc': 41.74318720379147}
Trial 6: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'val_acc': 41.81978062664877, 'test_acc': 41.31368483412322}
Trial 7: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'val_acc': 23.409080390614154, 'test_acc': 24.226155213270143}
Trial 8: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 64, 'val_acc': 9.589484889156292, 'test_acc': 9.323163507109005}
Trial 9: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'val_acc': 42.91201925301986, 'test_acc': 42.52443720379147}
Trial 10: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'val_acc': 25.44082936085528, 'test_acc': 25.51095971563981}
Trial 11: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 256, 'val_acc': 9.589484889156292, 'test_acc': 9.323163507109005}
Trial 12: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'val_acc': 9.589484889156292, 'test_acc': 9.323163507109005}
Trial 13: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'val_acc': 9.589484889156292, 'test_acc': 9.323163507109005}
Trial 14: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'val_acc': 9.589484889156292, 'test_acc': 9.323163507109005}
Trial 15: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'val_acc': 40.63497940482251, 'test_acc': 41.33590047393365}
Trial 16: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'val_acc': 39.22339982413107, 'test_acc': 39.858560426540286}
