Trial 1: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'val_acc': 18.258717660292465, 'test_acc': 18.31893448524118}
Trial 2: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'val_acc': 19.739032620922384, 'test_acc': 19.51043916486681}
Trial 3: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'val_acc': 16.260967379077616, 'test_acc': 16.22750179985601}
Trial 4: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'val_acc': 9.264341957255343, 'test_acc': 9.312455003599712}
Trial 5: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'val_acc': 20.089988751406075, 'test_acc': 19.442044636429085}
Trial 6: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'val_acc': 9.264341957255343, 'test_acc': 9.312455003599712}
Trial 7: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 256, 'val_acc': 17.547806524184477, 'test_acc': 16.940244780417565}
Trial 8: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'val_acc': 19.059617547806525, 'test_acc': 18.992080633549318}
Trial 9: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'val_acc': 15.716535433070867, 'test_acc': 15.70194384449244}
Trial 10: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'val_acc': 9.264341957255343, 'test_acc': 9.312455003599712}
Trial 11: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'val_acc': 9.264341957255343, 'test_acc': 9.312455003599712}
Trial 12: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'val_acc': 9.264341957255343, 'test_acc': 9.312455003599712}
Trial 13: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'val_acc': 9.264341957255343, 'test_acc': 9.312455003599712}
Trial 14: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 64, 'val_acc': 9.264341957255343, 'test_acc': 9.312455003599712}
Trial 15: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'val_acc': 9.264341957255343, 'test_acc': 9.312455003599712}
Trial 16: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'val_acc': 9.264341957255343, 'test_acc': 9.312455003599712}
Trial 17: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'val_acc': 15.325084364454444, 'test_acc': 15.52915766738661}
Trial 18: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'val_acc': 9.264341957255343, 'test_acc': 9.312455003599712}
Trial 19: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'val_acc': 9.264341957255343, 'test_acc': 9.312455003599712}
Trial 20: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'val_acc': 9.264341957255343, 'test_acc': 9.312455003599712}
Trial 21: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'val_acc': 16.836895388076492, 'test_acc': 17.06983441324694}
Trial 22: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 64, 'val_acc': 9.264341957255343, 'test_acc': 9.312455003599712}
Trial 23: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'val_acc': 9.264341957255343, 'test_acc': 9.312455003599712}
