Trial 1: {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 21.655484510086456, 'val_acc': 20.040494938132735, 'test_acc': 19.888408927285816}
Trial 2: {'model_dim': 64, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 22.06524675792507, 'val_acc': 20.539932508436447, 'test_acc': 20.04319654427646}
Trial 3: {'model_dim': 64, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 22.339922550432277, 'val_acc': 20.490438695163103, 'test_acc': 20.032397408207345}
Trial 4: {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.295073847262248, 'val_acc': 9.48931383577053, 'test_acc': 9.323254139668826}
Trial 5: {'model_dim': 256, 'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 22.175567363112393, 'val_acc': 20.116985376827895, 'test_acc': 19.88120950323974}
Trial 6: {'model_dim': 256, 'num_heads': 2, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 24.033006123919307, 'val_acc': 19.3970753655793, 'test_acc': 19.182865370770337}
Trial 7: {'model_dim': 128, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 22.414220100864554, 'val_acc': 19.73453318335208, 'test_acc': 19.809215262778977}
Trial 8: {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 19.405169308357348, 'val_acc': 18.84814398200225, 'test_acc': 18.617710583153347}
Trial 9: {'model_dim': 64, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 21.91890309798271, 'val_acc': 20.16647919010124, 'test_acc': 19.600431965442766}
Trial 10: {'model_dim': 128, 'num_heads': 8, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 22.71816462536023, 'val_acc': 20.15748031496063, 'test_acc': 19.852411807055436}
Trial 11: {'model_dim': 128, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 22.73392471181556, 'val_acc': 20.16647919010124, 'test_acc': 19.701223902087833}
