Trial 1: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 10.45298590504451, 'val_acc': 9.344194011200074, 'test_acc': 9.226895734597157}
Trial 2: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 97.12152777777777, 'val_acc': 42.65747211551812, 'test_acc': 41.650622037914694}
Trial 3: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.91087962962963, 'val_acc': 9.469153515064562, 'test_acc': 8.971415876777252}
Trial 4: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.494389836795252, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 5: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 9.500185459940653, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 6: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 93.0324074074074, 'val_acc': 44.19401120007405, 'test_acc': 44.501629146919434}
Trial 7: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 9.76330675074184, 'val_acc': 9.376590919609386, 'test_acc': 9.119520142180095}
Trial 8: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.568287037037036, 'val_acc': 9.59411301892905, 'test_acc': 9.245408767772512}
Trial 9: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 92.33564814814815, 'val_acc': 41.597630397556344, 'test_acc': 41.70986374407583}
Trial 10: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.775462962962964, 'val_acc': 9.316425232563521, 'test_acc': 9.108412322274882}
Trial 11: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.494212962962964, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 12: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.48743508902077, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 13: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 94.45370370370371, 'val_acc': 35.06271115842088, 'test_acc': 34.98222748815166}
Trial 14: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 86.19366654302671, 'val_acc': 42.5695376498357, 'test_acc': 42.55776066350711}
Trial 15: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 92.02314814814815, 'val_acc': 41.11167677141667, 'test_acc': 40.99155805687204}
Trial 16: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.494212962962964, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 17: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.493055555555555, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 18: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 96.03347551928783, 'val_acc': 40.167538297773866, 'test_acc': 40.413951421800945}
Trial 19: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.49537037037037, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 20: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.494212962962964, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 21: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.484953703703704, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 22: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 9.49074074074074, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 23: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.494212962962964, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 24: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.493055555555555, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 25: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.489753338278932, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 26: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 73.65625, 'val_acc': 32.58666172999491, 'test_acc': 32.46815758293839}
Trial 27: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.49537037037037, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 28: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 91.23933605341246, 'val_acc': 44.38376452075716, 'test_acc': 44.53125}
Trial 29: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.502503709198812, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 30: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 9.810830860534125, 'val_acc': 9.635766186883881, 'test_acc': 9.108412322274882}
Trial 31: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 9.611461424332344, 'val_acc': 9.469153515064562, 'test_acc': 9.234300947867299}
Trial 32: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 56.56180452522255, 'val_acc': 27.52811588836951, 'test_acc': 27.158619668246445}
Trial 33: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 92.67129629629629, 'val_acc': 42.8055722682464, 'test_acc': 42.73178317535545}
Trial 34: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 92.89930555555556, 'val_acc': 42.86573795529227, 'test_acc': 42.81324052132702}
Trial 35: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 92.26967592592592, 'val_acc': 41.65779608460221, 'test_acc': 41.376629146919434}
Trial 36: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.487268518518519, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 37: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 91.64699074074075, 'val_acc': 37.839589022076176, 'test_acc': 37.89617890995261}
Trial 38: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 11.565972222222221, 'val_acc': 9.663534965520434, 'test_acc': 9.64529028436019}
Trial 39: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 10.12962962962963, 'val_acc': 9.39973156847318, 'test_acc': 9.300947867298579}
Trial 40: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 94.08796296296296, 'val_acc': 43.97186097098162, 'test_acc': 43.61300355450237}
Trial 41: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.494212962962964, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 42: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 9.490912462908012, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 43: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 10.936342592592593, 'val_acc': 9.737585041884575, 'test_acc': 9.663803317535544}
Trial 44: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.493055555555555, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
Trial 45: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.49074074074074, 'val_acc': 9.612625538020087, 'test_acc': 9.323163507109005}
