数据集路径: E:/rf_datasets_equalize/
===== 随机搜索结果 =====
[组合 1] {'model_dim': 256, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.12% | Val: 11.07% | Test: 11.13%
[组合 2] {'model_dim': 64, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 3] {'model_dim': 64, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 4] {'model_dim': 64, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 5] {'model_dim': 32, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 6] {'model_dim': 128, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 7] {'model_dim': 32, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 8] {'model_dim': 32, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 9] {'model_dim': 32, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 10] {'model_dim': 128, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 11] {'model_dim': 128, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 64, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 12] {'model_dim': 32, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 13] {'model_dim': 64, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 256, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 14] {'model_dim': 64, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 15] {'model_dim': 256, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 16] {'model_dim': 64, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
[组合 17] {'model_dim': 64, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train: 11.11% | Val: 11.11% | Test: 11.11%
