数据集名称: E:/rf_datasets_equalize/
===== 随机搜索结果 =====
[组合 1] 参数: {'model_dim': 256, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.09% | Val Acc: 11.30% | Test Acc: 10.90%
[组合 2] 参数: {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.10% | Val Acc: 11.29% | Test Acc: 11.09%
[组合 3] 参数: {'model_dim': 64, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.11% | Val Acc: 11.11% | Test Acc: 11.10%
[组合 4] 参数: {'model_dim': 64, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.10% | Val Acc: 11.15% | Test Acc: 11.04%
[组合 5] 参数: {'model_dim': 64, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.11% | Val Acc: 11.19% | Test Acc: 11.11%
[组合 6] 参数: {'model_dim': 128, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 256, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.11% | Val Acc: 11.13% | Test Acc: 11.11%
[组合 7] 参数: {'model_dim': 256, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 64, 'learning_rate': 1e-05, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.04% | Val Acc: 11.28% | Test Acc: 10.97%
[组合 8] 参数: {'model_dim': 256, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.11% | Val Acc: 11.20% | Test Acc: 11.09%
[组合 9] 参数: {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 128, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.08% | Val Acc: 11.24% | Test Acc: 11.11%
[组合 10] 参数: {'model_dim': 64, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.14% | Val Acc: 11.22% | Test Acc: 11.11%
[组合 11] 参数: {'model_dim': 64, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.13% | Val Acc: 11.23% | Test Acc: 10.94%
[组合 12] 参数: {'model_dim': 64, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.11% | Val Acc: 11.11% | Test Acc: 11.11%
[组合 13] 参数: {'model_dim': 64, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 64, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.15% | Val Acc: 11.15% | Test Acc: 11.07%
[组合 14] 参数: {'model_dim': 256, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.11% | Val Acc: 11.11% | Test Acc: 11.11%
[组合 15] 参数: {'model_dim': 256, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 1e-05, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.13% | Val Acc: 11.15% | Test Acc: 10.93%
[组合 16] 参数: {'model_dim': 128, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 64, 'learning_rate': 1e-05, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.11% | Val Acc: 11.23% | Test Acc: 11.13%
[组合 17] 参数: {'model_dim': 128, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.11% | Val Acc: 11.20% | Test Acc: 11.11%
[组合 18] 参数: {'model_dim': 128, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.11% | Val Acc: 11.19% | Test Acc: 10.99%
[组合 19] 参数: {'model_dim': 256, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.08% | Val Acc: 11.28% | Test Acc: 11.03%
[组合 20] 参数: {'model_dim': 256, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.11% | Val Acc: 11.11% | Test Acc: 11.11%
[组合 21] 参数: {'model_dim': 64, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 128, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.08% | Val Acc: 11.29% | Test Acc: 10.97%
[组合 22] 参数: {'model_dim': 64, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 64, 'learning_rate': 1e-05, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.11% | Val Acc: 11.31% | Test Acc: 10.78%
[组合 23] 参数: {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.06% | Val Acc: 11.29% | Test Acc: 11.11%
[组合 24] 参数: {'model_dim': 128, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.07% | Val Acc: 11.16% | Test Acc: 11.11%
[组合 25] 参数: {'model_dim': 128, 'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 256, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.14% | Val Acc: 11.15% | Test Acc: 10.82%
[组合 26] 参数: {'model_dim': 64, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.11% | Val Acc: 11.24% | Test Acc: 11.11%
[组合 27] 参数: {'model_dim': 128, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 128, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.17% | Val Acc: 11.09% | Test Acc: 11.31%
[组合 28] 参数: {'model_dim': 64, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.12% | Val Acc: 11.26% | Test Acc: 11.23%
[组合 29] 参数: {'model_dim': 128, 'num_heads': 2, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 128, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.11% | Val Acc: 11.11% | Test Acc: 11.11%
[组合 30] 参数: {'model_dim': 64, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 256, 'learning_rate': 1e-05, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.09% | Val Acc: 11.12% | Test Acc: 11.08%
