Trial 1: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 9.908197329376854, 'val_acc': 9.16369695006248, 'test_acc': 8.867742890995261}
Trial 2: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.5790059347181, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 3: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.587962962962964, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 4: {'num_heads': 2, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.587962962962964, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 5: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.586805555555555, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 6: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 9.589438056379821, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 7: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.585648148148149, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 8: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 88.02160608308606, 'val_acc': 25.385291803582174, 'test_acc': 25.177725118483412}
Trial 9: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 9.583642433234422, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 10: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 9.587962962962964, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 11: {'num_heads': 2, 'num_layers': 2, 'dropout': 0.5, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 21.822916666666668, 'val_acc': 13.31050122645439, 'test_acc': 13.41824644549763}
Trial 12: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 9.58912037037037, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 13: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 64, 'train_acc': 78.79861111111111, 'val_acc': 20.69236821400472, 'test_acc': 21.789840047393366}
Trial 14: {'num_heads': 4, 'num_layers': 1, 'dropout': 0.5, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 64, 'train_acc': 9.587962962962964, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
