Config:
{
  "lr": 0.0003,
  "weight_decay": 1e-05,
  "batch_size": 64,
  "channels": 16,
  "dropout": 0.1,
  "epochs": 200,
  "patience": 10
}

Epoch 1/200 | TrainAcc=33.68% | ValAcc=54.73% | TrainLoss=1.8909 | ValLoss=1.2286
Epoch 2/200 | TrainAcc=58.43% | ValAcc=62.82% | TrainLoss=1.1281 | ValLoss=1.0005
Epoch 3/200 | TrainAcc=66.71% | ValAcc=70.47% | TrainLoss=0.9189 | ValLoss=0.8024
Epoch 4/200 | TrainAcc=71.24% | ValAcc=76.94% | TrainLoss=0.7999 | ValLoss=0.6760
Epoch 5/200 | TrainAcc=73.80% | ValAcc=75.49% | TrainLoss=0.7205 | ValLoss=0.6514
Epoch 6/200 | TrainAcc=75.82% | ValAcc=76.55% | TrainLoss=0.6635 | ValLoss=0.6140
Epoch 7/200 | TrainAcc=77.23% | ValAcc=81.88% | TrainLoss=0.6221 | ValLoss=0.5177
Epoch 8/200 | TrainAcc=78.27% | ValAcc=81.81% | TrainLoss=0.5907 | ValLoss=0.4947
Epoch 9/200 | TrainAcc=78.94% | ValAcc=78.20% | TrainLoss=0.5684 | ValLoss=0.5668
Epoch 10/200 | TrainAcc=79.86% | ValAcc=83.42% | TrainLoss=0.5438 | ValLoss=0.4558
Epoch 11/200 | TrainAcc=80.53% | ValAcc=84.27% | TrainLoss=0.5256 | ValLoss=0.4321
Epoch 12/200 | TrainAcc=80.98% | ValAcc=80.05% | TrainLoss=0.5136 | ValLoss=0.5286
Epoch 13/200 | TrainAcc=81.44% | ValAcc=82.30% | TrainLoss=0.5039 | ValLoss=0.4697
Epoch 14/200 | TrainAcc=81.68% | ValAcc=84.91% | TrainLoss=0.4946 | ValLoss=0.4117
Epoch 15/200 | TrainAcc=82.21% | ValAcc=86.12% | TrainLoss=0.4776 | ValLoss=0.3793
Epoch 16/200 | TrainAcc=82.57% | ValAcc=79.35% | TrainLoss=0.4680 | ValLoss=0.5421
Epoch 17/200 | TrainAcc=82.86% | ValAcc=86.33% | TrainLoss=0.4593 | ValLoss=0.3779
Epoch 18/200 | TrainAcc=83.07% | ValAcc=87.56% | TrainLoss=0.4547 | ValLoss=0.3481
Epoch 19/200 | TrainAcc=83.22% | ValAcc=87.77% | TrainLoss=0.4473 | ValLoss=0.3415
Epoch 20/200 | TrainAcc=83.79% | ValAcc=86.30% | TrainLoss=0.4391 | ValLoss=0.3721
Epoch 21/200 | TrainAcc=83.75% | ValAcc=88.34% | TrainLoss=0.4347 | ValLoss=0.3231
Epoch 22/200 | TrainAcc=84.29% | ValAcc=86.70% | TrainLoss=0.4241 | ValLoss=0.3585
Epoch 23/200 | TrainAcc=84.29% | ValAcc=85.86% | TrainLoss=0.4223 | ValLoss=0.3780
Epoch 24/200 | TrainAcc=84.40% | ValAcc=88.61% | TrainLoss=0.4181 | ValLoss=0.3144
Epoch 25/200 | TrainAcc=84.74% | ValAcc=87.46% | TrainLoss=0.4133 | ValLoss=0.3427
Epoch 26/200 | TrainAcc=84.92% | ValAcc=85.42% | TrainLoss=0.4057 | ValLoss=0.3884
Epoch 27/200 | TrainAcc=85.22% | ValAcc=86.87% | TrainLoss=0.3994 | ValLoss=0.3530
Epoch 28/200 | TrainAcc=85.24% | ValAcc=85.23% | TrainLoss=0.3986 | ValLoss=0.3950
Epoch 29/200 | TrainAcc=85.39% | ValAcc=89.85% | TrainLoss=0.3926 | ValLoss=0.2897
Epoch 30/200 | TrainAcc=85.60% | ValAcc=89.24% | TrainLoss=0.3899 | ValLoss=0.2974
Epoch 31/200 | TrainAcc=86.27% | ValAcc=89.83% | TrainLoss=0.3710 | ValLoss=0.2815
Epoch 32/200 | TrainAcc=86.21% | ValAcc=90.46% | TrainLoss=0.3727 | ValLoss=0.2706
Epoch 33/200 | TrainAcc=86.23% | ValAcc=89.34% | TrainLoss=0.3712 | ValLoss=0.2917
Epoch 34/200 | TrainAcc=86.45% | ValAcc=89.90% | TrainLoss=0.3692 | ValLoss=0.2824
Epoch 35/200 | TrainAcc=86.34% | ValAcc=90.35% | TrainLoss=0.3678 | ValLoss=0.2751
Epoch 36/200 | TrainAcc=86.49% | ValAcc=90.32% | TrainLoss=0.3663 | ValLoss=0.2706
Epoch 37/200 | TrainAcc=86.59% | ValAcc=89.87% | TrainLoss=0.3625 | ValLoss=0.2839
Epoch 38/200 | TrainAcc=86.64% | ValAcc=90.41% | TrainLoss=0.3651 | ValLoss=0.2691
Epoch 39/200 | TrainAcc=86.80% | ValAcc=89.35% | TrainLoss=0.3608 | ValLoss=0.2935
Epoch 40/200 | TrainAcc=86.73% | ValAcc=90.54% | TrainLoss=0.3578 | ValLoss=0.2657
Epoch 41/200 | TrainAcc=87.03% | ValAcc=89.93% | TrainLoss=0.3565 | ValLoss=0.2739
Epoch 42/200 | TrainAcc=86.91% | ValAcc=90.79% | TrainLoss=0.3579 | ValLoss=0.2621
Epoch 43/200 | TrainAcc=87.01% | ValAcc=89.58% | TrainLoss=0.3575 | ValLoss=0.2906
Epoch 44/200 | TrainAcc=87.20% | ValAcc=90.32% | TrainLoss=0.3512 | ValLoss=0.2709
Epoch 45/200 | TrainAcc=87.06% | ValAcc=90.47% | TrainLoss=0.3498 | ValLoss=0.2694
Epoch 46/200 | TrainAcc=87.12% | ValAcc=90.46% | TrainLoss=0.3490 | ValLoss=0.2677
Epoch 47/200 | TrainAcc=87.20% | ValAcc=90.83% | TrainLoss=0.3462 | ValLoss=0.2587
Epoch 48/200 | TrainAcc=87.05% | ValAcc=89.89% | TrainLoss=0.3498 | ValLoss=0.2786
Epoch 49/200 | TrainAcc=87.29% | ValAcc=86.54% | TrainLoss=0.3463 | ValLoss=0.3500
Epoch 50/200 | TrainAcc=87.34% | ValAcc=91.06% | TrainLoss=0.3430 | ValLoss=0.2557
Epoch 51/200 | TrainAcc=87.33% | ValAcc=90.33% | TrainLoss=0.3424 | ValLoss=0.2726
Epoch 52/200 | TrainAcc=87.51% | ValAcc=90.95% | TrainLoss=0.3388 | ValLoss=0.2556
Epoch 53/200 | TrainAcc=87.57% | ValAcc=91.37% | TrainLoss=0.3367 | ValLoss=0.2441
Epoch 54/200 | TrainAcc=87.64% | ValAcc=90.80% | TrainLoss=0.3377 | ValLoss=0.2596
Epoch 55/200 | TrainAcc=87.74% | ValAcc=90.01% | TrainLoss=0.3388 | ValLoss=0.2786
Epoch 56/200 | TrainAcc=87.65% | ValAcc=91.24% | TrainLoss=0.3368 | ValLoss=0.2459
Epoch 57/200 | TrainAcc=87.70% | ValAcc=91.15% | TrainLoss=0.3361 | ValLoss=0.2540
Epoch 58/200 | TrainAcc=87.73% | ValAcc=90.53% | TrainLoss=0.3337 | ValLoss=0.2625
Epoch 59/200 | TrainAcc=87.70% | ValAcc=91.42% | TrainLoss=0.3307 | ValLoss=0.2404
Epoch 60/200 | TrainAcc=87.91% | ValAcc=91.32% | TrainLoss=0.3326 | ValLoss=0.2511
Epoch 61/200 | TrainAcc=88.13% | ValAcc=91.93% | TrainLoss=0.3247 | ValLoss=0.2306
Epoch 62/200 | TrainAcc=88.04% | ValAcc=91.16% | TrainLoss=0.3234 | ValLoss=0.2456
Epoch 63/200 | TrainAcc=88.20% | ValAcc=92.03% | TrainLoss=0.3234 | ValLoss=0.2288
Epoch 64/200 | TrainAcc=88.14% | ValAcc=91.70% | TrainLoss=0.3253 | ValLoss=0.2375
Epoch 65/200 | TrainAcc=88.09% | ValAcc=91.47% | TrainLoss=0.3226 | ValLoss=0.2381
Epoch 66/200 | TrainAcc=88.21% | ValAcc=91.79% | TrainLoss=0.3221 | ValLoss=0.2332
Epoch 67/200 | TrainAcc=88.16% | ValAcc=91.78% | TrainLoss=0.3187 | ValLoss=0.2359
Epoch 68/200 | TrainAcc=88.31% | ValAcc=91.79% | TrainLoss=0.3183 | ValLoss=0.2393
Epoch 69/200 | TrainAcc=88.37% | ValAcc=91.75% | TrainLoss=0.3186 | ValLoss=0.2358
Epoch 70/200 | TrainAcc=88.48% | ValAcc=91.53% | TrainLoss=0.3160 | ValLoss=0.2366
Epoch 71/200 | TrainAcc=88.29% | ValAcc=91.94% | TrainLoss=0.3183 | ValLoss=0.2334

Trial Summary: BestValAcc=91.93 | TestAcc=91.72
