Config:
{
  "lr": 0.0003,
  "weight_decay": 0.0001,
  "batch_size": 64,
  "channels": 16,
  "dropout": 0.5,
  "epochs": 200,
  "patience": 10
}

Epoch 1/200 | TrainAcc=22.23% | ValAcc=41.82% | TrainLoss=2.2734 | ValLoss=1.6587
Epoch 2/200 | TrainAcc=42.84% | ValAcc=50.39% | TrainLoss=1.5089 | ValLoss=1.2926
Epoch 3/200 | TrainAcc=53.30% | ValAcc=58.11% | TrainLoss=1.2232 | ValLoss=1.0624
Epoch 4/200 | TrainAcc=58.05% | ValAcc=65.80% | TrainLoss=1.0892 | ValLoss=0.9146
Epoch 5/200 | TrainAcc=61.04% | ValAcc=63.80% | TrainLoss=1.0117 | ValLoss=0.8972
Epoch 6/200 | TrainAcc=62.84% | ValAcc=60.76% | TrainLoss=0.9566 | ValLoss=0.9385
Epoch 7/200 | TrainAcc=64.43% | ValAcc=71.01% | TrainLoss=0.9192 | ValLoss=0.7654
Epoch 8/200 | TrainAcc=65.79% | ValAcc=69.34% | TrainLoss=0.8863 | ValLoss=0.7712
Epoch 9/200 | TrainAcc=66.92% | ValAcc=67.62% | TrainLoss=0.8572 | ValLoss=0.8274
Epoch 10/200 | TrainAcc=67.93% | ValAcc=70.66% | TrainLoss=0.8390 | ValLoss=0.7384
Epoch 11/200 | TrainAcc=69.05% | ValAcc=71.96% | TrainLoss=0.8143 | ValLoss=0.7152
Epoch 12/200 | TrainAcc=69.39% | ValAcc=75.31% | TrainLoss=0.7986 | ValLoss=0.6621
Epoch 13/200 | TrainAcc=70.36% | ValAcc=72.07% | TrainLoss=0.7810 | ValLoss=0.7032
Epoch 14/200 | TrainAcc=70.42% | ValAcc=73.21% | TrainLoss=0.7723 | ValLoss=0.6827
Epoch 15/200 | TrainAcc=71.28% | ValAcc=72.83% | TrainLoss=0.7578 | ValLoss=0.6884
Epoch 16/200 | TrainAcc=71.61% | ValAcc=71.24% | TrainLoss=0.7455 | ValLoss=0.7107
Epoch 17/200 | TrainAcc=72.02% | ValAcc=71.24% | TrainLoss=0.7362 | ValLoss=0.7136
Epoch 18/200 | TrainAcc=72.30% | ValAcc=73.29% | TrainLoss=0.7280 | ValLoss=0.6706
Epoch 19/200 | TrainAcc=72.64% | ValAcc=76.39% | TrainLoss=0.7198 | ValLoss=0.6309
Epoch 20/200 | TrainAcc=72.86% | ValAcc=74.04% | TrainLoss=0.7143 | ValLoss=0.6608
Epoch 21/200 | TrainAcc=73.14% | ValAcc=75.78% | TrainLoss=0.7060 | ValLoss=0.6313
Epoch 22/200 | TrainAcc=73.21% | ValAcc=79.40% | TrainLoss=0.6989 | ValLoss=0.5725
Epoch 23/200 | TrainAcc=73.40% | ValAcc=80.26% | TrainLoss=0.6919 | ValLoss=0.5642
Epoch 24/200 | TrainAcc=73.86% | ValAcc=75.65% | TrainLoss=0.6880 | ValLoss=0.6420
Epoch 25/200 | TrainAcc=73.84% | ValAcc=78.16% | TrainLoss=0.6886 | ValLoss=0.5792
Epoch 26/200 | TrainAcc=73.87% | ValAcc=79.81% | TrainLoss=0.6839 | ValLoss=0.5552
Epoch 27/200 | TrainAcc=74.16% | ValAcc=77.16% | TrainLoss=0.6793 | ValLoss=0.6220
Epoch 28/200 | TrainAcc=74.52% | ValAcc=76.03% | TrainLoss=0.6729 | ValLoss=0.6350
Epoch 29/200 | TrainAcc=74.45% | ValAcc=80.08% | TrainLoss=0.6739 | ValLoss=0.5651
Epoch 30/200 | TrainAcc=74.41% | ValAcc=81.41% | TrainLoss=0.6705 | ValLoss=0.5236
Epoch 31/200 | TrainAcc=74.99% | ValAcc=78.45% | TrainLoss=0.6562 | ValLoss=0.5884
Epoch 32/200 | TrainAcc=75.15% | ValAcc=79.67% | TrainLoss=0.6536 | ValLoss=0.5674
Epoch 33/200 | TrainAcc=75.31% | ValAcc=79.65% | TrainLoss=0.6497 | ValLoss=0.5519
Epoch 34/200 | TrainAcc=75.32% | ValAcc=78.11% | TrainLoss=0.6497 | ValLoss=0.5814
Epoch 35/200 | TrainAcc=75.32% | ValAcc=81.53% | TrainLoss=0.6489 | ValLoss=0.5158
Epoch 36/200 | TrainAcc=75.17% | ValAcc=79.76% | TrainLoss=0.6526 | ValLoss=0.5575
Epoch 37/200 | TrainAcc=75.31% | ValAcc=81.31% | TrainLoss=0.6461 | ValLoss=0.5182
Epoch 38/200 | TrainAcc=75.56% | ValAcc=80.95% | TrainLoss=0.6457 | ValLoss=0.5278
Epoch 39/200 | TrainAcc=75.56% | ValAcc=78.79% | TrainLoss=0.6400 | ValLoss=0.5710
Epoch 40/200 | TrainAcc=75.62% | ValAcc=81.00% | TrainLoss=0.6415 | ValLoss=0.5305
Epoch 41/200 | TrainAcc=75.76% | ValAcc=79.79% | TrainLoss=0.6355 | ValLoss=0.5514
Epoch 42/200 | TrainAcc=75.74% | ValAcc=81.60% | TrainLoss=0.6370 | ValLoss=0.5063
Epoch 43/200 | TrainAcc=75.83% | ValAcc=77.63% | TrainLoss=0.6388 | ValLoss=0.5858
Epoch 44/200 | TrainAcc=75.84% | ValAcc=79.38% | TrainLoss=0.6386 | ValLoss=0.5630
Epoch 45/200 | TrainAcc=75.85% | ValAcc=78.47% | TrainLoss=0.6319 | ValLoss=0.5785

Trial Summary: BestValAcc=81.53 | TestAcc=81.57
