=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-04-29_17-30-34
Total Classes: 20
SNR: 0 dB
fd (Doppler shift): no Hz
Epoch 1 | Train Loss: 3.0036 | Train Accuracy: 7.78% | Validation Loss: 2.9647 | Validation Accuracy: 9.64%
Epoch 2 | Train Loss: 2.9876 | Train Accuracy: 8.27% | Validation Loss: 2.9589 | Validation Accuracy: 9.64%
Epoch 3 | Train Loss: 2.9805 | Train Accuracy: 8.40% | Validation Loss: 2.9607 | Validation Accuracy: 9.64%
Epoch 4 | Train Loss: 2.9743 | Train Accuracy: 8.85% | Validation Loss: 2.9568 | Validation Accuracy: 9.64%
Epoch 5 | Train Loss: 2.9705 | Train Accuracy: 9.01% | Validation Loss: 2.9582 | Validation Accuracy: 9.64%
Epoch 6 | Train Loss: 2.9670 | Train Accuracy: 9.15% | Validation Loss: 2.9551 | Validation Accuracy: 9.64%
Epoch 7 | Train Loss: 2.6995 | Train Accuracy: 19.42% | Validation Loss: 1.7214 | Validation Accuracy: 51.71%
Epoch 8 | Train Loss: 1.2770 | Train Accuracy: 64.46% | Validation Loss: 0.8672 | Validation Accuracy: 75.82%
Epoch 9 | Train Loss: 0.7119 | Train Accuracy: 79.92% | Validation Loss: 0.7213 | Validation Accuracy: 79.88%
Epoch 10 | Train Loss: 0.4763 | Train Accuracy: 86.36% | Validation Loss: 0.6458 | Validation Accuracy: 82.22%
Epoch 11 | Train Loss: 0.3002 | Train Accuracy: 91.32% | Validation Loss: 0.6146 | Validation Accuracy: 83.49%
Epoch 12 | Train Loss: 0.2405 | Train Accuracy: 93.01% | Validation Loss: 0.6125 | Validation Accuracy: 83.73%
Epoch 13 | Train Loss: 0.1995 | Train Accuracy: 94.12% | Validation Loss: 0.6135 | Validation Accuracy: 84.10%
Epoch 14 | Train Loss: 0.1667 | Train Accuracy: 95.09% | Validation Loss: 0.6205 | Validation Accuracy: 84.24%
Epoch 15 | Train Loss: 0.1405 | Train Accuracy: 95.78% | Validation Loss: 0.6235 | Validation Accuracy: 84.28%
Epoch 16 | Train Loss: 0.1203 | Train Accuracy: 96.37% | Validation Loss: 0.6271 | Validation Accuracy: 84.24%
Epoch 17 | Train Loss: 0.1046 | Train Accuracy: 96.88% | Validation Loss: 0.6367 | Validation Accuracy: 84.47%
Epoch 1 | Train Loss: 3.0045 | Train Accuracy: 7.67% | Validation Loss: 2.9639 | Validation Accuracy: 9.64%
Epoch 2 | Train Loss: 2.9856 | Train Accuracy: 8.19% | Validation Loss: 2.9643 | Validation Accuracy: 9.64%
Epoch 3 | Train Loss: 2.9795 | Train Accuracy: 8.46% | Validation Loss: 2.9606 | Validation Accuracy: 9.64%
Epoch 4 | Train Loss: 2.9729 | Train Accuracy: 8.75% | Validation Loss: 2.9588 | Validation Accuracy: 9.64%
Epoch 5 | Train Loss: 2.9685 | Train Accuracy: 9.03% | Validation Loss: 2.9577 | Validation Accuracy: 9.64%
Epoch 6 | Train Loss: 2.9651 | Train Accuracy: 9.16% | Validation Loss: 2.9535 | Validation Accuracy: 9.64%
Epoch 7 | Train Loss: 2.6897 | Train Accuracy: 19.50% | Validation Loss: 1.6837 | Validation Accuracy: 53.23%
Epoch 8 | Train Loss: 1.2978 | Train Accuracy: 63.46% | Validation Loss: 0.8760 | Validation Accuracy: 75.60%
Epoch 9 | Train Loss: 0.7330 | Train Accuracy: 79.15% | Validation Loss: 0.7177 | Validation Accuracy: 80.08%
Epoch 10 | Train Loss: 0.4907 | Train Accuracy: 85.84% | Validation Loss: 0.6573 | Validation Accuracy: 82.11%
Epoch 11 | Train Loss: 0.3184 | Train Accuracy: 90.69% | Validation Loss: 0.6201 | Validation Accuracy: 83.48%
Epoch 12 | Train Loss: 0.2549 | Train Accuracy: 92.58% | Validation Loss: 0.6159 | Validation Accuracy: 83.63%
