=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-05-06_14-50-58
Total Classes: 20
SNR: 10 dB
fd (Doppler shift): no Hz
Epoch 1 | Train Loss: 3.0258 | Train Accuracy: 7.40% | Validation Loss: 2.9612 | Validation Accuracy: 9.13%
Epoch 2 | Train Loss: 3.0005 | Train Accuracy: 7.87% | Validation Loss: 2.9568 | Validation Accuracy: 9.13%
Epoch 3 | Train Loss: 2.9890 | Train Accuracy: 8.24% | Validation Loss: 2.9289 | Validation Accuracy: 9.13%
Epoch 4 | Train Loss: 2.7766 | Train Accuracy: 12.93% | Validation Loss: 2.3509 | Validation Accuracy: 18.77%
Epoch 5 | Train Loss: 2.2247 | Train Accuracy: 22.45% | Validation Loss: 1.9544 | Validation Accuracy: 27.16%
Epoch 6 | Train Loss: 1.9121 | Train Accuracy: 30.06% | Validation Loss: 1.7273 | Validation Accuracy: 34.02%
Epoch 7 | Train Loss: 1.7387 | Train Accuracy: 34.50% | Validation Loss: 1.5761 | Validation Accuracy: 39.74%
Epoch 8 | Train Loss: 1.6310 | Train Accuracy: 38.00% | Validation Loss: 1.4993 | Validation Accuracy: 43.21%
Epoch 9 | Train Loss: 1.5517 | Train Accuracy: 40.80% | Validation Loss: 1.4652 | Validation Accuracy: 44.31%
Epoch 10 | Train Loss: 1.4939 | Train Accuracy: 42.87% | Validation Loss: 1.4224 | Validation Accuracy: 45.01%
Epoch 11 | Train Loss: 1.4485 | Train Accuracy: 44.44% | Validation Loss: 1.3714 | Validation Accuracy: 47.53%
Epoch 12 | Train Loss: 1.4220 | Train Accuracy: 45.55% | Validation Loss: 1.3602 | Validation Accuracy: 48.03%
Epoch 13 | Train Loss: 1.4012 | Train Accuracy: 46.35% | Validation Loss: 1.3629 | Validation Accuracy: 48.30%
Epoch 14 | Train Loss: 1.3789 | Train Accuracy: 46.91% | Validation Loss: 1.3210 | Validation Accuracy: 49.92%
Epoch 15 | Train Loss: 1.3607 | Train Accuracy: 47.63% | Validation Loss: 1.2921 | Validation Accuracy: 50.75%
Epoch 16 | Train Loss: 1.3391 | Train Accuracy: 48.57% | Validation Loss: 1.3034 | Validation Accuracy: 50.52%
Epoch 17 | Train Loss: 1.3299 | Train Accuracy: 48.83% | Validation Loss: 1.2857 | Validation Accuracy: 51.34%
Epoch 18 | Train Loss: 1.3051 | Train Accuracy: 49.84% | Validation Loss: 1.2463 | Validation Accuracy: 52.90%
Epoch 19 | Train Loss: 1.2867 | Train Accuracy: 50.48% | Validation Loss: 1.2320 | Validation Accuracy: 53.19%
Epoch 20 | Train Loss: 1.2696 | Train Accuracy: 51.28% | Validation Loss: 1.2106 | Validation Accuracy: 54.20%
Epoch 21 | Train Loss: 1.2525 | Train Accuracy: 51.79% | Validation Loss: 1.2000 | Validation Accuracy: 54.69%
Epoch 22 | Train Loss: 1.2415 | Train Accuracy: 52.36% | Validation Loss: 1.1771 | Validation Accuracy: 55.13%
Epoch 23 | Train Loss: 1.2314 | Train Accuracy: 52.75% | Validation Loss: 1.1768 | Validation Accuracy: 55.31%
Epoch 24 | Train Loss: 1.2252 | Train Accuracy: 52.92% | Validation Loss: 1.1685 | Validation Accuracy: 55.45%
Epoch 25 | Train Loss: 1.2188 | Train Accuracy: 53.25% | Validation Loss: 1.1661 | Validation Accuracy: 55.88%
Epoch 26 | Train Loss: 1.2096 | Train Accuracy: 53.43% | Validation Loss: 1.1744 | Validation Accuracy: 55.84%
Epoch 27 | Train Loss: 1.1967 | Train Accuracy: 54.20% | Validation Loss: 1.1313 | Validation Accuracy: 57.07%
Epoch 28 | Train Loss: 1.1913 | Train Accuracy: 54.13% | Validation Loss: 1.1248 | Validation Accuracy: 57.20%
Epoch 29 | Train Loss: 1.1812 | Train Accuracy: 54.58% | Validation Loss: 1.0979 | Validation Accuracy: 58.07%
Epoch 30 | Train Loss: 1.1736 | Train Accuracy: 54.73% | Validation Loss: 1.1077 | Validation Accuracy: 57.84%
Epoch 31 | Train Loss: 1.1675 | Train Accuracy: 55.12% | Validation Loss: 1.1045 | Validation Accuracy: 57.90%
Epoch 32 | Train Loss: 1.1613 | Train Accuracy: 55.29% | Validation Loss: 1.0997 | Validation Accuracy: 58.10%
Epoch 33 | Train Loss: 1.1596 | Train Accuracy: 55.36% | Validation Loss: 1.0835 | Validation Accuracy: 58.80%
Epoch 34 | Train Loss: 1.1559 | Train Accuracy: 55.69% | Validation Loss: 1.0874 | Validation Accuracy: 58.62%
Epoch 35 | Train Loss: 1.1492 | Train Accuracy: 55.92% | Validation Loss: 1.0803 | Validation Accuracy: 58.96%
Epoch 36 | Train Loss: 1.1457 | Train Accuracy: 55.94% | Validation Loss: 1.0808 | Validation Accuracy: 59.00%
Epoch 37 | Train Loss: 1.1415 | Train Accuracy: 56.19% | Validation Loss: 1.0639 | Validation Accuracy: 59.43%
Epoch 38 | Train Loss: 1.1391 | Train Accuracy: 56.30% | Validation Loss: 1.0707 | Validation Accuracy: 59.24%
Epoch 39 | Train Loss: 1.1322 | Train Accuracy: 56.54% | Validation Loss: 1.0685 | Validation Accuracy: 59.48%
Epoch 40 | Train Loss: 1.1315 | Train Accuracy: 56.30% | Validation Loss: 1.0522 | Validation Accuracy: 59.92%
Epoch 41 | Train Loss: 1.1275 | Train Accuracy: 56.56% | Validation Loss: 1.0562 | Validation Accuracy: 59.75%
Epoch 42 | Train Loss: 1.1239 | Train Accuracy: 56.82% | Validation Loss: 1.0548 | Validation Accuracy: 59.83%
Epoch 43 | Train Loss: 1.1201 | Train Accuracy: 56.90% | Validation Loss: 1.0461 | Validation Accuracy: 60.09%
Epoch 44 | Train Loss: 1.1183 | Train Accuracy: 56.98% | Validation Loss: 1.0409 | Validation Accuracy: 60.32%
Epoch 45 | Train Loss: 1.1188 | Train Accuracy: 57.07% | Validation Loss: 1.0468 | Validation Accuracy: 60.12%
Epoch 46 | Train Loss: 1.1170 | Train Accuracy: 57.08% | Validation Loss: 1.0455 | Validation Accuracy: 60.25%
Epoch 47 | Train Loss: 1.1149 | Train Accuracy: 57.04% | Validation Loss: 1.0377 | Validation Accuracy: 60.41%
Epoch 48 | Train Loss: 1.1125 | Train Accuracy: 57.12% | Validation Loss: 1.0394 | Validation Accuracy: 60.42%
Epoch 49 | Train Loss: 1.1109 | Train Accuracy: 57.47% | Validation Loss: 1.0355 | Validation Accuracy: 60.46%
Epoch 50 | Train Loss: 1.1070 | Train Accuracy: 57.45% | Validation Loss: 1.0348 | Validation Accuracy: 60.54%
Epoch 51 | Train Loss: 1.1074 | Train Accuracy: 57.44% | Validation Loss: 1.0338 | Validation Accuracy: 60.59%
Epoch 52 | Train Loss: 1.1021 | Train Accuracy: 57.71% | Validation Loss: 1.0293 | Validation Accuracy: 60.72%
Epoch 53 | Train Loss: 1.1055 | Train Accuracy: 57.54% | Validation Loss: 1.0267 | Validation Accuracy: 60.86%
Epoch 54 | Train Loss: 1.1047 | Train Accuracy: 57.55% | Validation Loss: 1.0319 | Validation Accuracy: 60.55%
Epoch 55 | Train Loss: 1.1014 | Train Accuracy: 57.51% | Validation Loss: 1.0288 | Validation Accuracy: 60.70%
Epoch 56 | Train Loss: 1.1016 | Train Accuracy: 57.72% | Validation Loss: 1.0225 | Validation Accuracy: 61.04%
Epoch 57 | Train Loss: 1.1003 | Train Accuracy: 57.70% | Validation Loss: 1.0227 | Validation Accuracy: 60.91%
Epoch 58 | Train Loss: 1.0992 | Train Accuracy: 57.76% | Validation Loss: 1.0218 | Validation Accuracy: 60.99%
Epoch 59 | Train Loss: 1.0997 | Train Accuracy: 57.84% | Validation Loss: 1.0282 | Validation Accuracy: 60.79%
Epoch 60 | Train Loss: 1.0978 | Train Accuracy: 57.88% | Validation Loss: 1.0185 | Validation Accuracy: 61.14%
Epoch 61 | Train Loss: 1.0964 | Train Accuracy: 57.86% | Validation Loss: 1.0200 | Validation Accuracy: 61.07%
Epoch 62 | Train Loss: 1.0974 | Train Accuracy: 57.82% | Validation Loss: 1.0184 | Validation Accuracy: 61.09%
Epoch 63 | Train Loss: 1.0973 | Train Accuracy: 57.87% | Validation Loss: 1.0211 | Validation Accuracy: 61.00%
Epoch 64 | Train Loss: 1.0964 | Train Accuracy: 57.82% | Validation Loss: 1.0193 | Validation Accuracy: 61.06%
Epoch 65 | Train Loss: 1.0956 | Train Accuracy: 57.74% | Validation Loss: 1.0195 | Validation Accuracy: 61.02%
Epoch 66 | Train Loss: 1.0991 | Train Accuracy: 57.84% | Validation Loss: 1.0160 | Validation Accuracy: 61.21%
Epoch 67 | Train Loss: 1.0944 | Train Accuracy: 57.76% | Validation Loss: 1.0166 | Validation Accuracy: 61.17%
Epoch 68 | Train Loss: 1.0941 | Train Accuracy: 57.77% | Validation Loss: 1.0197 | Validation Accuracy: 61.03%
Epoch 69 | Train Loss: 1.0951 | Train Accuracy: 58.01% | Validation Loss: 1.0174 | Validation Accuracy: 61.15%
Epoch 70 | Train Loss: 1.0949 | Train Accuracy: 57.87% | Validation Loss: 1.0167 | Validation Accuracy: 61.14%
Epoch 71 | Train Loss: 1.0936 | Train Accuracy: 57.98% | Validation Loss: 1.0176 | Validation Accuracy: 61.08%
Epoch 1 | Train Loss: 3.0266 | Train Accuracy: 7.16% | Validation Loss: 2.9630 | Validation Accuracy: 9.13%
Epoch 2 | Train Loss: 3.0003 | Train Accuracy: 7.84% | Validation Loss: 2.9494 | Validation Accuracy: 9.13%
Epoch 3 | Train Loss: 2.9822 | Train Accuracy: 8.61% | Validation Loss: 2.7845 | Validation Accuracy: 17.09%
Epoch 4 | Train Loss: 2.4970 | Train Accuracy: 17.42% | Validation Loss: 2.0290 | Validation Accuracy: 24.76%
Epoch 5 | Train Loss: 2.0184 | Train Accuracy: 26.36% | Validation Loss: 1.7976 | Validation Accuracy: 30.78%
Epoch 6 | Train Loss: 1.8265 | Train Accuracy: 30.86% | Validation Loss: 1.6483 | Validation Accuracy: 35.04%
Epoch 7 | Train Loss: 1.7046 | Train Accuracy: 34.19% | Validation Loss: 1.5536 | Validation Accuracy: 39.82%
Epoch 8 | Train Loss: 1.6086 | Train Accuracy: 37.41% | Validation Loss: 1.4723 | Validation Accuracy: 44.31%
Epoch 9 | Train Loss: 1.5363 | Train Accuracy: 40.92% | Validation Loss: 1.4023 | Validation Accuracy: 46.62%
Epoch 10 | Train Loss: 1.4798 | Train Accuracy: 43.14% | Validation Loss: 1.3619 | Validation Accuracy: 48.26%
Epoch 11 | Train Loss: 1.4317 | Train Accuracy: 44.94% | Validation Loss: 1.3274 | Validation Accuracy: 49.58%
Epoch 12 | Train Loss: 1.4129 | Train Accuracy: 45.81% | Validation Loss: 1.2963 | Validation Accuracy: 50.46%
Epoch 13 | Train Loss: 1.3908 | Train Accuracy: 46.55% | Validation Loss: 1.2873 | Validation Accuracy: 50.81%
Epoch 14 | Train Loss: 1.3676 | Train Accuracy: 47.37% | Validation Loss: 1.2616 | Validation Accuracy: 52.06%
Epoch 15 | Train Loss: 1.3470 | Train Accuracy: 48.24% | Validation Loss: 1.2788 | Validation Accuracy: 51.57%
Epoch 16 | Train Loss: 1.3374 | Train Accuracy: 48.58% | Validation Loss: 1.2303 | Validation Accuracy: 53.31%
Epoch 17 | Train Loss: 1.3181 | Train Accuracy: 49.38% | Validation Loss: 1.2246 | Validation Accuracy: 53.08%
Epoch 18 | Train Loss: 1.3049 | Train Accuracy: 49.67% | Validation Loss: 1.2039 | Validation Accuracy: 53.80%
Epoch 19 | Train Loss: 1.2868 | Train Accuracy: 50.27% | Validation Loss: 1.1762 | Validation Accuracy: 55.10%
Epoch 20 | Train Loss: 1.2713 | Train Accuracy: 50.95% | Validation Loss: 1.1785 | Validation Accuracy: 54.75%
Epoch 21 | Train Loss: 1.2570 | Train Accuracy: 51.64% | Validation Loss: 1.1676 | Validation Accuracy: 55.35%
Epoch 22 | Train Loss: 1.2500 | Train Accuracy: 51.93% | Validation Loss: 1.1538 | Validation Accuracy: 55.90%
Epoch 23 | Train Loss: 1.2388 | Train Accuracy: 52.13% | Validation Loss: 1.1501 | Validation Accuracy: 56.13%
Epoch 24 | Train Loss: 1.2330 | Train Accuracy: 52.66% | Validation Loss: 1.1549 | Validation Accuracy: 55.73%
Epoch 25 | Train Loss: 1.2229 | Train Accuracy: 52.84% | Validation Loss: 1.1335 | Validation Accuracy: 56.58%
Epoch 26 | Train Loss: 1.2142 | Train Accuracy: 53.14% | Validation Loss: 1.1281 | Validation Accuracy: 56.90%
Epoch 27 | Train Loss: 1.2096 | Train Accuracy: 53.63% | Validation Loss: 1.1320 | Validation Accuracy: 56.69%
Epoch 28 | Train Loss: 1.2029 | Train Accuracy: 53.75% | Validation Loss: 1.1066 | Validation Accuracy: 57.69%
Epoch 29 | Train Loss: 1.1946 | Train Accuracy: 53.87% | Validation Loss: 1.1126 | Validation Accuracy: 57.52%
Epoch 30 | Train Loss: 1.1869 | Train Accuracy: 54.31% | Validation Loss: 1.0948 | Validation Accuracy: 57.95%
Epoch 31 | Train Loss: 1.1813 | Train Accuracy: 54.68% | Validation Loss: 1.0951 | Validation Accuracy: 58.03%
Epoch 32 | Train Loss: 1.1736 | Train Accuracy: 54.78% | Validation Loss: 1.0929 | Validation Accuracy: 58.09%
Epoch 33 | Train Loss: 1.1746 | Train Accuracy: 54.69% | Validation Loss: 1.0796 | Validation Accuracy: 58.48%
Epoch 34 | Train Loss: 1.1665 | Train Accuracy: 55.18% | Validation Loss: 1.0838 | Validation Accuracy: 58.45%
Epoch 35 | Train Loss: 1.1632 | Train Accuracy: 55.14% | Validation Loss: 1.0767 | Validation Accuracy: 58.63%
Epoch 36 | Train Loss: 1.1596 | Train Accuracy: 55.29% | Validation Loss: 1.0636 | Validation Accuracy: 59.05%
Epoch 37 | Train Loss: 1.1555 | Train Accuracy: 55.51% | Validation Loss: 1.0619 | Validation Accuracy: 59.14%
Epoch 38 | Train Loss: 1.1546 | Train Accuracy: 55.52% | Validation Loss: 1.0725 | Validation Accuracy: 58.85%
Epoch 39 | Train Loss: 1.1482 | Train Accuracy: 55.81% | Validation Loss: 1.0608 | Validation Accuracy: 59.11%
Epoch 40 | Train Loss: 1.1451 | Train Accuracy: 55.92% | Validation Loss: 1.0607 | Validation Accuracy: 59.21%
Epoch 41 | Train Loss: 1.1427 | Train Accuracy: 56.06% | Validation Loss: 1.0535 | Validation Accuracy: 59.45%
Epoch 42 | Train Loss: 1.1404 | Train Accuracy: 55.88% | Validation Loss: 1.0473 | Validation Accuracy: 59.62%
Epoch 43 | Train Loss: 1.1414 | Train Accuracy: 55.95% | Validation Loss: 1.0465 | Validation Accuracy: 59.64%
Epoch 44 | Train Loss: 1.1361 | Train Accuracy: 56.25% | Validation Loss: 1.0437 | Validation Accuracy: 59.74%
Epoch 45 | Train Loss: 1.1346 | Train Accuracy: 56.33% | Validation Loss: 1.0460 | Validation Accuracy: 59.71%
Epoch 46 | Train Loss: 1.1303 | Train Accuracy: 56.53% | Validation Loss: 1.0385 | Validation Accuracy: 59.89%
Epoch 47 | Train Loss: 1.1294 | Train Accuracy: 56.37% | Validation Loss: 1.0371 | Validation Accuracy: 59.90%
Epoch 48 | Train Loss: 1.1292 | Train Accuracy: 56.63% | Validation Loss: 1.0404 | Validation Accuracy: 59.85%
Epoch 49 | Train Loss: 1.1272 | Train Accuracy: 56.64% | Validation Loss: 1.0398 | Validation Accuracy: 59.86%
Epoch 50 | Train Loss: 1.1230 | Train Accuracy: 56.58% | Validation Loss: 1.0296 | Validation Accuracy: 60.10%
Epoch 51 | Train Loss: 1.1223 | Train Accuracy: 56.75% | Validation Loss: 1.0353 | Validation Accuracy: 59.98%
Epoch 52 | Train Loss: 1.1216 | Train Accuracy: 56.77% | Validation Loss: 1.0322 | Validation Accuracy: 60.14%
Epoch 53 | Train Loss: 1.1207 | Train Accuracy: 56.75% | Validation Loss: 1.0291 | Validation Accuracy: 60.18%
Epoch 54 | Train Loss: 1.1210 | Train Accuracy: 56.75% | Validation Loss: 1.0308 | Validation Accuracy: 60.16%
Epoch 55 | Train Loss: 1.1194 | Train Accuracy: 56.91% | Validation Loss: 1.0298 | Validation Accuracy: 60.20%
Epoch 56 | Train Loss: 1.1172 | Train Accuracy: 57.01% | Validation Loss: 1.0290 | Validation Accuracy: 60.18%
Epoch 57 | Train Loss: 1.1153 | Train Accuracy: 56.93% | Validation Loss: 1.0299 | Validation Accuracy: 60.20%
Epoch 58 | Train Loss: 1.1131 | Train Accuracy: 57.13% | Validation Loss: 1.0299 | Validation Accuracy: 60.26%
Epoch 59 | Train Loss: 1.1165 | Train Accuracy: 57.00% | Validation Loss: 1.0271 | Validation Accuracy: 60.32%
Epoch 60 | Train Loss: 1.1160 | Train Accuracy: 56.95% | Validation Loss: 1.0275 | Validation Accuracy: 60.32%
Epoch 61 | Train Loss: 1.1153 | Train Accuracy: 56.96% | Validation Loss: 1.0244 | Validation Accuracy: 60.35%
Epoch 62 | Train Loss: 1.1144 | Train Accuracy: 57.01% | Validation Loss: 1.0264 | Validation Accuracy: 60.32%
Epoch 63 | Train Loss: 1.1143 | Train Accuracy: 56.91% | Validation Loss: 1.0243 | Validation Accuracy: 60.38%
Epoch 64 | Train Loss: 1.1094 | Train Accuracy: 57.19% | Validation Loss: 1.0254 | Validation Accuracy: 60.36%
Epoch 65 | Train Loss: 1.1098 | Train Accuracy: 57.06% | Validation Loss: 1.0255 | Validation Accuracy: 60.36%
Epoch 66 | Train Loss: 1.1133 | Train Accuracy: 57.21% | Validation Loss: 1.0214 | Validation Accuracy: 60.45%
Epoch 67 | Train Loss: 1.1105 | Train Accuracy: 57.22% | Validation Loss: 1.0221 | Validation Accuracy: 60.43%
Epoch 68 | Train Loss: 1.1140 | Train Accuracy: 56.96% | Validation Loss: 1.0233 | Validation Accuracy: 60.42%
Epoch 69 | Train Loss: 1.1070 | Train Accuracy: 57.32% | Validation Loss: 1.0222 | Validation Accuracy: 60.45%
Epoch 70 | Train Loss: 1.1134 | Train Accuracy: 57.02% | Validation Loss: 1.0210 | Validation Accuracy: 60.49%
Epoch 71 | Train Loss: 1.1116 | Train Accuracy: 57.24% | Validation Loss: 1.0200 | Validation Accuracy: 60.50%
Epoch 72 | Train Loss: 1.1081 | Train Accuracy: 57.38% | Validation Loss: 1.0211 | Validation Accuracy: 60.47%
Epoch 73 | Train Loss: 1.1113 | Train Accuracy: 57.08% | Validation Loss: 1.0211 | Validation Accuracy: 60.50%
Epoch 74 | Train Loss: 1.1091 | Train Accuracy: 57.25% | Validation Loss: 1.0198 | Validation Accuracy: 60.50%
Epoch 75 | Train Loss: 1.1083 | Train Accuracy: 57.35% | Validation Loss: 1.0184 | Validation Accuracy: 60.53%
Epoch 76 | Train Loss: 1.1081 | Train Accuracy: 57.50% | Validation Loss: 1.0191 | Validation Accuracy: 60.53%
Epoch 77 | Train Loss: 1.1058 | Train Accuracy: 57.30% | Validation Loss: 1.0185 | Validation Accuracy: 60.56%
Epoch 78 | Train Loss: 1.1080 | Train Accuracy: 57.39% | Validation Loss: 1.0193 | Validation Accuracy: 60.55%
