=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-05-16_16-44-15
Total Classes: 20
SNR: 0 dB
fd (Doppler shift): 960.0 Hz
Epoch 1 | Train Loss: 3.0325 | Train Accuracy: 7.13% | Validation Loss: 2.9598 | Validation Accuracy: 9.39%
Epoch 2 | Train Loss: 3.0046 | Train Accuracy: 7.52% | Validation Loss: 2.9567 | Validation Accuracy: 9.39%
Epoch 3 | Train Loss: 2.9973 | Train Accuracy: 7.77% | Validation Loss: 2.9592 | Validation Accuracy: 9.39%
Epoch 4 | Train Loss: 2.9938 | Train Accuracy: 7.87% | Validation Loss: 2.9563 | Validation Accuracy: 9.39%
Epoch 5 | Train Loss: 2.9892 | Train Accuracy: 8.00% | Validation Loss: 2.9577 | Validation Accuracy: 9.39%
Epoch 6 | Train Loss: 2.9873 | Train Accuracy: 7.93% | Validation Loss: 2.9559 | Validation Accuracy: 9.39%
Epoch 7 | Train Loss: 2.9859 | Train Accuracy: 8.06% | Validation Loss: 2.9553 | Validation Accuracy: 9.39%
Epoch 8 | Train Loss: 2.9827 | Train Accuracy: 8.15% | Validation Loss: 2.9557 | Validation Accuracy: 9.39%
Epoch 9 | Train Loss: 2.9816 | Train Accuracy: 8.36% | Validation Loss: 2.9539 | Validation Accuracy: 9.39%
Epoch 10 | Train Loss: 2.9796 | Train Accuracy: 8.30% | Validation Loss: 2.9515 | Validation Accuracy: 9.39%
Epoch 11 | Train Loss: 2.9759 | Train Accuracy: 8.50% | Validation Loss: 2.9432 | Validation Accuracy: 9.39%
Epoch 12 | Train Loss: 2.9692 | Train Accuracy: 8.77% | Validation Loss: 2.9207 | Validation Accuracy: 10.48%
Epoch 13 | Train Loss: 2.9540 | Train Accuracy: 9.55% | Validation Loss: 2.8656 | Validation Accuracy: 12.49%
Epoch 14 | Train Loss: 2.9090 | Train Accuracy: 11.37% | Validation Loss: 2.7347 | Validation Accuracy: 16.15%
Epoch 15 | Train Loss: 2.7826 | Train Accuracy: 13.83% | Validation Loss: 2.7104 | Validation Accuracy: 16.61%
Epoch 16 | Train Loss: 2.6934 | Train Accuracy: 14.86% | Validation Loss: 2.6335 | Validation Accuracy: 17.56%
Epoch 17 | Train Loss: 2.6320 | Train Accuracy: 15.93% | Validation Loss: 2.5620 | Validation Accuracy: 18.02%
Epoch 18 | Train Loss: 2.5881 | Train Accuracy: 16.88% | Validation Loss: 2.5283 | Validation Accuracy: 18.33%
Epoch 19 | Train Loss: 2.5534 | Train Accuracy: 17.51% | Validation Loss: 2.5067 | Validation Accuracy: 19.15%
Epoch 20 | Train Loss: 2.5221 | Train Accuracy: 18.15% | Validation Loss: 2.4866 | Validation Accuracy: 19.68%
Epoch 21 | Train Loss: 2.4989 | Train Accuracy: 18.56% | Validation Loss: 2.4842 | Validation Accuracy: 19.85%
Epoch 22 | Train Loss: 2.4841 | Train Accuracy: 18.94% | Validation Loss: 2.4625 | Validation Accuracy: 19.94%
Epoch 23 | Train Loss: 2.4713 | Train Accuracy: 19.26% | Validation Loss: 2.4526 | Validation Accuracy: 20.22%
Epoch 24 | Train Loss: 2.4622 | Train Accuracy: 19.38% | Validation Loss: 2.4384 | Validation Accuracy: 20.52%
Epoch 25 | Train Loss: 2.4502 | Train Accuracy: 19.80% | Validation Loss: 2.4339 | Validation Accuracy: 20.77%
Epoch 26 | Train Loss: 2.4403 | Train Accuracy: 19.89% | Validation Loss: 2.4225 | Validation Accuracy: 21.21%
Epoch 27 | Train Loss: 2.4267 | Train Accuracy: 20.22% | Validation Loss: 2.4146 | Validation Accuracy: 21.28%
Epoch 28 | Train Loss: 2.4188 | Train Accuracy: 20.35% | Validation Loss: 2.4053 | Validation Accuracy: 21.63%
Epoch 29 | Train Loss: 2.4106 | Train Accuracy: 20.57% | Validation Loss: 2.3856 | Validation Accuracy: 22.04%
Epoch 30 | Train Loss: 2.4008 | Train Accuracy: 20.87% | Validation Loss: 2.3792 | Validation Accuracy: 22.52%
Epoch 31 | Train Loss: 2.3897 | Train Accuracy: 21.07% | Validation Loss: 2.3752 | Validation Accuracy: 22.59%
Epoch 32 | Train Loss: 2.3857 | Train Accuracy: 21.50% | Validation Loss: 2.3617 | Validation Accuracy: 22.75%
Epoch 33 | Train Loss: 2.3829 | Train Accuracy: 21.26% | Validation Loss: 2.3682 | Validation Accuracy: 22.86%
Epoch 34 | Train Loss: 2.3792 | Train Accuracy: 21.48% | Validation Loss: 2.3635 | Validation Accuracy: 22.95%
Epoch 35 | Train Loss: 2.3742 | Train Accuracy: 21.58% | Validation Loss: 2.3509 | Validation Accuracy: 23.23%
Epoch 36 | Train Loss: 2.3671 | Train Accuracy: 21.59% | Validation Loss: 2.3516 | Validation Accuracy: 23.33%
Epoch 37 | Train Loss: 2.3672 | Train Accuracy: 21.75% | Validation Loss: 2.3482 | Validation Accuracy: 23.42%
Epoch 38 | Train Loss: 2.3636 | Train Accuracy: 21.76% | Validation Loss: 2.3454 | Validation Accuracy: 23.55%
Epoch 39 | Train Loss: 2.3621 | Train Accuracy: 21.82% | Validation Loss: 2.3369 | Validation Accuracy: 23.78%
Epoch 40 | Train Loss: 2.3547 | Train Accuracy: 22.08% | Validation Loss: 2.3311 | Validation Accuracy: 23.87%
Epoch 41 | Train Loss: 2.3523 | Train Accuracy: 22.11% | Validation Loss: 2.3352 | Validation Accuracy: 23.88%
Epoch 42 | Train Loss: 2.3527 | Train Accuracy: 22.16% | Validation Loss: 2.3294 | Validation Accuracy: 24.03%
Epoch 43 | Train Loss: 2.3503 | Train Accuracy: 22.11% | Validation Loss: 2.3375 | Validation Accuracy: 23.87%
Epoch 44 | Train Loss: 2.3497 | Train Accuracy: 22.09% | Validation Loss: 2.3316 | Validation Accuracy: 24.03%
Epoch 45 | Train Loss: 2.3454 | Train Accuracy: 22.34% | Validation Loss: 2.3309 | Validation Accuracy: 24.00%
Epoch 46 | Train Loss: 2.3446 | Train Accuracy: 22.43% | Validation Loss: 2.3327 | Validation Accuracy: 24.01%
Epoch 47 | Train Loss: 2.3420 | Train Accuracy: 22.51% | Validation Loss: 2.3340 | Validation Accuracy: 24.11%
Epoch 1 | Train Loss: 3.0332 | Train Accuracy: 7.08% | Validation Loss: 2.9597 | Validation Accuracy: 9.39%
Epoch 2 | Train Loss: 3.0062 | Train Accuracy: 7.35% | Validation Loss: 2.9579 | Validation Accuracy: 9.39%
Epoch 3 | Train Loss: 2.9983 | Train Accuracy: 7.62% | Validation Loss: 2.9593 | Validation Accuracy: 9.39%
Epoch 4 | Train Loss: 2.9949 | Train Accuracy: 7.74% | Validation Loss: 2.9582 | Validation Accuracy: 9.39%
Epoch 5 | Train Loss: 2.9941 | Train Accuracy: 7.86% | Validation Loss: 2.9587 | Validation Accuracy: 9.39%
Epoch 6 | Train Loss: 2.9900 | Train Accuracy: 7.83% | Validation Loss: 2.9568 | Validation Accuracy: 9.39%
Epoch 7 | Train Loss: 2.9879 | Train Accuracy: 8.05% | Validation Loss: 2.9565 | Validation Accuracy: 9.39%
Epoch 8 | Train Loss: 2.9850 | Train Accuracy: 8.04% | Validation Loss: 2.9562 | Validation Accuracy: 9.39%
Epoch 9 | Train Loss: 2.9829 | Train Accuracy: 8.20% | Validation Loss: 2.9570 | Validation Accuracy: 9.39%
