=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-08-15_13-34-14
Total Classes: 20
SNR: -5 dB
fd (Doppler shift): 960.0 Hz
Epoch 1 | Train Loss: 3.0033 | Train Acc: 7.75% | Val Loss: 2.9689 | Val Acc: 9.26%
Epoch 2 | Train Loss: 2.9850 | Train Acc: 8.30% | Val Loss: 2.9665 | Val Acc: 9.26%
Epoch 3 | Train Loss: 2.9749 | Train Acc: 8.68% | Val Loss: 2.9658 | Val Acc: 9.26%
Epoch 4 | Train Loss: 2.9686 | Train Acc: 9.08% | Val Loss: 2.9658 | Val Acc: 9.26%
Epoch 5 | Train Loss: 2.9637 | Train Acc: 9.29% | Val Loss: 2.9614 | Val Acc: 9.26%
Epoch 6 | Train Loss: 2.9609 | Train Acc: 9.37% | Val Loss: 2.9616 | Val Acc: 9.26%
Epoch 7 | Train Loss: 2.9525 | Train Acc: 9.39% | Val Loss: 2.9615 | Val Acc: 9.12%
Epoch 8 | Train Loss: 2.8747 | Train Acc: 12.43% | Val Loss: 2.8213 | Val Acc: 15.65%
Epoch 9 | Train Loss: 2.4437 | Train Acc: 27.94% | Val Loss: 2.4350 | Val Acc: 29.33%
Epoch 10 | Train Loss: 1.8913 | Train Acc: 44.78% | Val Loss: 2.1960 | Val Acc: 37.41%
Epoch 11 | Train Loss: 1.3946 | Train Acc: 59.45% | Val Loss: 2.1003 | Val Acc: 41.61%
Epoch 12 | Train Loss: 1.1764 | Train Acc: 65.35% | Val Loss: 2.0758 | Val Acc: 43.08%
Epoch 13 | Train Loss: 1.0183 | Train Acc: 69.72% | Val Loss: 2.0784 | Val Acc: 44.32%
Epoch 14 | Train Loss: 0.8768 | Train Acc: 73.83% | Val Loss: 2.1106 | Val Acc: 44.81%
Epoch 15 | Train Loss: 0.7556 | Train Acc: 77.23% | Val Loss: 2.1402 | Val Acc: 45.60%
Epoch 16 | Train Loss: 0.6583 | Train Acc: 79.91% | Val Loss: 2.1641 | Val Acc: 45.79%
Epoch 17 | Train Loss: 0.5638 | Train Acc: 82.75% | Val Loss: 2.2390 | Val Acc: 46.18%
Epoch 1 | Train Loss: 3.0064 | Train Acc: 7.87% | Val Loss: 2.9629 | Val Acc: 9.26%
Epoch 2 | Train Loss: 2.9858 | Train Acc: 8.29% | Val Loss: 2.9650 | Val Acc: 9.26%
Epoch 3 | Train Loss: 2.9752 | Train Acc: 8.87% | Val Loss: 2.9618 | Val Acc: 9.26%
Epoch 4 | Train Loss: 2.9686 | Train Acc: 9.11% | Val Loss: 2.9650 | Val Acc: 9.26%
Epoch 5 | Train Loss: 2.9642 | Train Acc: 9.38% | Val Loss: 2.9616 | Val Acc: 9.26%
Epoch 6 | Train Loss: 2.9597 | Train Acc: 9.45% | Val Loss: 2.9603 | Val Acc: 9.26%
Epoch 7 | Train Loss: 2.9490 | Train Acc: 9.62% | Val Loss: 2.9540 | Val Acc: 9.52%
Epoch 8 | Train Loss: 2.8493 | Train Acc: 13.71% | Val Loss: 2.7932 | Val Acc: 17.09%
Epoch 9 | Train Loss: 2.3864 | Train Acc: 29.75% | Val Loss: 2.4238 | Val Acc: 29.65%
