=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-08-15_13-54-40
Total Classes: 20
SNR: -5 dB
fd (Doppler shift): 960.0 Hz
Epoch 1 | Train Loss: 3.0045 | Train Acc: 7.69% | Val Loss: 2.9599 | Val Acc: 9.33%
Epoch 2 | Train Loss: 2.9874 | Train Acc: 8.25% | Val Loss: 2.9601 | Val Acc: 9.33%
Epoch 3 | Train Loss: 2.9775 | Train Acc: 8.55% | Val Loss: 2.9640 | Val Acc: 9.33%
Epoch 4 | Train Loss: 2.9720 | Train Acc: 8.87% | Val Loss: 2.9594 | Val Acc: 9.33%
Epoch 5 | Train Loss: 2.9666 | Train Acc: 9.08% | Val Loss: 2.9581 | Val Acc: 9.33%
Epoch 6 | Train Loss: 2.7533 | Train Acc: 14.71% | Val Loss: 2.5927 | Val Acc: 18.22%
Epoch 7 | Train Loss: 2.5490 | Train Acc: 19.48% | Val Loss: 2.4864 | Val Acc: 21.15%
Epoch 8 | Train Loss: 2.4493 | Train Acc: 22.27% | Val Loss: 2.4299 | Val Acc: 22.44%
Epoch 9 | Train Loss: 2.3733 | Train Acc: 24.17% | Val Loss: 2.3999 | Val Acc: 23.65%
Epoch 10 | Train Loss: 2.3011 | Train Acc: 26.31% | Val Loss: 2.3854 | Val Acc: 23.88%
Epoch 11 | Train Loss: 2.1842 | Train Acc: 29.55% | Val Loss: 2.3635 | Val Acc: 24.72%
Epoch 12 | Train Loss: 2.1185 | Train Acc: 31.43% | Val Loss: 2.3656 | Val Acc: 24.81%
Epoch 13 | Train Loss: 2.0535 | Train Acc: 33.04% | Val Loss: 2.3875 | Val Acc: 24.76%
Epoch 14 | Train Loss: 1.9895 | Train Acc: 34.82% | Val Loss: 2.4068 | Val Acc: 24.61%
Epoch 15 | Train Loss: 1.9218 | Train Acc: 36.66% | Val Loss: 2.4288 | Val Acc: 24.39%
Epoch 16 | Train Loss: 1.8466 | Train Acc: 38.85% | Val Loss: 2.4633 | Val Acc: 24.32%
Epoch 1 | Train Loss: 3.0062 | Train Acc: 7.52% | Val Loss: 2.9633 | Val Acc: 9.33%
Epoch 2 | Train Loss: 2.9862 | Train Acc: 8.23% | Val Loss: 2.9592 | Val Acc: 9.33%
Epoch 3 | Train Loss: 2.9737 | Train Acc: 8.71% | Val Loss: 2.9591 | Val Acc: 9.33%
Epoch 4 | Train Loss: 2.9689 | Train Acc: 9.13% | Val Loss: 2.9591 | Val Acc: 9.33%
