=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-08-17_14-01-30
Total Classes: 20
SNR: -5 dB
fd (Doppler shift): 960.0 Hz
Epoch 1 | Train Loss: 3.0198 | Train Acc: 7.33% | Val Loss: 2.9593 | Val Acc: 9.92%
Epoch 2 | Train Loss: 2.9969 | Train Acc: 7.70% | Val Loss: 2.9563 | Val Acc: 9.92%
Epoch 3 | Train Loss: 2.9879 | Train Acc: 8.05% | Val Loss: 2.9538 | Val Acc: 9.92%
Epoch 4 | Train Loss: 2.9791 | Train Acc: 8.64% | Val Loss: 2.9548 | Val Acc: 9.92%
Epoch 5 | Train Loss: 2.9730 | Train Acc: 8.84% | Val Loss: 2.9573 | Val Acc: 9.92%
Epoch 6 | Train Loss: 2.9688 | Train Acc: 9.03% | Val Loss: 2.9564 | Val Acc: 9.92%
Epoch 7 | Train Loss: 2.9651 | Train Acc: 9.17% | Val Loss: 2.9544 | Val Acc: 9.92%
Epoch 8 | Train Loss: 2.9638 | Train Acc: 9.24% | Val Loss: 2.9536 | Val Acc: 9.92%
Epoch 9 | Train Loss: 2.9613 | Train Acc: 9.31% | Val Loss: 2.9555 | Val Acc: 9.92%
Epoch 10 | Train Loss: 2.9541 | Train Acc: 9.20% | Val Loss: 2.9539 | Val Acc: 9.99%
Epoch 11 | Train Loss: 2.9224 | Train Acc: 10.20% | Val Loss: 2.9599 | Val Acc: 9.91%
Epoch 12 | Train Loss: 2.8724 | Train Acc: 12.53% | Val Loss: 2.9491 | Val Acc: 11.22%
Epoch 13 | Train Loss: 2.7663 | Train Acc: 16.87% | Val Loss: 2.8461 | Val Acc: 15.25%
Epoch 14 | Train Loss: 2.5810 | Train Acc: 23.60% | Val Loss: 2.7106 | Val Acc: 20.28%
Epoch 15 | Train Loss: 2.3756 | Train Acc: 30.13% | Val Loss: 2.5872 | Val Acc: 24.96%
Epoch 16 | Train Loss: 2.1855 | Train Acc: 35.92% | Val Loss: 2.4827 | Val Acc: 28.34%
Epoch 17 | Train Loss: 2.0182 | Train Acc: 41.00% | Val Loss: 2.4054 | Val Acc: 31.20%
Epoch 18 | Train Loss: 1.8678 | Train Acc: 45.32% | Val Loss: 2.3445 | Val Acc: 33.25%
Epoch 19 | Train Loss: 1.7295 | Train Acc: 49.26% | Val Loss: 2.2909 | Val Acc: 35.44%
Epoch 20 | Train Loss: 1.6116 | Train Acc: 52.41% | Val Loss: 2.2574 | Val Acc: 36.82%
Epoch 21 | Train Loss: 1.4655 | Train Acc: 56.78% | Val Loss: 2.2344 | Val Acc: 37.62%
Epoch 22 | Train Loss: 1.4050 | Train Acc: 58.48% | Val Loss: 2.2185 | Val Acc: 38.62%
Epoch 23 | Train Loss: 1.3507 | Train Acc: 60.05% | Val Loss: 2.2106 | Val Acc: 39.08%
Epoch 24 | Train Loss: 1.3034 | Train Acc: 61.03% | Val Loss: 2.2104 | Val Acc: 39.44%
Epoch 25 | Train Loss: 1.2498 | Train Acc: 62.71% | Val Loss: 2.1982 | Val Acc: 39.96%
Epoch 26 | Train Loss: 1.1978 | Train Acc: 64.23% | Val Loss: 2.1957 | Val Acc: 40.43%
Epoch 27 | Train Loss: 1.1585 | Train Acc: 65.32% | Val Loss: 2.2004 | Val Acc: 40.96%
Epoch 28 | Train Loss: 1.1207 | Train Acc: 66.18% | Val Loss: 2.1940 | Val Acc: 41.11%
Epoch 29 | Train Loss: 1.0843 | Train Acc: 67.41% | Val Loss: 2.1870 | Val Acc: 41.59%
Epoch 30 | Train Loss: 1.0455 | Train Acc: 68.45% | Val Loss: 2.1826 | Val Acc: 41.82%
Epoch 31 | Train Loss: 0.9873 | Train Acc: 70.27% | Val Loss: 2.1874 | Val Acc: 42.20%
Epoch 32 | Train Loss: 0.9694 | Train Acc: 70.62% | Val Loss: 2.1874 | Val Acc: 42.49%
Epoch 33 | Train Loss: 0.9424 | Train Acc: 71.44% | Val Loss: 2.1917 | Val Acc: 42.53%
Epoch 34 | Train Loss: 0.9257 | Train Acc: 71.90% | Val Loss: 2.1934 | Val Acc: 42.69%
Epoch 35 | Train Loss: 0.9071 | Train Acc: 72.40% | Val Loss: 2.1947 | Val Acc: 42.75%
Epoch 36 | Train Loss: 0.8877 | Train Acc: 72.97% | Val Loss: 2.2016 | Val Acc: 42.81%
Epoch 37 | Train Loss: 0.8717 | Train Acc: 73.27% | Val Loss: 2.2009 | Val Acc: 43.06%
Epoch 38 | Train Loss: 0.8563 | Train Acc: 73.84% | Val Loss: 2.2018 | Val Acc: 43.13%
Epoch 39 | Train Loss: 0.8413 | Train Acc: 74.24% | Val Loss: 2.2044 | Val Acc: 43.07%
Epoch 40 | Train Loss: 0.8252 | Train Acc: 74.79% | Val Loss: 2.2042 | Val Acc: 43.12%
Epoch 1 | Train Loss: 3.0172 | Train Acc: 7.53% | Val Loss: 2.9624 | Val Acc: 9.31%
Epoch 2 | Train Loss: 2.9921 | Train Acc: 8.10% | Val Loss: 2.9607 | Val Acc: 9.31%
Epoch 3 | Train Loss: 2.9810 | Train Acc: 8.64% | Val Loss: 2.9616 | Val Acc: 9.31%
Epoch 4 | Train Loss: 2.9728 | Train Acc: 8.79% | Val Loss: 2.9640 | Val Acc: 9.31%
Epoch 5 | Train Loss: 2.9691 | Train Acc: 9.17% | Val Loss: 2.9598 | Val Acc: 9.31%
Epoch 6 | Train Loss: 2.9644 | Train Acc: 9.30% | Val Loss: 2.9581 | Val Acc: 9.31%
Epoch 7 | Train Loss: 2.9619 | Train Acc: 9.41% | Val Loss: 2.9596 | Val Acc: 9.31%
Epoch 8 | Train Loss: 2.9604 | Train Acc: 9.45% | Val Loss: 2.9623 | Val Acc: 9.31%
Epoch 9 | Train Loss: 2.9586 | Train Acc: 9.46% | Val Loss: 2.9592 | Val Acc: 9.31%
Epoch 10 | Train Loss: 2.9523 | Train Acc: 9.48% | Val Loss: 2.9614 | Val Acc: 9.31%
Epoch 11 | Train Loss: 2.9188 | Train Acc: 10.48% | Val Loss: 2.9768 | Val Acc: 9.44%
