=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-08-17_15-25-54
Total Classes: 20
SNR: 10 dB
fd (Doppler shift): 960.0 Hz
Epoch 1 | Train Loss: 3.0156 | Train Acc: 7.55% | Val Loss: 2.9673 | Val Acc: 9.48%
Epoch 2 | Train Loss: 2.9898 | Train Acc: 7.97% | Val Loss: 2.9593 | Val Acc: 9.48%
Epoch 3 | Train Loss: 2.5955 | Train Acc: 15.51% | Val Loss: 1.5341 | Val Acc: 38.65%
Epoch 4 | Train Loss: 1.4377 | Train Acc: 44.44% | Val Loss: 1.1259 | Val Acc: 56.19%
Epoch 5 | Train Loss: 1.1987 | Train Acc: 53.18% | Val Loss: 0.9711 | Val Acc: 61.63%
Epoch 6 | Train Loss: 1.0590 | Train Acc: 58.26% | Val Loss: 0.8689 | Val Acc: 65.66%
Epoch 7 | Train Loss: 0.9431 | Train Acc: 62.65% | Val Loss: 0.7941 | Val Acc: 68.69%
Epoch 8 | Train Loss: 0.8361 | Train Acc: 66.98% | Val Loss: 0.6893 | Val Acc: 72.86%
Epoch 9 | Train Loss: 0.7535 | Train Acc: 70.56% | Val Loss: 0.6377 | Val Acc: 74.45%
Epoch 10 | Train Loss: 0.6954 | Train Acc: 72.88% | Val Loss: 0.5920 | Val Acc: 77.47%
Epoch 11 | Train Loss: 0.6172 | Train Acc: 76.36% | Val Loss: 0.5559 | Val Acc: 79.18%
Epoch 12 | Train Loss: 0.5839 | Train Acc: 77.54% | Val Loss: 0.5384 | Val Acc: 79.80%
Epoch 13 | Train Loss: 0.5581 | Train Acc: 78.74% | Val Loss: 0.5299 | Val Acc: 80.04%
Epoch 14 | Train Loss: 0.5316 | Train Acc: 79.78% | Val Loss: 0.5265 | Val Acc: 80.38%
Epoch 15 | Train Loss: 0.5131 | Train Acc: 80.61% | Val Loss: 0.5091 | Val Acc: 81.20%
Epoch 16 | Train Loss: 0.4947 | Train Acc: 81.36% | Val Loss: 0.5080 | Val Acc: 81.44%
Epoch 17 | Train Loss: 0.4774 | Train Acc: 82.14% | Val Loss: 0.4989 | Val Acc: 81.80%
Epoch 18 | Train Loss: 0.4587 | Train Acc: 82.75% | Val Loss: 0.4982 | Val Acc: 82.09%
Epoch 19 | Train Loss: 0.4470 | Train Acc: 83.36% | Val Loss: 0.4979 | Val Acc: 82.10%
Epoch 20 | Train Loss: 0.4310 | Train Acc: 83.96% | Val Loss: 0.4887 | Val Acc: 82.42%
Epoch 21 | Train Loss: 0.4027 | Train Acc: 85.01% | Val Loss: 0.4857 | Val Acc: 82.73%
Epoch 22 | Train Loss: 0.3894 | Train Acc: 85.51% | Val Loss: 0.4896 | Val Acc: 82.61%
Epoch 23 | Train Loss: 0.3823 | Train Acc: 85.78% | Val Loss: 0.4874 | Val Acc: 82.90%
Epoch 24 | Train Loss: 0.3737 | Train Acc: 85.91% | Val Loss: 0.4883 | Val Acc: 82.92%
Epoch 25 | Train Loss: 0.3645 | Train Acc: 86.43% | Val Loss: 0.4872 | Val Acc: 82.88%
Epoch 26 | Train Loss: 0.3564 | Train Acc: 86.75% | Val Loss: 0.5013 | Val Acc: 82.66%
Epoch 27 | Train Loss: 0.3494 | Train Acc: 86.97% | Val Loss: 0.4903 | Val Acc: 82.83%
Epoch 28 | Train Loss: 0.3414 | Train Acc: 87.31% | Val Loss: 0.4958 | Val Acc: 82.89%
Epoch 29 | Train Loss: 0.3380 | Train Acc: 87.37% | Val Loss: 0.4946 | Val Acc: 83.03%
Epoch 30 | Train Loss: 0.3273 | Train Acc: 87.84% | Val Loss: 0.5014 | Val Acc: 82.95%
Epoch 31 | Train Loss: 0.3131 | Train Acc: 88.47% | Val Loss: 0.4992 | Val Acc: 83.46%
Epoch 1 | Train Loss: 3.0145 | Train Acc: 7.50% | Val Loss: 2.9725 | Val Acc: 9.21%
Epoch 2 | Train Loss: 2.9859 | Train Acc: 8.28% | Val Loss: 2.9600 | Val Acc: 9.21%
Epoch 3 | Train Loss: 2.7113 | Train Acc: 13.53% | Val Loss: 1.7584 | Val Acc: 33.85%
Epoch 4 | Train Loss: 1.4631 | Train Acc: 43.97% | Val Loss: 1.1045 | Val Acc: 57.17%
Epoch 5 | Train Loss: 1.1581 | Train Acc: 54.93% | Val Loss: 0.9097 | Val Acc: 63.68%
Epoch 6 | Train Loss: 0.9638 | Train Acc: 62.24% | Val Loss: 0.7644 | Val Acc: 69.64%
Epoch 7 | Train Loss: 0.8407 | Train Acc: 66.96% | Val Loss: 0.7069 | Val Acc: 72.42%
Epoch 8 | Train Loss: 0.7606 | Train Acc: 70.24% | Val Loss: 0.6448 | Val Acc: 75.51%
Epoch 9 | Train Loss: 0.6931 | Train Acc: 73.17% | Val Loss: 0.5985 | Val Acc: 77.05%
Epoch 10 | Train Loss: 0.6437 | Train Acc: 75.64% | Val Loss: 0.5631 | Val Acc: 78.93%
Epoch 11 | Train Loss: 0.5716 | Train Acc: 78.51% | Val Loss: 0.5176 | Val Acc: 81.04%
Epoch 12 | Train Loss: 0.5417 | Train Acc: 79.61% | Val Loss: 0.5173 | Val Acc: 80.92%
Epoch 13 | Train Loss: 0.5183 | Train Acc: 80.42% | Val Loss: 0.5063 | Val Acc: 81.53%
Epoch 14 | Train Loss: 0.5010 | Train Acc: 81.27% | Val Loss: 0.4998 | Val Acc: 81.69%
Epoch 15 | Train Loss: 0.4824 | Train Acc: 81.98% | Val Loss: 0.5020 | Val Acc: 81.93%
Epoch 16 | Train Loss: 0.4698 | Train Acc: 82.27% | Val Loss: 0.4830 | Val Acc: 82.20%
Epoch 17 | Train Loss: 0.4517 | Train Acc: 83.16% | Val Loss: 0.4884 | Val Acc: 82.32%
Epoch 18 | Train Loss: 0.4361 | Train Acc: 83.63% | Val Loss: 0.4758 | Val Acc: 82.92%
Epoch 19 | Train Loss: 0.4214 | Train Acc: 84.34% | Val Loss: 0.4847 | Val Acc: 82.64%
Epoch 20 | Train Loss: 0.4127 | Train Acc: 84.71% | Val Loss: 0.4890 | Val Acc: 82.78%
Epoch 21 | Train Loss: 0.3792 | Train Acc: 85.92% | Val Loss: 0.4686 | Val Acc: 83.57%
Epoch 22 | Train Loss: 0.3702 | Train Acc: 86.32% | Val Loss: 0.4745 | Val Acc: 83.21%
Epoch 23 | Train Loss: 0.3627 | Train Acc: 86.64% | Val Loss: 0.4706 | Val Acc: 83.43%
Epoch 24 | Train Loss: 0.3539 | Train Acc: 86.92% | Val Loss: 0.4766 | Val Acc: 83.54%
Epoch 25 | Train Loss: 0.3475 | Train Acc: 87.20% | Val Loss: 0.4789 | Val Acc: 83.49%
Epoch 26 | Train Loss: 0.3391 | Train Acc: 87.53% | Val Loss: 0.4780 | Val Acc: 83.44%
Epoch 27 | Train Loss: 0.3345 | Train Acc: 87.62% | Val Loss: 0.4809 | Val Acc: 83.37%
Epoch 28 | Train Loss: 0.3263 | Train Acc: 87.88% | Val Loss: 0.4830 | Val Acc: 83.37%
Epoch 29 | Train Loss: 0.3184 | Train Acc: 88.25% | Val Loss: 0.4896 | Val Acc: 83.34%
Epoch 30 | Train Loss: 0.3154 | Train Acc: 88.34% | Val Loss: 0.4941 | Val Acc: 83.58%
Epoch 31 | Train Loss: 0.2962 | Train Acc: 89.13% | Val Loss: 0.4896 | Val Acc: 83.79%
Epoch 1 | Train Loss: 3.0172 | Train Acc: 7.37% | Val Loss: 2.9713 | Val Acc: 9.47%
Epoch 2 | Train Loss: 2.9877 | Train Acc: 8.10% | Val Loss: 2.9626 | Val Acc: 9.47%
Epoch 3 | Train Loss: 2.5947 | Train Acc: 15.61% | Val Loss: 1.5817 | Val Acc: 36.48%
Epoch 4 | Train Loss: 1.4380 | Train Acc: 44.02% | Val Loss: 1.0754 | Val Acc: 58.20%
Epoch 5 | Train Loss: 1.1899 | Train Acc: 53.61% | Val Loss: 0.9462 | Val Acc: 62.93%
Epoch 6 | Train Loss: 1.0510 | Train Acc: 58.83% | Val Loss: 0.8214 | Val Acc: 67.26%
Epoch 7 | Train Loss: 0.9248 | Train Acc: 63.44% | Val Loss: 0.7530 | Val Acc: 70.19%
Epoch 8 | Train Loss: 0.8183 | Train Acc: 67.73% | Val Loss: 0.6590 | Val Acc: 74.26%
Epoch 9 | Train Loss: 0.7487 | Train Acc: 70.74% | Val Loss: 0.6195 | Val Acc: 75.76%
Epoch 10 | Train Loss: 0.6881 | Train Acc: 73.38% | Val Loss: 0.5737 | Val Acc: 77.89%
Epoch 11 | Train Loss: 0.6088 | Train Acc: 76.72% | Val Loss: 0.5449 | Val Acc: 79.30%
Epoch 12 | Train Loss: 0.5786 | Train Acc: 77.90% | Val Loss: 0.5138 | Val Acc: 80.80%
Epoch 13 | Train Loss: 0.5514 | Train Acc: 79.09% | Val Loss: 0.5002 | Val Acc: 81.39%
Epoch 14 | Train Loss: 0.5282 | Train Acc: 80.12% | Val Loss: 0.4877 | Val Acc: 81.57%
Epoch 15 | Train Loss: 0.5088 | Train Acc: 80.79% | Val Loss: 0.4808 | Val Acc: 82.09%
Epoch 16 | Train Loss: 0.4903 | Train Acc: 81.58% | Val Loss: 0.4721 | Val Acc: 82.68%
Epoch 17 | Train Loss: 0.4702 | Train Acc: 82.38% | Val Loss: 0.4687 | Val Acc: 82.81%
Epoch 18 | Train Loss: 0.4598 | Train Acc: 82.83% | Val Loss: 0.4736 | Val Acc: 82.82%
Epoch 19 | Train Loss: 0.4470 | Train Acc: 83.25% | Val Loss: 0.4651 | Val Acc: 82.89%
Epoch 20 | Train Loss: 0.4307 | Train Acc: 84.02% | Val Loss: 0.4693 | Val Acc: 83.06%
Epoch 21 | Train Loss: 0.3992 | Train Acc: 85.28% | Val Loss: 0.4547 | Val Acc: 83.61%
Epoch 22 | Train Loss: 0.3861 | Train Acc: 85.74% | Val Loss: 0.4603 | Val Acc: 83.56%
Epoch 23 | Train Loss: 0.3787 | Train Acc: 85.89% | Val Loss: 0.4562 | Val Acc: 83.58%
Epoch 24 | Train Loss: 0.3694 | Train Acc: 86.20% | Val Loss: 0.4600 | Val Acc: 83.84%
Epoch 25 | Train Loss: 0.3630 | Train Acc: 86.55% | Val Loss: 0.4601 | Val Acc: 83.74%
Epoch 26 | Train Loss: 0.3539 | Train Acc: 86.91% | Val Loss: 0.4628 | Val Acc: 83.76%
Epoch 27 | Train Loss: 0.3490 | Train Acc: 87.00% | Val Loss: 0.4548 | Val Acc: 83.90%
Epoch 28 | Train Loss: 0.3391 | Train Acc: 87.47% | Val Loss: 0.4593 | Val Acc: 83.80%
Epoch 29 | Train Loss: 0.3328 | Train Acc: 87.67% | Val Loss: 0.4594 | Val Acc: 83.80%
Epoch 30 | Train Loss: 0.3254 | Train Acc: 87.84% | Val Loss: 0.4625 | Val Acc: 83.87%
Epoch 31 | Train Loss: 0.3099 | Train Acc: 88.56% | Val Loss: 0.4632 | Val Acc: 84.08%
Epoch 1 | Train Loss: 3.0167 | Train Acc: 7.49% | Val Loss: 2.9721 | Val Acc: 9.27%
Epoch 2 | Train Loss: 2.9909 | Train Acc: 7.99% | Val Loss: 2.9622 | Val Acc: 9.27%
Epoch 3 | Train Loss: 2.7549 | Train Acc: 12.67% | Val Loss: 1.6351 | Val Acc: 37.21%
Epoch 4 | Train Loss: 1.4544 | Train Acc: 43.75% | Val Loss: 1.1626 | Val Acc: 55.15%
Epoch 5 | Train Loss: 1.1724 | Train Acc: 54.35% | Val Loss: 0.9255 | Val Acc: 63.41%
Epoch 6 | Train Loss: 0.9986 | Train Acc: 60.60% | Val Loss: 0.7657 | Val Acc: 69.84%
Epoch 7 | Train Loss: 0.8706 | Train Acc: 65.83% | Val Loss: 0.7432 | Val Acc: 70.71%
Epoch 8 | Train Loss: 0.7778 | Train Acc: 69.71% | Val Loss: 0.6565 | Val Acc: 74.19%
Epoch 9 | Train Loss: 0.7142 | Train Acc: 72.27% | Val Loss: 0.6099 | Val Acc: 76.22%
Epoch 10 | Train Loss: 0.6663 | Train Acc: 74.47% | Val Loss: 0.5744 | Val Acc: 78.48%
Epoch 11 | Train Loss: 0.5918 | Train Acc: 77.49% | Val Loss: 0.5316 | Val Acc: 80.09%
Epoch 12 | Train Loss: 0.5558 | Train Acc: 78.85% | Val Loss: 0.5155 | Val Acc: 80.58%
Epoch 13 | Train Loss: 0.5336 | Train Acc: 79.74% | Val Loss: 0.5046 | Val Acc: 81.17%
Epoch 14 | Train Loss: 0.5098 | Train Acc: 80.82% | Val Loss: 0.5018 | Val Acc: 81.23%
Epoch 15 | Train Loss: 0.4936 | Train Acc: 81.51% | Val Loss: 0.4893 | Val Acc: 81.92%
Epoch 16 | Train Loss: 0.4763 | Train Acc: 82.08% | Val Loss: 0.4901 | Val Acc: 81.96%
Epoch 17 | Train Loss: 0.4595 | Train Acc: 82.75% | Val Loss: 0.4884 | Val Acc: 82.24%
Epoch 18 | Train Loss: 0.4466 | Train Acc: 83.27% | Val Loss: 0.4828 | Val Acc: 82.57%
Epoch 19 | Train Loss: 0.4297 | Train Acc: 83.92% | Val Loss: 0.4816 | Val Acc: 82.74%
Epoch 20 | Train Loss: 0.4162 | Train Acc: 84.40% | Val Loss: 0.4753 | Val Acc: 82.82%
Epoch 21 | Train Loss: 0.3875 | Train Acc: 85.59% | Val Loss: 0.4693 | Val Acc: 83.35%
Epoch 22 | Train Loss: 0.3759 | Train Acc: 86.06% | Val Loss: 0.4758 | Val Acc: 83.14%
Epoch 23 | Train Loss: 0.3691 | Train Acc: 86.42% | Val Loss: 0.4752 | Val Acc: 83.12%
Epoch 24 | Train Loss: 0.3611 | Train Acc: 86.59% | Val Loss: 0.4698 | Val Acc: 83.35%
Epoch 25 | Train Loss: 0.3504 | Train Acc: 87.00% | Val Loss: 0.4763 | Val Acc: 83.55%
Epoch 26 | Train Loss: 0.3438 | Train Acc: 87.33% | Val Loss: 0.4754 | Val Acc: 83.43%
Epoch 27 | Train Loss: 0.3390 | Train Acc: 87.46% | Val Loss: 0.4783 | Val Acc: 83.30%
Epoch 28 | Train Loss: 0.3314 | Train Acc: 87.74% | Val Loss: 0.4757 | Val Acc: 83.38%
Epoch 29 | Train Loss: 0.3242 | Train Acc: 88.03% | Val Loss: 0.4874 | Val Acc: 83.43%
Epoch 30 | Train Loss: 0.3183 | Train Acc: 88.20% | Val Loss: 0.4808 | Val Acc: 83.55%
Epoch 31 | Train Loss: 0.3023 | Train Acc: 88.79% | Val Loss: 0.4824 | Val Acc: 83.73%
Epoch 1 | Train Loss: 3.0142 | Train Acc: 7.57% | Val Loss: 2.9722 | Val Acc: 9.33%
Epoch 2 | Train Loss: 2.9896 | Train Acc: 8.18% | Val Loss: 2.9648 | Val Acc: 9.33%
Epoch 3 | Train Loss: 2.8687 | Train Acc: 10.59% | Val Loss: 1.8518 | Val Acc: 29.80%
Epoch 4 | Train Loss: 1.4905 | Train Acc: 43.04% | Val Loss: 1.0540 | Val Acc: 58.44%
Epoch 5 | Train Loss: 1.1108 | Train Acc: 56.59% | Val Loss: 0.8861 | Val Acc: 64.67%
Epoch 6 | Train Loss: 0.9407 | Train Acc: 62.85% | Val Loss: 0.7478 | Val Acc: 70.52%
Epoch 7 | Train Loss: 0.8262 | Train Acc: 67.66% | Val Loss: 0.6701 | Val Acc: 73.87%
Epoch 8 | Train Loss: 0.7370 | Train Acc: 71.35% | Val Loss: 0.6197 | Val Acc: 75.86%
Epoch 9 | Train Loss: 0.6744 | Train Acc: 74.11% | Val Loss: 0.5734 | Val Acc: 77.99%
Epoch 10 | Train Loss: 0.6235 | Train Acc: 76.44% | Val Loss: 0.5477 | Val Acc: 79.39%
Epoch 11 | Train Loss: 0.5486 | Train Acc: 79.28% | Val Loss: 0.5138 | Val Acc: 80.75%
Epoch 12 | Train Loss: 0.5193 | Train Acc: 80.41% | Val Loss: 0.4963 | Val Acc: 81.46%
Epoch 13 | Train Loss: 0.4989 | Train Acc: 81.34% | Val Loss: 0.4974 | Val Acc: 81.57%
