=== Experiment Summary ===
Timestamp: 2025-08-17_18-41-28
Total Classes: 6
SNR: -5 dB
fd (Doppler shift): 960.0 Hz
equalized: 1 
Epoch 1 | Train Acc: 28.58% | Val Acc: 30.87%
Epoch 2 | Train Acc: 31.21% | Val Acc: 32.01%
Epoch 3 | Train Acc: 32.12% | Val Acc: 32.41%
Epoch 4 | Train Acc: 33.08% | Val Acc: 33.90%
Epoch 5 | Train Acc: 33.72% | Val Acc: 34.32%
Epoch 6 | Train Acc: 34.66% | Val Acc: 35.04%
Epoch 7 | Train Acc: 35.30% | Val Acc: 36.60%
Epoch 8 | Train Acc: 35.91% | Val Acc: 37.08%
Epoch 9 | Train Acc: 36.34% | Val Acc: 37.34%
Epoch 10 | Train Acc: 36.93% | Val Acc: 37.22%
Epoch 11 | Train Acc: 37.71% | Val Acc: 38.81%
Epoch 12 | Train Acc: 38.11% | Val Acc: 39.41%
Epoch 13 | Train Acc: 38.52% | Val Acc: 38.91%
Epoch 14 | Train Acc: 38.91% | Val Acc: 39.97%
Epoch 15 | Train Acc: 38.96% | Val Acc: 39.75%
Epoch 16 | Train Acc: 39.35% | Val Acc: 39.90%
Epoch 17 | Train Acc: 39.60% | Val Acc: 40.95%
Epoch 18 | Train Acc: 40.03% | Val Acc: 40.10%
Epoch 19 | Train Acc: 40.48% | Val Acc: 40.69%
Epoch 20 | Train Acc: 40.61% | Val Acc: 41.69%
Epoch 21 | Train Acc: 41.33% | Val Acc: 42.29%
Epoch 22 | Train Acc: 41.57% | Val Acc: 42.70%
Epoch 23 | Train Acc: 41.79% | Val Acc: 42.19%
Epoch 24 | Train Acc: 42.02% | Val Acc: 43.13%
Epoch 25 | Train Acc: 42.16% | Val Acc: 43.02%
Epoch 26 | Train Acc: 42.27% | Val Acc: 43.37%
Epoch 27 | Train Acc: 42.49% | Val Acc: 42.81%
Epoch 28 | Train Acc: 42.55% | Val Acc: 43.34%
Epoch 29 | Train Acc: 42.64% | Val Acc: 43.38%
Epoch 30 | Train Acc: 42.70% | Val Acc: 43.67%
Epoch 31 | Train Acc: 43.43% | Val Acc: 43.68%
Epoch 32 | Train Acc: 43.32% | Val Acc: 43.81%
Epoch 33 | Train Acc: 43.29% | Val Acc: 43.77%
Epoch 34 | Train Acc: 43.52% | Val Acc: 44.16%
Epoch 35 | Train Acc: 43.51% | Val Acc: 44.05%
Epoch 36 | Train Acc: 43.70% | Val Acc: 44.43%
Epoch 37 | Train Acc: 43.58% | Val Acc: 44.64%
Epoch 38 | Train Acc: 43.63% | Val Acc: 44.04%
Epoch 39 | Train Acc: 43.84% | Val Acc: 44.45%
Epoch 40 | Train Acc: 43.70% | Val Acc: 44.72%
Epoch 41 | Train Acc: 44.10% | Val Acc: 44.15%
Epoch 42 | Train Acc: 44.00% | Val Acc: 44.42%
Epoch 43 | Train Acc: 44.20% | Val Acc: 44.87%
Epoch 44 | Train Acc: 44.27% | Val Acc: 44.81%
Epoch 45 | Train Acc: 44.27% | Val Acc: 44.69%
Epoch 46 | Train Acc: 44.09% | Val Acc: 45.00%
Epoch 47 | Train Acc: 44.39% | Val Acc: 44.98%
Epoch 48 | Train Acc: 44.41% | Val Acc: 44.66%
Epoch 49 | Train Acc: 44.17% | Val Acc: 44.65%
Epoch 50 | Train Acc: 44.50% | Val Acc: 44.80%
Epoch 51 | Train Acc: 44.44% | Val Acc: 44.74%
Fold 1 Test Accuracy: 40.34%
Epoch 1 | Train Acc: 28.43% | Val Acc: 30.56%
Epoch 2 | Train Acc: 31.16% | Val Acc: 32.53%
Epoch 3 | Train Acc: 32.25% | Val Acc: 34.09%
Epoch 4 | Train Acc: 32.86% | Val Acc: 33.66%
Epoch 5 | Train Acc: 33.48% | Val Acc: 34.44%
Epoch 6 | Train Acc: 34.23% | Val Acc: 35.18%
Epoch 7 | Train Acc: 35.11% | Val Acc: 36.49%
Epoch 8 | Train Acc: 35.45% | Val Acc: 37.07%
Epoch 9 | Train Acc: 36.03% | Val Acc: 37.04%
Epoch 10 | Train Acc: 36.76% | Val Acc: 38.08%
Epoch 11 | Train Acc: 37.70% | Val Acc: 38.73%
Epoch 12 | Train Acc: 37.82% | Val Acc: 39.25%
Epoch 13 | Train Acc: 37.93% | Val Acc: 39.23%
Epoch 14 | Train Acc: 38.20% | Val Acc: 39.03%
Epoch 15 | Train Acc: 38.25% | Val Acc: 39.57%
Epoch 16 | Train Acc: 38.69% | Val Acc: 40.33%
Epoch 17 | Train Acc: 38.82% | Val Acc: 40.23%
Epoch 18 | Train Acc: 39.14% | Val Acc: 40.40%
Epoch 19 | Train Acc: 39.42% | Val Acc: 41.32%
Epoch 20 | Train Acc: 39.70% | Val Acc: 41.41%
Epoch 21 | Train Acc: 40.34% | Val Acc: 41.61%
