=== Experiment Summary ===
Timestamp: 2025-08-20_14-02-21
Total Classes: 6
SNR: 10 dB
fd (Doppler shift): 960.0 Hz
equalized: 0
Epoch 1 | Train Acc: 21.34% | Val Acc: 26.49%
Epoch 2 | Train Acc: 31.08% | Val Acc: 34.70%
Epoch 3 | Train Acc: 35.62% | Val Acc: 40.16%
Epoch 4 | Train Acc: 39.96% | Val Acc: 42.98%
Epoch 5 | Train Acc: 43.39% | Val Acc: 44.43%
Epoch 6 | Train Acc: 46.18% | Val Acc: 47.51%
Epoch 7 | Train Acc: 48.47% | Val Acc: 48.26%
Epoch 8 | Train Acc: 50.18% | Val Acc: 52.97%
Epoch 9 | Train Acc: 51.72% | Val Acc: 55.15%
Epoch 10 | Train Acc: 53.15% | Val Acc: 51.70%
Epoch 11 | Train Acc: 55.24% | Val Acc: 56.30%
Epoch 12 | Train Acc: 55.81% | Val Acc: 55.40%
Epoch 13 | Train Acc: 56.55% | Val Acc: 58.04%
Epoch 14 | Train Acc: 57.09% | Val Acc: 58.66%
Epoch 15 | Train Acc: 57.88% | Val Acc: 60.43%
Epoch 16 | Train Acc: 58.11% | Val Acc: 59.79%
Epoch 17 | Train Acc: 58.52% | Val Acc: 60.04%
Epoch 18 | Train Acc: 58.93% | Val Acc: 52.55%
Epoch 19 | Train Acc: 59.25% | Val Acc: 56.58%
Epoch 20 | Train Acc: 59.43% | Val Acc: 59.92%
Epoch 21 | Train Acc: 60.43% | Val Acc: 59.94%
Epoch 22 | Train Acc: 60.59% | Val Acc: 61.37%
Epoch 23 | Train Acc: 60.60% | Val Acc: 59.10%
Epoch 24 | Train Acc: 60.59% | Val Acc: 60.42%
Epoch 25 | Train Acc: 60.95% | Val Acc: 61.07%
Epoch 26 | Train Acc: 60.99% | Val Acc: 60.10%
Epoch 27 | Train Acc: 61.22% | Val Acc: 61.56%
Fold 1 Test Accuracy: 54.16%
Epoch 1 | Train Acc: 18.04% | Val Acc: 25.31%
Epoch 2 | Train Acc: 30.23% | Val Acc: 33.35%
Epoch 3 | Train Acc: 35.71% | Val Acc: 38.91%
Epoch 4 | Train Acc: 41.32% | Val Acc: 42.42%
Epoch 5 | Train Acc: 44.96% | Val Acc: 49.15%
Epoch 6 | Train Acc: 47.43% | Val Acc: 51.10%
Epoch 7 | Train Acc: 48.86% | Val Acc: 52.25%
Epoch 8 | Train Acc: 50.35% | Val Acc: 51.75%
Epoch 9 | Train Acc: 51.32% | Val Acc: 53.86%
Epoch 10 | Train Acc: 52.62% | Val Acc: 56.51%
Epoch 11 | Train Acc: 54.74% | Val Acc: 57.71%
Epoch 12 | Train Acc: 55.47% | Val Acc: 58.82%
Epoch 13 | Train Acc: 56.52% | Val Acc: 58.53%
Epoch 14 | Train Acc: 57.11% | Val Acc: 60.17%
Epoch 15 | Train Acc: 57.94% | Val Acc: 60.85%
Epoch 16 | Train Acc: 58.44% | Val Acc: 60.62%
Epoch 17 | Train Acc: 59.21% | Val Acc: 62.29%
Epoch 18 | Train Acc: 59.52% | Val Acc: 58.20%
Epoch 19 | Train Acc: 60.28% | Val Acc: 63.28%
Epoch 20 | Train Acc: 60.81% | Val Acc: 63.43%
Epoch 21 | Train Acc: 62.40% | Val Acc: 64.66%
Epoch 22 | Train Acc: 62.84% | Val Acc: 65.23%
Epoch 23 | Train Acc: 63.24% | Val Acc: 64.10%
Epoch 24 | Train Acc: 63.76% | Val Acc: 66.02%
Epoch 25 | Train Acc: 63.87% | Val Acc: 66.66%
Epoch 26 | Train Acc: 64.56% | Val Acc: 67.21%
Epoch 27 | Train Acc: 65.05% | Val Acc: 67.78%
Epoch 28 | Train Acc: 65.45% | Val Acc: 67.79%
Epoch 29 | Train Acc: 65.77% | Val Acc: 66.42%
Epoch 30 | Train Acc: 66.26% | Val Acc: 69.77%
Epoch 31 | Train Acc: 66.87% | Val Acc: 69.60%
Epoch 32 | Train Acc: 67.25% | Val Acc: 69.73%
Epoch 33 | Train Acc: 67.27% | Val Acc: 70.35%
Epoch 34 | Train Acc: 67.50% | Val Acc: 70.00%
Epoch 35 | Train Acc: 67.74% | Val Acc: 70.85%
Epoch 36 | Train Acc: 68.00% | Val Acc: 71.17%
Epoch 37 | Train Acc: 68.16% | Val Acc: 70.85%
Epoch 38 | Train Acc: 68.16% | Val Acc: 71.13%
Epoch 39 | Train Acc: 68.50% | Val Acc: 71.23%
Epoch 40 | Train Acc: 68.57% | Val Acc: 71.85%
Epoch 41 | Train Acc: 69.01% | Val Acc: 71.97%
Epoch 42 | Train Acc: 69.10% | Val Acc: 72.35%
Epoch 43 | Train Acc: 69.12% | Val Acc: 72.52%
Epoch 44 | Train Acc: 69.17% | Val Acc: 72.35%
Epoch 45 | Train Acc: 69.42% | Val Acc: 72.70%
Epoch 46 | Train Acc: 69.48% | Val Acc: 72.69%
Epoch 47 | Train Acc: 69.57% | Val Acc: 72.72%
Epoch 48 | Train Acc: 69.53% | Val Acc: 72.96%
Epoch 49 | Train Acc: 69.76% | Val Acc: 72.85%
Epoch 50 | Train Acc: 69.76% | Val Acc: 73.04%
Epoch 51 | Train Acc: 69.86% | Val Acc: 73.17%
Epoch 52 | Train Acc: 70.15% | Val Acc: 73.11%
Epoch 53 | Train Acc: 70.18% | Val Acc: 73.33%
Epoch 54 | Train Acc: 70.22% | Val Acc: 73.29%
Epoch 55 | Train Acc: 70.15% | Val Acc: 73.11%
Epoch 56 | Train Acc: 70.22% | Val Acc: 73.56%
Epoch 57 | Train Acc: 70.32% | Val Acc: 73.56%
Epoch 58 | Train Acc: 70.42% | Val Acc: 73.47%
Epoch 59 | Train Acc: 70.33% | Val Acc: 73.71%
Epoch 60 | Train Acc: 70.42% | Val Acc: 73.91%
Epoch 61 | Train Acc: 70.50% | Val Acc: 73.73%
Epoch 62 | Train Acc: 70.56% | Val Acc: 73.97%
Epoch 63 | Train Acc: 70.60% | Val Acc: 73.86%
Epoch 64 | Train Acc: 70.65% | Val Acc: 73.95%
Epoch 65 | Train Acc: 70.70% | Val Acc: 73.92%
Epoch 66 | Train Acc: 70.67% | Val Acc: 73.97%
Epoch 67 | Train Acc: 70.79% | Val Acc: 73.97%
Epoch 68 | Train Acc: 70.77% | Val Acc: 73.94%
Epoch 69 | Train Acc: 70.81% | Val Acc: 74.03%
Epoch 70 | Train Acc: 70.69% | Val Acc: 74.11%
Epoch 71 | Train Acc: 70.91% | Val Acc: 74.02%
Epoch 72 | Train Acc: 70.95% | Val Acc: 73.98%
Epoch 73 | Train Acc: 70.93% | Val Acc: 74.17%
Epoch 74 | Train Acc: 70.91% | Val Acc: 74.06%
Epoch 75 | Train Acc: 70.90% | Val Acc: 74.22%
Epoch 76 | Train Acc: 70.81% | Val Acc: 74.18%
Epoch 77 | Train Acc: 70.80% | Val Acc: 74.20%
Epoch 78 | Train Acc: 70.98% | Val Acc: 74.13%
Epoch 79 | Train Acc: 70.92% | Val Acc: 74.14%
Epoch 80 | Train Acc: 70.98% | Val Acc: 74.17%
Epoch 81 | Train Acc: 71.13% | Val Acc: 74.24%
Epoch 82 | Train Acc: 71.02% | Val Acc: 74.24%
Epoch 83 | Train Acc: 70.92% | Val Acc: 74.17%
Epoch 84 | Train Acc: 71.02% | Val Acc: 74.23%
Epoch 85 | Train Acc: 71.19% | Val Acc: 74.23%
Epoch 86 | Train Acc: 71.10% | Val Acc: 74.22%
Epoch 87 | Train Acc: 70.93% | Val Acc: 74.29%
Epoch 88 | Train Acc: 71.05% | Val Acc: 74.16%
Epoch 89 | Train Acc: 70.95% | Val Acc: 74.34%
Epoch 90 | Train Acc: 70.90% | Val Acc: 74.34%
Epoch 91 | Train Acc: 71.06% | Val Acc: 74.30%
Epoch 92 | Train Acc: 71.06% | Val Acc: 74.31%
Epoch 93 | Train Acc: 71.04% | Val Acc: 74.34%
Epoch 94 | Train Acc: 71.18% | Val Acc: 74.31%
Epoch 95 | Train Acc: 71.02% | Val Acc: 74.40%
Epoch 96 | Train Acc: 71.10% | Val Acc: 74.35%
Epoch 97 | Train Acc: 70.98% | Val Acc: 74.28%
