=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-11-15_15-28-57
Total Classes: 20
SNR: 10 dB
fd (Doppler shift): 266.6666666666667 Hz
Epoch 1 | Train Loss: 3.0222 | Train Acc: 7.30% | Val Loss: 2.9674 | Val Acc: 9.24%
Epoch 2 | Train Loss: 2.9986 | Train Acc: 7.74% | Val Loss: 2.9687 | Val Acc: 9.24%
Epoch 3 | Train Loss: 2.9879 | Train Acc: 8.12% | Val Loss: 2.9648 | Val Acc: 9.24%
Epoch 4 | Train Loss: 2.9372 | Train Acc: 9.42% | Val Loss: 2.0797 | Val Acc: 24.28%
Epoch 5 | Train Loss: 1.4289 | Train Acc: 44.60% | Val Loss: 0.8128 | Val Acc: 66.77%
Epoch 6 | Train Loss: 0.8576 | Train Acc: 65.00% | Val Loss: 0.5608 | Val Acc: 75.95%
Epoch 7 | Train Loss: 0.6665 | Train Acc: 72.53% | Val Loss: 0.4811 | Val Acc: 79.95%
Epoch 8 | Train Loss: 0.5695 | Train Acc: 77.05% | Val Loss: 0.3967 | Val Acc: 83.81%
Epoch 9 | Train Loss: 0.4901 | Train Acc: 80.84% | Val Loss: 0.3533 | Val Acc: 86.37%
Epoch 10 | Train Loss: 0.4320 | Train Acc: 83.36% | Val Loss: 0.3302 | Val Acc: 87.37%
Epoch 11 | Train Loss: 0.3648 | Train Acc: 86.13% | Val Loss: 0.2844 | Val Acc: 89.20%
Epoch 12 | Train Loss: 0.3383 | Train Acc: 87.18% | Val Loss: 0.2821 | Val Acc: 89.35%
Epoch 13 | Train Loss: 0.3184 | Train Acc: 87.97% | Val Loss: 0.2749 | Val Acc: 89.50%
Epoch 14 | Train Loss: 0.3040 | Train Acc: 88.62% | Val Loss: 0.2644 | Val Acc: 90.08%
Epoch 15 | Train Loss: 0.2888 | Train Acc: 89.13% | Val Loss: 0.2518 | Val Acc: 90.68%
Epoch 16 | Train Loss: 0.2767 | Train Acc: 89.71% | Val Loss: 0.2603 | Val Acc: 90.42%
Epoch 17 | Train Loss: 0.2652 | Train Acc: 90.01% | Val Loss: 0.2443 | Val Acc: 90.90%
Epoch 18 | Train Loss: 0.2548 | Train Acc: 90.46% | Val Loss: 0.2441 | Val Acc: 90.86%
Epoch 19 | Train Loss: 0.2402 | Train Acc: 91.01% | Val Loss: 0.2395 | Val Acc: 91.17%
Epoch 20 | Train Loss: 0.2346 | Train Acc: 91.28% | Val Loss: 0.2430 | Val Acc: 91.22%
Epoch 21 | Train Loss: 0.2130 | Train Acc: 91.97% | Val Loss: 0.2324 | Val Acc: 91.47%
Epoch 22 | Train Loss: 0.2043 | Train Acc: 92.48% | Val Loss: 0.2255 | Val Acc: 91.72%
Epoch 23 | Train Loss: 0.1989 | Train Acc: 92.63% | Val Loss: 0.2263 | Val Acc: 91.82%
Epoch 24 | Train Loss: 0.1949 | Train Acc: 92.76% | Val Loss: 0.2278 | Val Acc: 91.82%
Epoch 25 | Train Loss: 0.1904 | Train Acc: 92.99% | Val Loss: 0.2325 | Val Acc: 91.75%
Epoch 26 | Train Loss: 0.1830 | Train Acc: 93.19% | Val Loss: 0.2324 | Val Acc: 91.68%
Epoch 27 | Train Loss: 0.1815 | Train Acc: 93.17% | Val Loss: 0.2347 | Val Acc: 91.60%
Epoch 28 | Train Loss: 0.1777 | Train Acc: 93.41% | Val Loss: 0.2276 | Val Acc: 91.96%
Epoch 29 | Train Loss: 0.1760 | Train Acc: 93.41% | Val Loss: 0.2297 | Val Acc: 91.84%
