=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-11-15_17-08-44
Total Classes: 20
SNR: -5 dB
fd (Doppler shift): 266.6666666666667 Hz
Epoch 1 | Train Loss: 3.0164 | Train Acc: 7.46% | Val Loss: 2.9719 | Val Acc: 9.53%
Epoch 2 | Train Loss: 2.9908 | Train Acc: 7.91% | Val Loss: 2.9645 | Val Acc: 9.53%
Epoch 3 | Train Loss: 2.9774 | Train Acc: 8.56% | Val Loss: 2.9591 | Val Acc: 9.53%
Epoch 4 | Train Loss: 2.9693 | Train Acc: 8.90% | Val Loss: 2.9611 | Val Acc: 9.53%
Epoch 5 | Train Loss: 2.9643 | Train Acc: 9.16% | Val Loss: 2.9576 | Val Acc: 9.53%
Epoch 6 | Train Loss: 2.6620 | Train Acc: 16.06% | Val Loss: 2.4592 | Val Acc: 21.50%
Epoch 7 | Train Loss: 2.4247 | Train Acc: 21.80% | Val Loss: 2.4157 | Val Acc: 23.35%
Epoch 8 | Train Loss: 2.3382 | Train Acc: 24.33% | Val Loss: 2.3273 | Val Acc: 25.67%
Epoch 9 | Train Loss: 2.2674 | Train Acc: 26.26% | Val Loss: 2.2604 | Val Acc: 27.71%
Epoch 10 | Train Loss: 2.2087 | Train Acc: 28.28% | Val Loss: 2.2472 | Val Acc: 28.26%
Epoch 11 | Train Loss: 2.1350 | Train Acc: 30.16% | Val Loss: 2.2192 | Val Acc: 28.91%
Epoch 12 | Train Loss: 2.1015 | Train Acc: 31.02% | Val Loss: 2.2119 | Val Acc: 28.94%
Epoch 13 | Train Loss: 2.0737 | Train Acc: 31.95% | Val Loss: 2.2122 | Val Acc: 29.18%
Epoch 14 | Train Loss: 2.0454 | Train Acc: 32.81% | Val Loss: 2.2153 | Val Acc: 29.09%
Epoch 15 | Train Loss: 2.0141 | Train Acc: 33.67% | Val Loss: 2.2231 | Val Acc: 29.12%
Epoch 16 | Train Loss: 1.9848 | Train Acc: 34.43% | Val Loss: 2.2395 | Val Acc: 28.96%
Epoch 17 | Train Loss: 1.9518 | Train Acc: 35.26% | Val Loss: 2.2370 | Val Acc: 28.88%
Epoch 1 | Train Loss: 3.0163 | Train Acc: 7.46% | Val Loss: 2.9701 | Val Acc: 9.20%
Epoch 2 | Train Loss: 2.9901 | Train Acc: 8.08% | Val Loss: 2.9651 | Val Acc: 9.20%
Epoch 3 | Train Loss: 2.9772 | Train Acc: 8.61% | Val Loss: 2.9620 | Val Acc: 9.20%
Epoch 4 | Train Loss: 2.9691 | Train Acc: 9.00% | Val Loss: 2.9638 | Val Acc: 9.20%
Epoch 5 | Train Loss: 2.9659 | Train Acc: 9.18% | Val Loss: 2.9574 | Val Acc: 9.20%
Epoch 6 | Train Loss: 2.6658 | Train Acc: 16.07% | Val Loss: 2.5415 | Val Acc: 20.98%
Epoch 7 | Train Loss: 2.4322 | Train Acc: 21.80% | Val Loss: 2.3830 | Val Acc: 23.88%
Epoch 8 | Train Loss: 2.3362 | Train Acc: 24.28% | Val Loss: 2.3125 | Val Acc: 25.63%
Epoch 9 | Train Loss: 2.2625 | Train Acc: 26.50% | Val Loss: 2.2842 | Val Acc: 27.05%
Epoch 10 | Train Loss: 2.2088 | Train Acc: 28.12% | Val Loss: 2.2326 | Val Acc: 28.17%
Epoch 11 | Train Loss: 2.1399 | Train Acc: 29.87% | Val Loss: 2.2265 | Val Acc: 28.21%
