=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-11-15_23-00-42
Total Classes: 20
SNR: -20 dB
fd (Doppler shift): 266.6666666666667 Hz
Epoch 1 | Train Loss: 3.0225 | Train Acc: 7.21% | Val Loss: 2.9604 | Val Acc: 9.61%
Epoch 2 | Train Loss: 2.9965 | Train Acc: 7.84% | Val Loss: 2.9604 | Val Acc: 9.61%
Epoch 3 | Train Loss: 2.9901 | Train Acc: 7.96% | Val Loss: 2.9571 | Val Acc: 9.61%
Epoch 4 | Train Loss: 2.9825 | Train Acc: 8.27% | Val Loss: 2.9569 | Val Acc: 9.61%
Epoch 5 | Train Loss: 2.9764 | Train Acc: 8.63% | Val Loss: 2.9596 | Val Acc: 9.61%
Epoch 6 | Train Loss: 2.9727 | Train Acc: 8.75% | Val Loss: 2.9570 | Val Acc: 9.61%
Epoch 7 | Train Loss: 2.9697 | Train Acc: 8.87% | Val Loss: 2.9569 | Val Acc: 9.61%
Epoch 8 | Train Loss: 2.9662 | Train Acc: 9.11% | Val Loss: 2.9561 | Val Acc: 9.61%
Epoch 9 | Train Loss: 2.9646 | Train Acc: 9.17% | Val Loss: 2.9558 | Val Acc: 9.61%
Epoch 10 | Train Loss: 2.9627 | Train Acc: 9.14% | Val Loss: 2.9567 | Val Acc: 9.61%
Epoch 11 | Train Loss: 2.9577 | Train Acc: 9.21% | Val Loss: 2.9584 | Val Acc: 9.60%
Epoch 12 | Train Loss: 2.9489 | Train Acc: 9.17% | Val Loss: 2.9663 | Val Acc: 9.40%
Epoch 13 | Train Loss: 2.9392 | Train Acc: 9.39% | Val Loss: 2.9718 | Val Acc: 9.19%
Epoch 14 | Train Loss: 2.9286 | Train Acc: 9.74% | Val Loss: 2.9864 | Val Acc: 8.64%
Epoch 15 | Train Loss: 2.9157 | Train Acc: 10.01% | Val Loss: 3.0018 | Val Acc: 7.56%
Epoch 16 | Train Loss: 2.9016 | Train Acc: 10.53% | Val Loss: 3.0079 | Val Acc: 8.20%
Epoch 17 | Train Loss: 2.8824 | Train Acc: 11.20% | Val Loss: 3.0208 | Val Acc: 7.39%
