=== Experiment Summary ===
Timestamp: 2025-11-18_09-56-14
Total Classes: 6
SNR: -30 dB
fd (Doppler shift): 266.6666666666667 Hz
equalized: 0
Epoch 1 | Train Acc: 31.76% | Val Acc: 37.34%
Epoch 2 | Train Acc: 37.06% | Val Acc: 38.79%
Epoch 3 | Train Acc: 38.12% | Val Acc: 39.65%
Epoch 4 | Train Acc: 39.26% | Val Acc: 40.00%
Epoch 5 | Train Acc: 39.70% | Val Acc: 40.64%
Epoch 6 | Train Acc: 40.19% | Val Acc: 40.86%
Epoch 7 | Train Acc: 40.26% | Val Acc: 41.26%
Epoch 8 | Train Acc: 40.62% | Val Acc: 41.97%
Epoch 9 | Train Acc: 40.93% | Val Acc: 41.63%
Epoch 10 | Train Acc: 41.03% | Val Acc: 41.56%
Epoch 11 | Train Acc: 41.40% | Val Acc: 42.24%
Epoch 12 | Train Acc: 41.62% | Val Acc: 41.92%
Epoch 13 | Train Acc: 41.70% | Val Acc: 42.29%
Epoch 14 | Train Acc: 41.67% | Val Acc: 42.30%
Epoch 15 | Train Acc: 41.75% | Val Acc: 42.25%
Epoch 16 | Train Acc: 41.71% | Val Acc: 42.01%
Epoch 17 | Train Acc: 41.85% | Val Acc: 42.16%
Epoch 18 | Train Acc: 41.83% | Val Acc: 41.98%
Epoch 19 | Train Acc: 42.00% | Val Acc: 41.95%
Epoch 20 | Train Acc: 41.96% | Val Acc: 42.17%
Epoch 21 | Train Acc: 42.09% | Val Acc: 42.26%
Epoch 22 | Train Acc: 42.13% | Val Acc: 42.36%
Epoch 23 | Train Acc: 42.17% | Val Acc: 42.44%
Epoch 24 | Train Acc: 42.22% | Val Acc: 42.43%
Epoch 25 | Train Acc: 42.11% | Val Acc: 42.49%
Epoch 26 | Train Acc: 42.20% | Val Acc: 42.53%
Epoch 27 | Train Acc: 42.24% | Val Acc: 42.50%
Epoch 28 | Train Acc: 42.21% | Val Acc: 42.53%
Epoch 29 | Train Acc: 42.24% | Val Acc: 42.60%
Epoch 30 | Train Acc: 42.22% | Val Acc: 42.52%
Epoch 31 | Train Acc: 42.38% | Val Acc: 42.69%
Epoch 32 | Train Acc: 42.37% | Val Acc: 42.82%
Epoch 33 | Train Acc: 42.37% | Val Acc: 42.75%
Epoch 34 | Train Acc: 42.25% | Val Acc: 42.49%
Epoch 35 | Train Acc: 42.50% | Val Acc: 42.55%
Epoch 36 | Train Acc: 42.42% | Val Acc: 42.55%
Epoch 37 | Train Acc: 42.41% | Val Acc: 42.80%
Epoch 38 | Train Acc: 42.43% | Val Acc: 42.57%
Epoch 39 | Train Acc: 42.36% | Val Acc: 42.46%
Epoch 40 | Train Acc: 42.38% | Val Acc: 42.52%
Fold 1 Test Accuracy: 42.36%
Epoch 1 | Train Acc: 31.23% | Val Acc: 36.93%
Epoch 2 | Train Acc: 37.15% | Val Acc: 37.93%
Epoch 3 | Train Acc: 38.17% | Val Acc: 39.06%
Epoch 4 | Train Acc: 39.32% | Val Acc: 39.03%
Epoch 5 | Train Acc: 39.74% | Val Acc: 39.98%
Epoch 6 | Train Acc: 40.24% | Val Acc: 41.08%
Epoch 7 | Train Acc: 40.35% | Val Acc: 40.78%
Epoch 8 | Train Acc: 40.70% | Val Acc: 40.91%
Epoch 9 | Train Acc: 40.92% | Val Acc: 40.76%
Epoch 10 | Train Acc: 41.14% | Val Acc: 41.04%
Epoch 11 | Train Acc: 41.57% | Val Acc: 41.98%
Epoch 12 | Train Acc: 41.70% | Val Acc: 41.65%
Epoch 13 | Train Acc: 41.76% | Val Acc: 42.06%
Epoch 14 | Train Acc: 41.84% | Val Acc: 41.98%
Epoch 15 | Train Acc: 41.89% | Val Acc: 41.74%
Epoch 16 | Train Acc: 41.85% | Val Acc: 41.98%
Fold 2 Test Accuracy: 40.50%
Epoch 1 | Train Acc: 31.47% | Val Acc: 37.58%
Epoch 2 | Train Acc: 36.92% | Val Acc: 38.06%
Epoch 3 | Train Acc: 38.10% | Val Acc: 39.78%
Epoch 4 | Train Acc: 39.25% | Val Acc: 40.36%
Epoch 5 | Train Acc: 39.57% | Val Acc: 39.86%
Epoch 6 | Train Acc: 39.90% | Val Acc: 40.51%
Epoch 7 | Train Acc: 40.39% | Val Acc: 40.63%
Epoch 8 | Train Acc: 40.59% | Val Acc: 40.73%
Epoch 9 | Train Acc: 40.68% | Val Acc: 41.17%
Epoch 10 | Train Acc: 41.00% | Val Acc: 41.60%
Epoch 11 | Train Acc: 41.40% | Val Acc: 41.80%
Epoch 12 | Train Acc: 41.47% | Val Acc: 41.53%
Epoch 13 | Train Acc: 41.52% | Val Acc: 41.95%
Epoch 14 | Train Acc: 41.66% | Val Acc: 42.29%
Epoch 15 | Train Acc: 41.59% | Val Acc: 42.16%
Epoch 16 | Train Acc: 41.74% | Val Acc: 42.16%
Epoch 17 | Train Acc: 41.74% | Val Acc: 42.33%
Epoch 18 | Train Acc: 41.77% | Val Acc: 42.18%
Epoch 19 | Train Acc: 41.81% | Val Acc: 41.94%
Epoch 20 | Train Acc: 41.99% | Val Acc: 41.92%
Epoch 21 | Train Acc: 42.07% | Val Acc: 42.32%
Epoch 22 | Train Acc: 42.11% | Val Acc: 42.48%
Epoch 23 | Train Acc: 42.08% | Val Acc: 42.65%
Epoch 24 | Train Acc: 42.16% | Val Acc: 42.58%
Epoch 25 | Train Acc: 42.12% | Val Acc: 42.10%
Epoch 26 | Train Acc: 42.04% | Val Acc: 42.11%
Epoch 27 | Train Acc: 42.09% | Val Acc: 42.56%
Epoch 28 | Train Acc: 42.31% | Val Acc: 42.85%
Epoch 29 | Train Acc: 42.21% | Val Acc: 42.51%
Epoch 30 | Train Acc: 42.17% | Val Acc: 42.56%
Epoch 31 | Train Acc: 42.22% | Val Acc: 42.75%
Epoch 32 | Train Acc: 42.34% | Val Acc: 42.57%
Epoch 33 | Train Acc: 42.29% | Val Acc: 42.69%
Epoch 34 | Train Acc: 42.28% | Val Acc: 42.71%
Epoch 35 | Train Acc: 42.25% | Val Acc: 42.64%
Epoch 36 | Train Acc: 42.26% | Val Acc: 42.63%
Epoch 37 | Train Acc: 42.27% | Val Acc: 42.81%
Epoch 38 | Train Acc: 42.25% | Val Acc: 42.75%
Epoch 39 | Train Acc: 42.37% | Val Acc: 42.56%
Epoch 40 | Train Acc: 42.25% | Val Acc: 42.76%
Epoch 41 | Train Acc: 42.33% | Val Acc: 42.53%
Epoch 42 | Train Acc: 42.40% | Val Acc: 42.51%
Fold 3 Test Accuracy: 41.40%
Epoch 1 | Train Acc: 31.43% | Val Acc: 36.78%
Epoch 2 | Train Acc: 36.94% | Val Acc: 38.46%
Epoch 3 | Train Acc: 38.15% | Val Acc: 39.63%
Epoch 4 | Train Acc: 39.35% | Val Acc: 39.97%
Epoch 5 | Train Acc: 39.86% | Val Acc: 40.23%
Epoch 6 | Train Acc: 40.02% | Val Acc: 40.87%
Epoch 7 | Train Acc: 40.40% | Val Acc: 41.00%
Epoch 8 | Train Acc: 40.66% | Val Acc: 41.05%
Epoch 9 | Train Acc: 40.57% | Val Acc: 41.48%
Epoch 10 | Train Acc: 40.83% | Val Acc: 40.94%
Epoch 11 | Train Acc: 41.18% | Val Acc: 41.95%
Epoch 12 | Train Acc: 41.26% | Val Acc: 41.78%
Epoch 13 | Train Acc: 41.33% | Val Acc: 42.06%
Epoch 14 | Train Acc: 41.55% | Val Acc: 42.11%
Epoch 15 | Train Acc: 41.41% | Val Acc: 42.03%
Epoch 16 | Train Acc: 41.59% | Val Acc: 42.22%
Epoch 17 | Train Acc: 41.60% | Val Acc: 42.09%
Epoch 18 | Train Acc: 41.74% | Val Acc: 42.39%
Epoch 19 | Train Acc: 41.64% | Val Acc: 42.00%
Epoch 20 | Train Acc: 41.67% | Val Acc: 42.45%
Epoch 21 | Train Acc: 41.91% | Val Acc: 42.25%
Epoch 22 | Train Acc: 41.88% | Val Acc: 42.33%
Epoch 23 | Train Acc: 41.99% | Val Acc: 42.51%
Epoch 24 | Train Acc: 42.02% | Val Acc: 42.27%
Epoch 25 | Train Acc: 41.88% | Val Acc: 42.82%
Epoch 26 | Train Acc: 42.00% | Val Acc: 42.38%
Epoch 27 | Train Acc: 41.97% | Val Acc: 42.35%
Epoch 28 | Train Acc: 41.94% | Val Acc: 42.45%
Epoch 29 | Train Acc: 42.04% | Val Acc: 42.18%
Epoch 30 | Train Acc: 42.00% | Val Acc: 42.58%
Fold 4 Test Accuracy: 40.93%
Epoch 1 | Train Acc: 31.62% | Val Acc: 35.10%
Epoch 2 | Train Acc: 36.92% | Val Acc: 37.76%
Epoch 3 | Train Acc: 38.20% | Val Acc: 38.57%
Epoch 4 | Train Acc: 39.39% | Val Acc: 39.95%
Epoch 5 | Train Acc: 39.85% | Val Acc: 39.49%
Epoch 6 | Train Acc: 40.15% | Val Acc: 40.48%
Epoch 7 | Train Acc: 40.28% | Val Acc: 40.02%
Epoch 8 | Train Acc: 40.58% | Val Acc: 41.64%
Epoch 9 | Train Acc: 40.74% | Val Acc: 40.66%
Epoch 10 | Train Acc: 40.94% | Val Acc: 40.24%
Epoch 11 | Train Acc: 41.28% | Val Acc: 41.45%
Epoch 12 | Train Acc: 41.45% | Val Acc: 41.22%
Epoch 13 | Train Acc: 41.50% | Val Acc: 41.05%
Epoch 14 | Train Acc: 41.59% | Val Acc: 41.73%
Epoch 15 | Train Acc: 41.57% | Val Acc: 41.01%
Epoch 16 | Train Acc: 41.70% | Val Acc: 41.60%
Epoch 17 | Train Acc: 41.89% | Val Acc: 41.83%
Epoch 18 | Train Acc: 41.78% | Val Acc: 42.07%
Epoch 19 | Train Acc: 41.80% | Val Acc: 41.44%
Epoch 20 | Train Acc: 41.85% | Val Acc: 41.59%
Epoch 21 | Train Acc: 42.10% | Val Acc: 42.13%
Epoch 22 | Train Acc: 42.10% | Val Acc: 41.71%
Epoch 23 | Train Acc: 42.08% | Val Acc: 42.11%
Epoch 24 | Train Acc: 42.13% | Val Acc: 42.17%
Epoch 25 | Train Acc: 42.04% | Val Acc: 42.21%
Epoch 26 | Train Acc: 42.06% | Val Acc: 42.11%
Epoch 27 | Train Acc: 42.12% | Val Acc: 42.18%
Epoch 28 | Train Acc: 42.17% | Val Acc: 42.18%
Epoch 29 | Train Acc: 42.13% | Val Acc: 42.24%
Epoch 30 | Train Acc: 42.17% | Val Acc: 42.08%
Epoch 31 | Train Acc: 42.27% | Val Acc: 42.09%
Epoch 32 | Train Acc: 42.27% | Val Acc: 41.93%
Epoch 33 | Train Acc: 42.17% | Val Acc: 41.93%
Epoch 34 | Train Acc: 42.27% | Val Acc: 41.99%
Fold 5 Test Accuracy: 40.44%

=== Summary ===
Fold 1: Val Acc = 42.82%, Test Acc = 42.36%
Fold 2: Val Acc = 42.06%, Test Acc = 40.50%
Fold 3: Val Acc = 42.85%, Test Acc = 41.40%
Fold 4: Val Acc = 42.82%, Test Acc = 40.93%
Fold 5: Val Acc = 42.24%, Test Acc = 40.44%

Average Validation Accuracy: 42.56%
Average Test Accuracy: 41.13%
