=== Experiment Summary ===
Timestamp: 2025-11-19_18-32-31
Total Classes: 6
SNR: 20 dB
fd (Doppler shift): 655.5555555555557 Hz
equalized: 0
Epoch 1 | Train Acc: 25.16% | Val Acc: 36.93%
Epoch 2 | Train Acc: 44.04% | Val Acc: 56.99%
Epoch 3 | Train Acc: 58.11% | Val Acc: 67.25%
Epoch 4 | Train Acc: 67.74% | Val Acc: 76.76%
Epoch 5 | Train Acc: 76.38% | Val Acc: 82.98%
Epoch 6 | Train Acc: 83.19% | Val Acc: 89.51%
Epoch 7 | Train Acc: 87.75% | Val Acc: 93.49%
Epoch 8 | Train Acc: 90.46% | Val Acc: 92.93%
Epoch 9 | Train Acc: 91.55% | Val Acc: 91.69%
Epoch 10 | Train Acc: 93.49% | Val Acc: 96.63%
Epoch 11 | Train Acc: 95.27% | Val Acc: 97.93%
Epoch 12 | Train Acc: 95.79% | Val Acc: 97.96%
Epoch 13 | Train Acc: 95.82% | Val Acc: 98.30%
Epoch 14 | Train Acc: 96.21% | Val Acc: 98.41%
Epoch 15 | Train Acc: 96.48% | Val Acc: 98.12%
Epoch 16 | Train Acc: 96.78% | Val Acc: 98.78%
Epoch 17 | Train Acc: 96.70% | Val Acc: 98.68%
Epoch 18 | Train Acc: 97.21% | Val Acc: 98.85%
Epoch 19 | Train Acc: 97.05% | Val Acc: 98.70%
Epoch 20 | Train Acc: 97.27% | Val Acc: 98.89%
Epoch 21 | Train Acc: 97.89% | Val Acc: 99.02%
Epoch 22 | Train Acc: 97.92% | Val Acc: 98.99%
Epoch 23 | Train Acc: 97.97% | Val Acc: 99.06%
Epoch 24 | Train Acc: 97.95% | Val Acc: 99.04%
Epoch 25 | Train Acc: 98.05% | Val Acc: 98.88%
Epoch 26 | Train Acc: 98.01% | Val Acc: 98.83%
Epoch 27 | Train Acc: 98.08% | Val Acc: 98.52%
Epoch 28 | Train Acc: 98.15% | Val Acc: 99.17%
Epoch 29 | Train Acc: 98.06% | Val Acc: 99.10%
Epoch 30 | Train Acc: 98.23% | Val Acc: 98.94%
Epoch 31 | Train Acc: 98.48% | Val Acc: 99.17%
Epoch 32 | Train Acc: 98.42% | Val Acc: 99.10%
Epoch 33 | Train Acc: 98.44% | Val Acc: 99.23%
Epoch 34 | Train Acc: 98.47% | Val Acc: 99.22%
Epoch 35 | Train Acc: 98.45% | Val Acc: 99.00%
Epoch 36 | Train Acc: 98.47% | Val Acc: 99.18%
