=== Experiment Summary ===
Timestamp: 2025-11-21_21-25-40
Total Classes: 6
SNR: -10 dB
fd (Doppler shift): 266.6666666666667 Hz
equalized: 0
Epoch 1 | Train Acc: 28.96% | Val Acc: 35.67%
Epoch 2 | Train Acc: 37.09% | Val Acc: 42.31%
Epoch 3 | Train Acc: 42.42% | Val Acc: 44.80%
Epoch 4 | Train Acc: 45.84% | Val Acc: 46.04%
Epoch 5 | Train Acc: 48.41% | Val Acc: 51.35%
Epoch 6 | Train Acc: 50.36% | Val Acc: 53.14%
Epoch 7 | Train Acc: 51.90% | Val Acc: 52.83%
Epoch 8 | Train Acc: 52.63% | Val Acc: 53.33%
Epoch 9 | Train Acc: 53.53% | Val Acc: 54.74%
Epoch 10 | Train Acc: 53.76% | Val Acc: 56.01%
Epoch 11 | Train Acc: 55.14% | Val Acc: 54.27%
Epoch 12 | Train Acc: 55.10% | Val Acc: 56.47%
Epoch 13 | Train Acc: 55.46% | Val Acc: 56.55%
Epoch 14 | Train Acc: 55.48% | Val Acc: 57.06%
Epoch 15 | Train Acc: 55.51% | Val Acc: 55.56%
Epoch 16 | Train Acc: 56.05% | Val Acc: 57.40%
Epoch 17 | Train Acc: 56.11% | Val Acc: 56.48%
Epoch 18 | Train Acc: 56.12% | Val Acc: 57.18%
Epoch 19 | Train Acc: 56.25% | Val Acc: 56.21%
Epoch 20 | Train Acc: 56.51% | Val Acc: 57.55%
Epoch 21 | Train Acc: 56.90% | Val Acc: 57.79%
Epoch 22 | Train Acc: 56.94% | Val Acc: 57.70%
Epoch 23 | Train Acc: 57.09% | Val Acc: 58.41%
Epoch 24 | Train Acc: 57.09% | Val Acc: 58.51%
Epoch 25 | Train Acc: 56.98% | Val Acc: 57.88%
Epoch 26 | Train Acc: 57.26% | Val Acc: 58.39%
Epoch 27 | Train Acc: 57.22% | Val Acc: 57.55%
Epoch 28 | Train Acc: 57.34% | Val Acc: 58.30%
Epoch 29 | Train Acc: 57.33% | Val Acc: 58.50%
