=== Experiment Summary ===
Timestamp: 2025-11-23_07-41-28
Total Classes: 6
SNR: 10 dB
fd (Doppler shift): 266.6666666666667 Hz
equalized: 0 
Epoch 1 | Train Acc: 32.69% | Val Acc: 61.26%
Epoch 2 | Train Acc: 63.57% | Val Acc: 65.99%
Epoch 3 | Train Acc: 67.46% | Val Acc: 71.37%
Epoch 4 | Train Acc: 74.91% | Val Acc: 77.50%
Epoch 5 | Train Acc: 79.38% | Val Acc: 79.75%
Epoch 6 | Train Acc: 80.69% | Val Acc: 81.18%
Epoch 7 | Train Acc: 81.89% | Val Acc: 80.30%
Epoch 8 | Train Acc: 82.74% | Val Acc: 83.57%
Epoch 9 | Train Acc: 83.30% | Val Acc: 82.23%
Epoch 10 | Train Acc: 83.87% | Val Acc: 84.38%
Epoch 11 | Train Acc: 84.65% | Val Acc: 84.59%
Epoch 12 | Train Acc: 84.90% | Val Acc: 85.31%
Epoch 13 | Train Acc: 84.96% | Val Acc: 84.73%
Epoch 14 | Train Acc: 85.16% | Val Acc: 84.45%
Epoch 15 | Train Acc: 85.35% | Val Acc: 86.27%
Epoch 16 | Train Acc: 85.59% | Val Acc: 85.66%
Epoch 17 | Train Acc: 85.75% | Val Acc: 86.13%
Epoch 18 | Train Acc: 85.92% | Val Acc: 85.92%
Epoch 19 | Train Acc: 85.93% | Val Acc: 85.87%
Epoch 20 | Train Acc: 86.25% | Val Acc: 86.60%
Epoch 21 | Train Acc: 86.49% | Val Acc: 86.98%
Epoch 22 | Train Acc: 86.51% | Val Acc: 86.88%
Epoch 23 | Train Acc: 86.57% | Val Acc: 86.80%
Epoch 24 | Train Acc: 86.68% | Val Acc: 86.90%
Epoch 25 | Train Acc: 86.76% | Val Acc: 86.93%
Epoch 26 | Train Acc: 86.78% | Val Acc: 87.26%
Epoch 27 | Train Acc: 86.91% | Val Acc: 87.33%
Epoch 28 | Train Acc: 86.96% | Val Acc: 86.73%
Epoch 29 | Train Acc: 86.98% | Val Acc: 87.56%
Epoch 30 | Train Acc: 87.08% | Val Acc: 87.38%
Epoch 31 | Train Acc: 87.31% | Val Acc: 87.38%
Epoch 32 | Train Acc: 87.39% | Val Acc: 87.56%
Epoch 33 | Train Acc: 87.37% | Val Acc: 87.25%
Epoch 34 | Train Acc: 87.38% | Val Acc: 86.31%
Epoch 35 | Train Acc: 87.43% | Val Acc: 87.62%
Epoch 36 | Train Acc: 87.40% | Val Acc: 87.22%
Epoch 37 | Train Acc: 87.47% | Val Acc: 87.77%
Epoch 38 | Train Acc: 87.47% | Val Acc: 86.97%
Epoch 39 | Train Acc: 87.57% | Val Acc: 87.52%
Epoch 40 | Train Acc: 87.49% | Val Acc: 87.47%
Epoch 41 | Train Acc: 87.69% | Val Acc: 87.68%
Epoch 42 | Train Acc: 87.68% | Val Acc: 87.62%
Epoch 43 | Train Acc: 87.75% | Val Acc: 87.32%
Epoch 44 | Train Acc: 87.74% | Val Acc: 88.00%
Epoch 45 | Train Acc: 87.77% | Val Acc: 87.75%
Epoch 46 | Train Acc: 87.75% | Val Acc: 87.54%
Epoch 47 | Train Acc: 87.70% | Val Acc: 87.72%
Epoch 48 | Train Acc: 87.75% | Val Acc: 87.56%
Epoch 49 | Train Acc: 87.71% | Val Acc: 87.86%
Epoch 50 | Train Acc: 87.78% | Val Acc: 88.00%
Epoch 51 | Train Acc: 87.86% | Val Acc: 87.96%
Epoch 52 | Train Acc: 87.89% | Val Acc: 87.92%
Epoch 53 | Train Acc: 87.86% | Val Acc: 87.99%
Epoch 54 | Train Acc: 87.89% | Val Acc: 87.93%
Epoch 55 | Train Acc: 87.88% | Val Acc: 87.98%
Epoch 56 | Train Acc: 87.88% | Val Acc: 88.10%
Epoch 57 | Train Acc: 87.89% | Val Acc: 87.96%
Epoch 58 | Train Acc: 87.90% | Val Acc: 88.03%
Epoch 59 | Train Acc: 87.92% | Val Acc: 87.96%
Epoch 60 | Train Acc: 87.95% | Val Acc: 88.04%
Epoch 61 | Train Acc: 87.94% | Val Acc: 87.82%
Epoch 62 | Train Acc: 87.97% | Val Acc: 87.99%
Epoch 63 | Train Acc: 87.92% | Val Acc: 88.04%
Epoch 64 | Train Acc: 87.97% | Val Acc: 87.93%
Epoch 65 | Train Acc: 87.98% | Val Acc: 87.96%
Epoch 66 | Train Acc: 87.92% | Val Acc: 88.04%
Fold 1 Test Accuracy: 82.76%
Epoch 1 | Train Acc: 33.14% | Val Acc: 62.68%
Epoch 2 | Train Acc: 63.59% | Val Acc: 62.94%
Epoch 3 | Train Acc: 65.40% | Val Acc: 66.54%
Epoch 4 | Train Acc: 69.92% | Val Acc: 77.04%
Epoch 5 | Train Acc: 76.76% | Val Acc: 79.56%
Epoch 6 | Train Acc: 79.60% | Val Acc: 81.14%
Epoch 7 | Train Acc: 81.01% | Val Acc: 82.04%
Epoch 8 | Train Acc: 81.94% | Val Acc: 84.10%
Epoch 9 | Train Acc: 82.69% | Val Acc: 84.62%
Epoch 10 | Train Acc: 83.24% | Val Acc: 84.23%
Epoch 11 | Train Acc: 83.96% | Val Acc: 84.47%
Epoch 12 | Train Acc: 84.12% | Val Acc: 85.27%
Epoch 13 | Train Acc: 84.45% | Val Acc: 85.00%
Epoch 14 | Train Acc: 84.55% | Val Acc: 85.12%
Epoch 15 | Train Acc: 84.81% | Val Acc: 85.64%
Epoch 16 | Train Acc: 84.88% | Val Acc: 85.58%
Epoch 17 | Train Acc: 85.03% | Val Acc: 86.09%
Epoch 18 | Train Acc: 85.16% | Val Acc: 86.07%
Epoch 19 | Train Acc: 85.43% | Val Acc: 85.32%
Epoch 20 | Train Acc: 85.54% | Val Acc: 86.55%
Epoch 21 | Train Acc: 85.85% | Val Acc: 86.99%
Epoch 22 | Train Acc: 85.97% | Val Acc: 86.86%
Epoch 23 | Train Acc: 86.02% | Val Acc: 86.97%
Epoch 24 | Train Acc: 86.19% | Val Acc: 86.95%
Epoch 25 | Train Acc: 86.19% | Val Acc: 86.94%
Epoch 26 | Train Acc: 86.24% | Val Acc: 87.09%
Epoch 27 | Train Acc: 86.32% | Val Acc: 86.89%
Epoch 28 | Train Acc: 86.45% | Val Acc: 87.14%
Epoch 29 | Train Acc: 86.37% | Val Acc: 87.01%
Epoch 30 | Train Acc: 86.49% | Val Acc: 87.10%
Epoch 31 | Train Acc: 86.63% | Val Acc: 87.69%
Epoch 32 | Train Acc: 86.73% | Val Acc: 87.57%
Epoch 33 | Train Acc: 86.79% | Val Acc: 87.47%
Epoch 34 | Train Acc: 86.85% | Val Acc: 87.60%
Epoch 35 | Train Acc: 86.88% | Val Acc: 87.88%
Epoch 36 | Train Acc: 86.93% | Val Acc: 87.71%
Epoch 37 | Train Acc: 87.01% | Val Acc: 87.57%
Epoch 38 | Train Acc: 86.91% | Val Acc: 87.74%
Epoch 39 | Train Acc: 86.99% | Val Acc: 87.78%
Epoch 40 | Train Acc: 87.06% | Val Acc: 87.87%
Epoch 41 | Train Acc: 87.15% | Val Acc: 88.03%
Epoch 42 | Train Acc: 87.08% | Val Acc: 87.80%
Epoch 43 | Train Acc: 87.16% | Val Acc: 88.07%
Epoch 44 | Train Acc: 87.29% | Val Acc: 88.12%
Epoch 45 | Train Acc: 87.23% | Val Acc: 87.67%
Epoch 46 | Train Acc: 87.19% | Val Acc: 87.97%
Epoch 47 | Train Acc: 87.35% | Val Acc: 87.98%
Epoch 48 | Train Acc: 87.35% | Val Acc: 88.04%
Epoch 49 | Train Acc: 87.35% | Val Acc: 87.88%
Epoch 50 | Train Acc: 87.31% | Val Acc: 88.20%
Epoch 51 | Train Acc: 87.35% | Val Acc: 88.13%
Epoch 52 | Train Acc: 87.30% | Val Acc: 88.20%
Epoch 53 | Train Acc: 87.35% | Val Acc: 88.17%
Epoch 54 | Train Acc: 87.40% | Val Acc: 87.89%
Epoch 55 | Train Acc: 87.37% | Val Acc: 88.23%
Epoch 56 | Train Acc: 87.48% | Val Acc: 88.24%
Epoch 57 | Train Acc: 87.35% | Val Acc: 88.14%
Epoch 58 | Train Acc: 87.38% | Val Acc: 88.25%
Epoch 59 | Train Acc: 87.41% | Val Acc: 88.19%
Epoch 60 | Train Acc: 87.45% | Val Acc: 88.36%
Epoch 61 | Train Acc: 87.47% | Val Acc: 88.15%
Epoch 62 | Train Acc: 87.60% | Val Acc: 88.25%
Epoch 63 | Train Acc: 87.45% | Val Acc: 88.21%
Epoch 64 | Train Acc: 87.47% | Val Acc: 88.12%
Epoch 65 | Train Acc: 87.50% | Val Acc: 88.19%
Epoch 66 | Train Acc: 87.45% | Val Acc: 88.29%
Epoch 67 | Train Acc: 87.47% | Val Acc: 88.16%
Epoch 68 | Train Acc: 87.50% | Val Acc: 88.18%
Epoch 69 | Train Acc: 87.49% | Val Acc: 88.26%
Epoch 70 | Train Acc: 87.43% | Val Acc: 88.36%
Fold 2 Test Accuracy: 84.51%
Epoch 1 | Train Acc: 19.87% | Val Acc: 46.58%
Epoch 2 | Train Acc: 62.29% | Val Acc: 64.54%
Epoch 3 | Train Acc: 66.54% | Val Acc: 71.61%
Epoch 4 | Train Acc: 74.71% | Val Acc: 79.49%
Epoch 5 | Train Acc: 80.08% | Val Acc: 81.23%
Epoch 6 | Train Acc: 81.86% | Val Acc: 83.86%
Epoch 7 | Train Acc: 82.64% | Val Acc: 84.48%
Epoch 8 | Train Acc: 83.22% | Val Acc: 84.71%
Epoch 9 | Train Acc: 83.62% | Val Acc: 84.23%
Epoch 10 | Train Acc: 84.06% | Val Acc: 84.08%
Epoch 11 | Train Acc: 84.84% | Val Acc: 85.58%
Epoch 12 | Train Acc: 85.03% | Val Acc: 86.22%
Epoch 13 | Train Acc: 85.16% | Val Acc: 86.16%
Epoch 14 | Train Acc: 85.44% | Val Acc: 86.06%
Epoch 15 | Train Acc: 85.56% | Val Acc: 86.59%
Epoch 16 | Train Acc: 85.65% | Val Acc: 85.02%
Epoch 17 | Train Acc: 85.80% | Val Acc: 86.46%
Epoch 18 | Train Acc: 85.96% | Val Acc: 86.85%
Epoch 19 | Train Acc: 86.18% | Val Acc: 86.96%
Epoch 20 | Train Acc: 86.30% | Val Acc: 87.13%
Epoch 21 | Train Acc: 86.62% | Val Acc: 87.07%
Epoch 22 | Train Acc: 86.69% | Val Acc: 87.70%
Epoch 23 | Train Acc: 86.76% | Val Acc: 87.42%
Epoch 24 | Train Acc: 86.78% | Val Acc: 86.97%
Epoch 25 | Train Acc: 86.85% | Val Acc: 87.52%
Epoch 26 | Train Acc: 86.95% | Val Acc: 87.14%
Epoch 27 | Train Acc: 86.95% | Val Acc: 87.87%
Epoch 28 | Train Acc: 87.02% | Val Acc: 87.66%
Epoch 29 | Train Acc: 87.12% | Val Acc: 87.68%
Epoch 30 | Train Acc: 87.16% | Val Acc: 87.85%
Epoch 31 | Train Acc: 87.32% | Val Acc: 87.52%
Epoch 32 | Train Acc: 87.42% | Val Acc: 87.64%
Epoch 33 | Train Acc: 87.48% | Val Acc: 88.06%
Epoch 34 | Train Acc: 87.50% | Val Acc: 87.58%
Epoch 35 | Train Acc: 87.53% | Val Acc: 88.06%
Epoch 36 | Train Acc: 87.57% | Val Acc: 88.24%
Epoch 37 | Train Acc: 87.60% | Val Acc: 87.62%
Epoch 38 | Train Acc: 87.64% | Val Acc: 88.05%
Epoch 39 | Train Acc: 87.69% | Val Acc: 88.37%
Epoch 40 | Train Acc: 87.78% | Val Acc: 88.45%
Epoch 41 | Train Acc: 87.74% | Val Acc: 88.41%
Epoch 42 | Train Acc: 87.80% | Val Acc: 88.36%
Epoch 43 | Train Acc: 87.78% | Val Acc: 88.01%
Epoch 44 | Train Acc: 87.85% | Val Acc: 88.48%
Epoch 45 | Train Acc: 87.89% | Val Acc: 88.66%
Epoch 46 | Train Acc: 87.92% | Val Acc: 88.51%
Epoch 47 | Train Acc: 87.96% | Val Acc: 88.55%
Epoch 48 | Train Acc: 87.96% | Val Acc: 88.17%
Epoch 49 | Train Acc: 88.02% | Val Acc: 88.50%
Epoch 50 | Train Acc: 87.93% | Val Acc: 88.58%
Epoch 51 | Train Acc: 87.92% | Val Acc: 88.76%
Epoch 52 | Train Acc: 88.02% | Val Acc: 88.32%
Epoch 53 | Train Acc: 88.08% | Val Acc: 88.53%
Epoch 54 | Train Acc: 88.09% | Val Acc: 88.29%
Epoch 55 | Train Acc: 88.10% | Val Acc: 88.67%
Epoch 56 | Train Acc: 88.09% | Val Acc: 88.61%
Epoch 57 | Train Acc: 88.11% | Val Acc: 88.35%
Epoch 58 | Train Acc: 88.11% | Val Acc: 88.72%
Epoch 59 | Train Acc: 88.10% | Val Acc: 88.51%
Epoch 60 | Train Acc: 88.13% | Val Acc: 88.65%
Epoch 61 | Train Acc: 88.13% | Val Acc: 88.70%
Epoch 62 | Train Acc: 88.15% | Val Acc: 88.46%
Epoch 63 | Train Acc: 88.19% | Val Acc: 88.71%
Epoch 64 | Train Acc: 88.11% | Val Acc: 88.46%
Epoch 65 | Train Acc: 88.19% | Val Acc: 88.55%
Fold 3 Test Accuracy: 83.60%
Epoch 1 | Train Acc: 31.58% | Val Acc: 60.93%
Epoch 2 | Train Acc: 64.03% | Val Acc: 66.97%
Epoch 3 | Train Acc: 67.02% | Val Acc: 72.93%
Epoch 4 | Train Acc: 73.89% | Val Acc: 73.92%
Epoch 5 | Train Acc: 79.36% | Val Acc: 80.64%
Epoch 6 | Train Acc: 81.61% | Val Acc: 83.20%
Epoch 7 | Train Acc: 82.40% | Val Acc: 83.52%
Epoch 8 | Train Acc: 83.26% | Val Acc: 83.47%
Epoch 9 | Train Acc: 84.00% | Val Acc: 84.95%
Epoch 10 | Train Acc: 84.40% | Val Acc: 84.99%
Epoch 11 | Train Acc: 85.12% | Val Acc: 85.12%
Epoch 12 | Train Acc: 85.35% | Val Acc: 85.79%
Epoch 13 | Train Acc: 85.58% | Val Acc: 85.85%
Epoch 14 | Train Acc: 85.55% | Val Acc: 86.07%
Epoch 15 | Train Acc: 85.73% | Val Acc: 85.17%
Epoch 16 | Train Acc: 85.95% | Val Acc: 86.70%
Epoch 17 | Train Acc: 85.95% | Val Acc: 86.55%
Epoch 18 | Train Acc: 86.08% | Val Acc: 86.47%
Epoch 19 | Train Acc: 86.35% | Val Acc: 86.16%
Epoch 20 | Train Acc: 86.34% | Val Acc: 86.79%
Epoch 21 | Train Acc: 86.70% | Val Acc: 86.02%
Epoch 22 | Train Acc: 86.75% | Val Acc: 87.18%
Epoch 23 | Train Acc: 86.74% | Val Acc: 87.08%
Epoch 24 | Train Acc: 86.86% | Val Acc: 86.31%
Epoch 25 | Train Acc: 86.91% | Val Acc: 86.93%
Epoch 26 | Train Acc: 86.97% | Val Acc: 86.50%
Epoch 27 | Train Acc: 86.92% | Val Acc: 86.17%
Epoch 28 | Train Acc: 87.01% | Val Acc: 87.22%
Epoch 29 | Train Acc: 87.11% | Val Acc: 86.90%
Epoch 30 | Train Acc: 87.21% | Val Acc: 86.86%
Epoch 31 | Train Acc: 87.32% | Val Acc: 87.61%
Epoch 32 | Train Acc: 87.35% | Val Acc: 87.83%
Epoch 33 | Train Acc: 87.36% | Val Acc: 87.54%
Epoch 34 | Train Acc: 87.41% | Val Acc: 87.44%
Epoch 35 | Train Acc: 87.42% | Val Acc: 87.41%
Epoch 36 | Train Acc: 87.41% | Val Acc: 87.19%
Epoch 37 | Train Acc: 87.45% | Val Acc: 87.47%
Epoch 38 | Train Acc: 87.60% | Val Acc: 87.54%
Epoch 39 | Train Acc: 87.61% | Val Acc: 87.08%
Epoch 40 | Train Acc: 87.57% | Val Acc: 87.89%
Epoch 41 | Train Acc: 87.69% | Val Acc: 87.58%
Epoch 42 | Train Acc: 87.71% | Val Acc: 87.90%
Fold 4 Test Accuracy: 83.39%
Epoch 1 | Train Acc: 29.71% | Val Acc: 61.91%
Epoch 2 | Train Acc: 63.53% | Val Acc: 64.40%
Epoch 3 | Train Acc: 68.51% | Val Acc: 69.82%
Epoch 4 | Train Acc: 76.78% | Val Acc: 81.45%
Epoch 5 | Train Acc: 81.55% | Val Acc: 83.83%
Epoch 6 | Train Acc: 83.07% | Val Acc: 84.36%
Epoch 7 | Train Acc: 83.78% | Val Acc: 83.16%
Epoch 8 | Train Acc: 84.31% | Val Acc: 83.83%
Epoch 9 | Train Acc: 84.60% | Val Acc: 84.50%
Epoch 10 | Train Acc: 85.05% | Val Acc: 86.39%
Epoch 11 | Train Acc: 85.56% | Val Acc: 85.46%
Epoch 12 | Train Acc: 85.84% | Val Acc: 85.68%
Epoch 13 | Train Acc: 86.00% | Val Acc: 86.44%
Epoch 14 | Train Acc: 86.01% | Val Acc: 86.20%
Epoch 15 | Train Acc: 86.02% | Val Acc: 85.95%
Epoch 16 | Train Acc: 86.33% | Val Acc: 86.05%
Epoch 17 | Train Acc: 86.45% | Val Acc: 86.70%
Epoch 18 | Train Acc: 86.53% | Val Acc: 86.45%
Epoch 19 | Train Acc: 86.65% | Val Acc: 86.31%
Epoch 20 | Train Acc: 86.68% | Val Acc: 84.81%
Epoch 21 | Train Acc: 87.07% | Val Acc: 87.09%
Epoch 22 | Train Acc: 87.18% | Val Acc: 86.89%
Epoch 23 | Train Acc: 87.22% | Val Acc: 86.92%
Epoch 24 | Train Acc: 87.23% | Val Acc: 87.22%
Epoch 25 | Train Acc: 87.26% | Val Acc: 86.18%
Epoch 26 | Train Acc: 87.36% | Val Acc: 88.03%
Epoch 27 | Train Acc: 87.43% | Val Acc: 87.38%
Epoch 28 | Train Acc: 87.51% | Val Acc: 87.47%
Epoch 29 | Train Acc: 87.52% | Val Acc: 86.58%
Epoch 30 | Train Acc: 87.61% | Val Acc: 87.69%
Epoch 31 | Train Acc: 87.79% | Val Acc: 87.76%
Epoch 32 | Train Acc: 87.73% | Val Acc: 87.68%
Epoch 33 | Train Acc: 87.90% | Val Acc: 87.72%
Epoch 34 | Train Acc: 87.84% | Val Acc: 88.38%
Epoch 35 | Train Acc: 87.83% | Val Acc: 87.80%
Epoch 36 | Train Acc: 87.92% | Val Acc: 87.73%
Epoch 37 | Train Acc: 87.90% | Val Acc: 88.19%
Epoch 38 | Train Acc: 88.01% | Val Acc: 88.47%
Epoch 39 | Train Acc: 87.95% | Val Acc: 87.55%
Epoch 40 | Train Acc: 88.02% | Val Acc: 88.24%
Epoch 41 | Train Acc: 88.19% | Val Acc: 88.44%
Epoch 42 | Train Acc: 88.12% | Val Acc: 88.00%
Epoch 43 | Train Acc: 88.23% | Val Acc: 88.45%
Epoch 44 | Train Acc: 88.15% | Val Acc: 87.68%
Epoch 45 | Train Acc: 88.23% | Val Acc: 88.36%
Epoch 46 | Train Acc: 88.15% | Val Acc: 88.09%
Epoch 47 | Train Acc: 88.31% | Val Acc: 88.58%
Epoch 48 | Train Acc: 88.26% | Val Acc: 88.20%
Epoch 49 | Train Acc: 88.22% | Val Acc: 88.25%
Epoch 50 | Train Acc: 88.33% | Val Acc: 88.00%
Epoch 51 | Train Acc: 88.31% | Val Acc: 88.40%
Epoch 52 | Train Acc: 88.28% | Val Acc: 88.23%
Epoch 53 | Train Acc: 88.33% | Val Acc: 88.38%
Epoch 54 | Train Acc: 88.31% | Val Acc: 88.49%
Epoch 55 | Train Acc: 88.29% | Val Acc: 88.48%
Epoch 56 | Train Acc: 88.39% | Val Acc: 88.42%
Epoch 57 | Train Acc: 88.40% | Val Acc: 88.48%
Epoch 58 | Train Acc: 88.30% | Val Acc: 88.33%
Epoch 59 | Train Acc: 88.38% | Val Acc: 88.45%
Epoch 60 | Train Acc: 88.37% | Val Acc: 88.20%
Epoch 61 | Train Acc: 88.42% | Val Acc: 88.51%
Epoch 62 | Train Acc: 88.47% | Val Acc: 88.55%
Epoch 63 | Train Acc: 88.44% | Val Acc: 88.29%
Epoch 64 | Train Acc: 88.50% | Val Acc: 88.55%
Epoch 65 | Train Acc: 88.39% | Val Acc: 88.50%
Epoch 66 | Train Acc: 88.46% | Val Acc: 88.47%
Epoch 67 | Train Acc: 88.49% | Val Acc: 88.49%
Epoch 68 | Train Acc: 88.48% | Val Acc: 88.56%
Epoch 69 | Train Acc: 88.46% | Val Acc: 88.59%
Epoch 70 | Train Acc: 88.52% | Val Acc: 88.37%
Epoch 71 | Train Acc: 88.50% | Val Acc: 88.57%
Epoch 72 | Train Acc: 88.46% | Val Acc: 88.71%
Epoch 73 | Train Acc: 88.52% | Val Acc: 88.44%
Epoch 74 | Train Acc: 88.42% | Val Acc: 88.73%
Epoch 75 | Train Acc: 88.46% | Val Acc: 88.56%
Epoch 76 | Train Acc: 88.50% | Val Acc: 88.69%
Epoch 77 | Train Acc: 88.50% | Val Acc: 88.67%
Epoch 78 | Train Acc: 88.57% | Val Acc: 88.50%
Epoch 79 | Train Acc: 88.54% | Val Acc: 88.64%
Epoch 80 | Train Acc: 88.53% | Val Acc: 88.59%
Epoch 81 | Train Acc: 88.52% | Val Acc: 88.61%
Epoch 82 | Train Acc: 88.43% | Val Acc: 88.57%
Fold 5 Test Accuracy: 84.18%

=== Summary ===
Fold 1: Val Acc = 88.10%, Test Acc = 82.76%
Fold 2: Val Acc = 88.36%, Test Acc = 84.51%
Fold 3: Val Acc = 88.76%, Test Acc = 83.60%
Fold 4: Val Acc = 87.90%, Test Acc = 83.39%
Fold 5: Val Acc = 88.73%, Test Acc = 84.18%

Average Validation Accuracy: 88.37%
Average Test Accuracy: 83.69%
