=== Experiment Summary ===
Timestamp: 2025-11-23_17-37-10
Total Classes: 6
SNR: 10 dB
fd (Doppler shift): 266.6666666666667 Hz
equalized: 0
Epoch 1 | Train Acc: 18.22% | Val Acc: 25.59%
Epoch 2 | Train Acc: 32.45% | Val Acc: 40.73%
Epoch 3 | Train Acc: 41.54% | Val Acc: 41.63%
Epoch 4 | Train Acc: 48.53% | Val Acc: 55.11%
Epoch 5 | Train Acc: 53.93% | Val Acc: 59.51%
Epoch 6 | Train Acc: 58.72% | Val Acc: 63.42%
Epoch 7 | Train Acc: 62.12% | Val Acc: 65.23%
Epoch 8 | Train Acc: 65.05% | Val Acc: 70.51%
Epoch 9 | Train Acc: 67.55% | Val Acc: 69.82%
Epoch 10 | Train Acc: 69.92% | Val Acc: 68.60%
Epoch 11 | Train Acc: 73.21% | Val Acc: 76.69%
Epoch 12 | Train Acc: 74.39% | Val Acc: 78.71%
Epoch 13 | Train Acc: 75.24% | Val Acc: 79.04%
Epoch 14 | Train Acc: 76.08% | Val Acc: 80.28%
Epoch 15 | Train Acc: 77.01% | Val Acc: 80.83%
Epoch 16 | Train Acc: 77.98% | Val Acc: 76.86%
Epoch 17 | Train Acc: 78.29% | Val Acc: 78.97%
Epoch 18 | Train Acc: 78.94% | Val Acc: 79.90%
Epoch 19 | Train Acc: 79.83% | Val Acc: 81.73%
Epoch 20 | Train Acc: 80.41% | Val Acc: 83.44%
Epoch 21 | Train Acc: 81.48% | Val Acc: 83.91%
Epoch 22 | Train Acc: 81.83% | Val Acc: 84.39%
Epoch 23 | Train Acc: 82.07% | Val Acc: 85.95%
Epoch 24 | Train Acc: 82.30% | Val Acc: 86.07%
Epoch 25 | Train Acc: 82.51% | Val Acc: 86.56%
Epoch 26 | Train Acc: 82.83% | Val Acc: 82.83%
Epoch 27 | Train Acc: 83.21% | Val Acc: 86.14%
Epoch 28 | Train Acc: 83.25% | Val Acc: 85.59%
Epoch 29 | Train Acc: 83.49% | Val Acc: 87.43%
Epoch 30 | Train Acc: 83.77% | Val Acc: 85.76%
Epoch 31 | Train Acc: 84.41% | Val Acc: 85.44%
Epoch 32 | Train Acc: 84.65% | Val Acc: 86.41%
Epoch 33 | Train Acc: 84.71% | Val Acc: 87.38%
Epoch 34 | Train Acc: 84.79% | Val Acc: 86.99%
Epoch 35 | Train Acc: 84.98% | Val Acc: 87.43%
Epoch 36 | Train Acc: 85.03% | Val Acc: 87.37%
Epoch 37 | Train Acc: 85.20% | Val Acc: 88.58%
Epoch 38 | Train Acc: 85.15% | Val Acc: 86.39%
Epoch 39 | Train Acc: 85.44% | Val Acc: 86.95%
Epoch 40 | Train Acc: 85.60% | Val Acc: 88.19%
Epoch 41 | Train Acc: 85.90% | Val Acc: 88.11%
Epoch 42 | Train Acc: 85.90% | Val Acc: 88.79%
Epoch 43 | Train Acc: 86.00% | Val Acc: 88.76%
Epoch 44 | Train Acc: 85.87% | Val Acc: 88.66%
Epoch 45 | Train Acc: 86.02% | Val Acc: 86.62%
Epoch 46 | Train Acc: 86.09% | Val Acc: 87.52%
Epoch 47 | Train Acc: 86.10% | Val Acc: 87.67%
Epoch 48 | Train Acc: 86.27% | Val Acc: 88.32%
Fold 1 Test Accuracy: 72.75%
Epoch 1 | Train Acc: 16.85% | Val Acc: 16.42%
Epoch 2 | Train Acc: 25.69% | Val Acc: 33.55%
Epoch 3 | Train Acc: 41.42% | Val Acc: 49.28%
Epoch 4 | Train Acc: 50.83% | Val Acc: 57.41%
Epoch 5 | Train Acc: 56.42% | Val Acc: 63.60%
Epoch 6 | Train Acc: 60.40% | Val Acc: 66.46%
Epoch 7 | Train Acc: 63.65% | Val Acc: 68.80%
Epoch 8 | Train Acc: 66.33% | Val Acc: 68.09%
Epoch 9 | Train Acc: 68.88% | Val Acc: 73.97%
Epoch 10 | Train Acc: 71.52% | Val Acc: 76.68%
Epoch 11 | Train Acc: 74.15% | Val Acc: 79.45%
Epoch 12 | Train Acc: 74.84% | Val Acc: 78.98%
Epoch 13 | Train Acc: 75.65% | Val Acc: 79.42%
Epoch 14 | Train Acc: 76.45% | Val Acc: 77.99%
Epoch 15 | Train Acc: 76.65% | Val Acc: 80.85%
Epoch 16 | Train Acc: 77.61% | Val Acc: 81.33%
Epoch 17 | Train Acc: 78.10% | Val Acc: 82.48%
Epoch 18 | Train Acc: 78.62% | Val Acc: 81.77%
Epoch 19 | Train Acc: 79.22% | Val Acc: 83.43%
Epoch 20 | Train Acc: 79.85% | Val Acc: 84.11%
Epoch 21 | Train Acc: 81.08% | Val Acc: 84.14%
Epoch 22 | Train Acc: 81.41% | Val Acc: 82.96%
Epoch 23 | Train Acc: 81.50% | Val Acc: 80.23%
Epoch 24 | Train Acc: 81.65% | Val Acc: 85.06%
Epoch 25 | Train Acc: 82.04% | Val Acc: 83.07%
Epoch 26 | Train Acc: 82.28% | Val Acc: 87.58%
Epoch 27 | Train Acc: 82.65% | Val Acc: 86.05%
Epoch 28 | Train Acc: 82.84% | Val Acc: 85.76%
Epoch 29 | Train Acc: 83.13% | Val Acc: 84.19%
Epoch 30 | Train Acc: 83.28% | Val Acc: 86.92%
Epoch 31 | Train Acc: 84.17% | Val Acc: 87.69%
Epoch 32 | Train Acc: 84.22% | Val Acc: 85.89%
Epoch 33 | Train Acc: 84.37% | Val Acc: 87.45%
Epoch 34 | Train Acc: 84.54% | Val Acc: 87.81%
Epoch 35 | Train Acc: 84.66% | Val Acc: 87.93%
Epoch 36 | Train Acc: 84.51% | Val Acc: 88.67%
Epoch 37 | Train Acc: 84.85% | Val Acc: 87.40%
Epoch 38 | Train Acc: 84.97% | Val Acc: 87.96%
Epoch 39 | Train Acc: 85.19% | Val Acc: 88.71%
Epoch 40 | Train Acc: 85.37% | Val Acc: 89.00%
Epoch 41 | Train Acc: 85.60% | Val Acc: 89.09%
Epoch 42 | Train Acc: 85.86% | Val Acc: 88.55%
Epoch 43 | Train Acc: 85.85% | Val Acc: 88.67%
Epoch 44 | Train Acc: 86.02% | Val Acc: 89.27%
Epoch 45 | Train Acc: 85.94% | Val Acc: 89.91%
Epoch 46 | Train Acc: 86.03% | Val Acc: 89.77%
Epoch 47 | Train Acc: 86.19% | Val Acc: 89.38%
Epoch 48 | Train Acc: 86.15% | Val Acc: 89.32%
Epoch 49 | Train Acc: 86.36% | Val Acc: 88.96%
Epoch 50 | Train Acc: 86.51% | Val Acc: 89.64%
Epoch 51 | Train Acc: 86.69% | Val Acc: 89.63%
Epoch 52 | Train Acc: 86.65% | Val Acc: 89.59%
Epoch 53 | Train Acc: 86.71% | Val Acc: 90.29%
Epoch 54 | Train Acc: 86.76% | Val Acc: 90.07%
Epoch 55 | Train Acc: 86.76% | Val Acc: 89.96%
Epoch 56 | Train Acc: 86.76% | Val Acc: 89.99%
Epoch 57 | Train Acc: 86.80% | Val Acc: 89.81%
Epoch 58 | Train Acc: 86.84% | Val Acc: 89.64%
Fold 2 Test Accuracy: 72.75%
Epoch 1 | Train Acc: 16.71% | Val Acc: 20.07%
Epoch 2 | Train Acc: 29.35% | Val Acc: 37.35%
Epoch 3 | Train Acc: 39.13% | Val Acc: 45.07%
Epoch 4 | Train Acc: 46.25% | Val Acc: 50.42%
Epoch 5 | Train Acc: 53.03% | Val Acc: 59.41%
Epoch 6 | Train Acc: 58.55% | Val Acc: 63.74%
Epoch 7 | Train Acc: 61.76% | Val Acc: 63.66%
Epoch 8 | Train Acc: 64.40% | Val Acc: 69.12%
Epoch 9 | Train Acc: 66.61% | Val Acc: 71.91%
Epoch 10 | Train Acc: 68.96% | Val Acc: 69.57%
Epoch 11 | Train Acc: 72.17% | Val Acc: 75.40%
Epoch 12 | Train Acc: 73.56% | Val Acc: 78.32%
Epoch 13 | Train Acc: 74.55% | Val Acc: 76.97%
Epoch 14 | Train Acc: 74.93% | Val Acc: 79.04%
Epoch 15 | Train Acc: 75.72% | Val Acc: 80.49%
Epoch 16 | Train Acc: 76.51% | Val Acc: 81.10%
Epoch 17 | Train Acc: 76.93% | Val Acc: 81.47%
Epoch 18 | Train Acc: 77.55% | Val Acc: 81.78%
Epoch 19 | Train Acc: 78.01% | Val Acc: 81.23%
Epoch 20 | Train Acc: 78.68% | Val Acc: 83.35%
Epoch 21 | Train Acc: 79.40% | Val Acc: 83.83%
Epoch 22 | Train Acc: 79.70% | Val Acc: 83.90%
Epoch 23 | Train Acc: 79.90% | Val Acc: 84.25%
Epoch 24 | Train Acc: 80.25% | Val Acc: 84.59%
Epoch 25 | Train Acc: 80.30% | Val Acc: 84.80%
Epoch 26 | Train Acc: 80.72% | Val Acc: 83.44%
Epoch 27 | Train Acc: 80.79% | Val Acc: 81.95%
Epoch 28 | Train Acc: 81.17% | Val Acc: 85.34%
Epoch 29 | Train Acc: 81.26% | Val Acc: 85.80%
Epoch 30 | Train Acc: 81.32% | Val Acc: 82.19%
Epoch 31 | Train Acc: 81.87% | Val Acc: 84.49%
Epoch 32 | Train Acc: 82.08% | Val Acc: 86.25%
Epoch 33 | Train Acc: 82.16% | Val Acc: 86.67%
Epoch 34 | Train Acc: 82.14% | Val Acc: 86.33%
Epoch 35 | Train Acc: 82.47% | Val Acc: 86.21%
Epoch 36 | Train Acc: 82.50% | Val Acc: 85.47%
Epoch 37 | Train Acc: 82.69% | Val Acc: 86.70%
Epoch 38 | Train Acc: 82.73% | Val Acc: 86.41%
Epoch 39 | Train Acc: 82.81% | Val Acc: 86.80%
Epoch 40 | Train Acc: 82.85% | Val Acc: 86.07%
Epoch 41 | Train Acc: 83.10% | Val Acc: 86.95%
Epoch 42 | Train Acc: 83.12% | Val Acc: 87.16%
Epoch 43 | Train Acc: 83.30% | Val Acc: 87.53%
Epoch 44 | Train Acc: 83.29% | Val Acc: 87.79%
Epoch 45 | Train Acc: 83.42% | Val Acc: 87.86%
Epoch 46 | Train Acc: 83.37% | Val Acc: 87.56%
Epoch 47 | Train Acc: 83.43% | Val Acc: 87.51%
Epoch 48 | Train Acc: 83.55% | Val Acc: 88.03%
Epoch 49 | Train Acc: 83.60% | Val Acc: 87.53%
Epoch 50 | Train Acc: 83.68% | Val Acc: 87.05%
Epoch 51 | Train Acc: 83.69% | Val Acc: 88.10%
Epoch 52 | Train Acc: 83.80% | Val Acc: 87.84%
Epoch 53 | Train Acc: 83.86% | Val Acc: 87.72%
Epoch 54 | Train Acc: 83.87% | Val Acc: 87.84%
Epoch 55 | Train Acc: 83.91% | Val Acc: 87.74%
Epoch 56 | Train Acc: 83.87% | Val Acc: 87.68%
Fold 3 Test Accuracy: 70.64%
Epoch 1 | Train Acc: 16.83% | Val Acc: 21.96%
Epoch 2 | Train Acc: 29.71% | Val Acc: 38.40%
Epoch 3 | Train Acc: 45.88% | Val Acc: 55.00%
Epoch 4 | Train Acc: 53.38% | Val Acc: 57.70%
Epoch 5 | Train Acc: 57.81% | Val Acc: 61.33%
Epoch 6 | Train Acc: 61.27% | Val Acc: 64.91%
Epoch 7 | Train Acc: 63.88% | Val Acc: 67.04%
Epoch 8 | Train Acc: 66.80% | Val Acc: 71.13%
Epoch 9 | Train Acc: 68.81% | Val Acc: 72.76%
Epoch 10 | Train Acc: 71.24% | Val Acc: 75.68%
Epoch 11 | Train Acc: 74.00% | Val Acc: 79.15%
Epoch 12 | Train Acc: 74.91% | Val Acc: 78.62%
Epoch 13 | Train Acc: 75.46% | Val Acc: 79.75%
Epoch 14 | Train Acc: 75.96% | Val Acc: 76.59%
Epoch 15 | Train Acc: 76.91% | Val Acc: 81.49%
Epoch 16 | Train Acc: 77.44% | Val Acc: 79.36%
Epoch 17 | Train Acc: 77.77% | Val Acc: 82.28%
Epoch 18 | Train Acc: 78.41% | Val Acc: 83.04%
Epoch 19 | Train Acc: 78.54% | Val Acc: 82.67%
Epoch 20 | Train Acc: 78.92% | Val Acc: 83.61%
Epoch 21 | Train Acc: 80.19% | Val Acc: 83.66%
Epoch 22 | Train Acc: 80.35% | Val Acc: 84.37%
Epoch 23 | Train Acc: 80.66% | Val Acc: 84.61%
Epoch 24 | Train Acc: 80.97% | Val Acc: 85.09%
Epoch 25 | Train Acc: 80.98% | Val Acc: 83.72%
Epoch 26 | Train Acc: 81.27% | Val Acc: 85.17%
Epoch 27 | Train Acc: 81.51% | Val Acc: 86.22%
Epoch 28 | Train Acc: 81.89% | Val Acc: 83.83%
Epoch 29 | Train Acc: 81.72% | Val Acc: 85.56%
Epoch 30 | Train Acc: 82.08% | Val Acc: 85.08%
Epoch 31 | Train Acc: 82.61% | Val Acc: 86.07%
Epoch 32 | Train Acc: 82.79% | Val Acc: 86.29%
Epoch 33 | Train Acc: 82.89% | Val Acc: 86.02%
Epoch 34 | Train Acc: 83.11% | Val Acc: 85.80%
Epoch 35 | Train Acc: 83.03% | Val Acc: 86.27%
Epoch 36 | Train Acc: 83.33% | Val Acc: 86.93%
Epoch 37 | Train Acc: 83.21% | Val Acc: 86.33%
Epoch 38 | Train Acc: 83.46% | Val Acc: 87.33%
