=== Experiment Summary ===
Timestamp: 2025-11-23_22-58-12
Total Classes: 6
SNR: 10 dB
fd (Doppler shift): 266.6666666666667 Hz
equalized: 0
Epoch 1 | Train Acc: 28.86% | Val Acc: 40.64%
Epoch 2 | Train Acc: 54.08% | Val Acc: 66.87%
Epoch 3 | Train Acc: 68.29% | Val Acc: 72.71%
Epoch 4 | Train Acc: 76.71% | Val Acc: 81.64%
Epoch 5 | Train Acc: 84.50% | Val Acc: 92.38%
Epoch 6 | Train Acc: 89.47% | Val Acc: 92.42%
Epoch 7 | Train Acc: 91.73% | Val Acc: 96.50%
Epoch 8 | Train Acc: 93.79% | Val Acc: 96.74%
Epoch 9 | Train Acc: 94.82% | Val Acc: 97.79%
Epoch 10 | Train Acc: 95.34% | Val Acc: 97.73%
Epoch 11 | Train Acc: 96.99% | Val Acc: 98.60%
Epoch 12 | Train Acc: 97.16% | Val Acc: 98.64%
Epoch 13 | Train Acc: 97.34% | Val Acc: 98.78%
Epoch 14 | Train Acc: 97.47% | Val Acc: 98.73%
Epoch 15 | Train Acc: 97.47% | Val Acc: 98.75%
Epoch 16 | Train Acc: 97.79% | Val Acc: 98.71%
Epoch 17 | Train Acc: 97.94% | Val Acc: 98.48%
Epoch 18 | Train Acc: 98.04% | Val Acc: 99.06%
Epoch 19 | Train Acc: 98.22% | Val Acc: 99.08%
Epoch 20 | Train Acc: 98.29% | Val Acc: 99.20%
Epoch 21 | Train Acc: 98.61% | Val Acc: 99.25%
Epoch 22 | Train Acc: 98.54% | Val Acc: 99.22%
Epoch 23 | Train Acc: 98.59% | Val Acc: 99.15%
Epoch 24 | Train Acc: 98.59% | Val Acc: 99.17%
Epoch 25 | Train Acc: 98.67% | Val Acc: 99.28%
Epoch 26 | Train Acc: 98.64% | Val Acc: 99.29%
Epoch 27 | Train Acc: 98.72% | Val Acc: 99.20%
Epoch 28 | Train Acc: 98.71% | Val Acc: 99.24%
Epoch 29 | Train Acc: 98.73% | Val Acc: 99.22%
Epoch 30 | Train Acc: 98.79% | Val Acc: 99.25%
Epoch 31 | Train Acc: 98.89% | Val Acc: 99.34%
Epoch 32 | Train Acc: 98.92% | Val Acc: 99.30%
Epoch 33 | Train Acc: 98.93% | Val Acc: 99.33%
Epoch 34 | Train Acc: 98.96% | Val Acc: 99.31%
Epoch 35 | Train Acc: 98.94% | Val Acc: 99.27%
Epoch 36 | Train Acc: 98.96% | Val Acc: 99.30%
Epoch 37 | Train Acc: 98.99% | Val Acc: 99.33%
