Timestamp: 2025-11-24_15-04-10
Num Classes: 20
SNR_dB: 20
VELOCITY_KMH: 120
FC: 2400000000.0
FS: 20000000.0
Wavelet: db4, Level: 4
Batch: 64, Epochs: 200, LR: 0.001, WD: 0.0001

Fold1 Epoch1 | TrainAcc=58.17% | ValAcc=28.13% | TrainLoss=1.2008 | ValLoss=3.2125
Fold1 Epoch2 | TrainAcc=72.16% | ValAcc=32.78% | TrainLoss=0.7282 | ValLoss=2.4672
Fold1 Epoch3 | TrainAcc=75.65% | ValAcc=21.89% | TrainLoss=0.6379 | ValLoss=3.4616
Fold1 Epoch4 | TrainAcc=77.72% | ValAcc=13.15% | TrainLoss=0.5867 | ValLoss=6.8046
Fold1 Epoch5 | TrainAcc=78.98% | ValAcc=58.88% | TrainLoss=0.5537 | ValLoss=1.3072
Fold1 Epoch6 | TrainAcc=79.96% | ValAcc=48.33% | TrainLoss=0.5304 | ValLoss=1.8048
Fold1 Epoch7 | TrainAcc=80.47% | ValAcc=61.84% | TrainLoss=0.5154 | ValLoss=1.0741
Fold1 Epoch8 | TrainAcc=80.97% | ValAcc=74.68% | TrainLoss=0.5013 | ValLoss=0.6859
Fold1 Epoch9 | TrainAcc=81.33% | ValAcc=55.50% | TrainLoss=0.4891 | ValLoss=1.9047
Fold1 Epoch10 | TrainAcc=81.79% | ValAcc=45.21% | TrainLoss=0.4816 | ValLoss=2.1049
Fold1 Epoch11 | TrainAcc=83.18% | ValAcc=62.06% | TrainLoss=0.4480 | ValLoss=1.2800
Fold1 Epoch12 | TrainAcc=83.63% | ValAcc=81.36% | TrainLoss=0.4352 | ValLoss=0.4925
Fold1 Epoch13 | TrainAcc=83.79% | ValAcc=78.41% | TrainLoss=0.4355 | ValLoss=0.6086
Fold1 Epoch14 | TrainAcc=83.96% | ValAcc=70.03% | TrainLoss=0.4265 | ValLoss=0.8385
Fold1 Epoch15 | TrainAcc=83.82% | ValAcc=80.37% | TrainLoss=0.4241 | ValLoss=0.5314
Fold1 Epoch16 | TrainAcc=84.27% | ValAcc=79.66% | TrainLoss=0.4217 | ValLoss=0.5522
Fold1 Epoch17 | TrainAcc=84.29% | ValAcc=82.89% | TrainLoss=0.4181 | ValLoss=0.4629
Fold1 Epoch18 | TrainAcc=84.31% | ValAcc=71.55% | TrainLoss=0.4154 | ValLoss=0.7871
Fold1 Epoch19 | TrainAcc=84.45% | ValAcc=62.50% | TrainLoss=0.4112 | ValLoss=1.3350
Fold1 Epoch20 | TrainAcc=84.55% | ValAcc=75.15% | TrainLoss=0.4092 | ValLoss=0.6738
Fold1 Epoch21 | TrainAcc=85.21% | ValAcc=83.36% | TrainLoss=0.3909 | ValLoss=0.4345
Fold1 Epoch22 | TrainAcc=85.55% | ValAcc=83.46% | TrainLoss=0.3847 | ValLoss=0.4477
Fold1 Epoch23 | TrainAcc=85.76% | ValAcc=83.17% | TrainLoss=0.3840 | ValLoss=0.4555
Fold1 Epoch24 | TrainAcc=85.61% | ValAcc=81.80% | TrainLoss=0.3847 | ValLoss=0.4851
Fold1 Epoch25 | TrainAcc=85.70% | ValAcc=82.28% | TrainLoss=0.3815 | ValLoss=0.4626
Fold1 Epoch26 | TrainAcc=85.83% | ValAcc=79.83% | TrainLoss=0.3769 | ValLoss=0.5277
Fold1 Epoch27 | TrainAcc=85.85% | ValAcc=82.86% | TrainLoss=0.3786 | ValLoss=0.4518
Fold1 Epoch28 | TrainAcc=85.90% | ValAcc=81.15% | TrainLoss=0.3766 | ValLoss=0.4983
Fold1 Epoch29 | TrainAcc=85.93% | ValAcc=81.07% | TrainLoss=0.3758 | ValLoss=0.5091
Fold1 Epoch30 | TrainAcc=85.95% | ValAcc=78.91% | TrainLoss=0.3767 | ValLoss=0.5905
Fold1 Epoch31 | TrainAcc=86.28% | ValAcc=80.17% | TrainLoss=0.3671 | ValLoss=0.5497
Fold1 Epoch32 | TrainAcc=86.43% | ValAcc=83.73% | TrainLoss=0.3647 | ValLoss=0.4247
Fold1 Epoch33 | TrainAcc=86.50% | ValAcc=84.04% | TrainLoss=0.3639 | ValLoss=0.4197
Fold1 Epoch34 | TrainAcc=86.68% | ValAcc=82.38% | TrainLoss=0.3607 | ValLoss=0.4744
Fold1 Epoch35 | TrainAcc=86.47% | ValAcc=83.35% | TrainLoss=0.3631 | ValLoss=0.4571
Fold1 Epoch36 | TrainAcc=86.64% | ValAcc=84.80% | TrainLoss=0.3594 | ValLoss=0.4023
Fold1 Epoch37 | TrainAcc=86.64% | ValAcc=83.35% | TrainLoss=0.3575 | ValLoss=0.4448
Fold1 Epoch38 | TrainAcc=86.72% | ValAcc=83.78% | TrainLoss=0.3572 | ValLoss=0.4243
Fold1 Epoch39 | TrainAcc=86.57% | ValAcc=84.26% | TrainLoss=0.3587 | ValLoss=0.4214
Fold1 Epoch40 | TrainAcc=86.64% | ValAcc=83.50% | TrainLoss=0.3587 | ValLoss=0.4374
