=== Experiment Parameters ===
Timestamp: 2025-11-24_15-54-51
Device: cuda
SNR_dB: False
Doppler_fd: 0.00 Hz
FS: 20000000.0
FC: 2400000000.0
Wavelet: db6, Level: 6
Batch size: 64, Epochs: 50, LR: 0.001, Weight decay: 0.0001
K-Fold: 5, Patience: 8, Num classes: 150
============================

Fold1 Epoch1 | TrainAcc=29.79% | ValAcc=21.48% | TrainLoss=2.6169 | ValLoss=3.2321 | AvgGrad=0.3186
Fold1 Epoch2 | TrainAcc=45.48% | ValAcc=42.39% | TrainLoss=1.9630 | ValLoss=2.0779 | AvgGrad=0.4006
Fold1 Epoch3 | TrainAcc=51.33% | ValAcc=43.64% | TrainLoss=1.7685 | ValLoss=2.0646 | AvgGrad=0.4232
Fold1 Epoch4 | TrainAcc=55.08% | ValAcc=30.27% | TrainLoss=1.6472 | ValLoss=2.9796 | AvgGrad=0.4344
Fold1 Epoch5 | TrainAcc=58.01% | ValAcc=43.96% | TrainLoss=1.5591 | ValLoss=2.0497 | AvgGrad=0.4430
Fold1 Epoch6 | TrainAcc=60.09% | ValAcc=52.52% | TrainLoss=1.4924 | ValLoss=1.7289 | AvgGrad=0.4458
Fold1 Epoch7 | TrainAcc=61.75% | ValAcc=54.59% | TrainLoss=1.4391 | ValLoss=1.6541 | AvgGrad=0.4489
Fold1 Epoch8 | TrainAcc=63.28% | ValAcc=53.17% | TrainLoss=1.3958 | ValLoss=1.7347 | AvgGrad=0.4479
Fold1 Epoch9 | TrainAcc=64.30% | ValAcc=59.24% | TrainLoss=1.3612 | ValLoss=1.5147 | AvgGrad=0.4472
Fold1 Epoch10 | TrainAcc=65.27% | ValAcc=64.87% | TrainLoss=1.3342 | ValLoss=1.3448 | AvgGrad=0.4444
Fold1 Epoch11 | TrainAcc=69.06% | ValAcc=66.57% | TrainLoss=1.2255 | ValLoss=1.2970 | AvgGrad=0.4364
Fold1 Epoch12 | TrainAcc=69.74% | ValAcc=67.65% | TrainLoss=1.2056 | ValLoss=1.2697 | AvgGrad=0.4530
Fold1 Epoch13 | TrainAcc=70.16% | ValAcc=65.83% | TrainLoss=1.1913 | ValLoss=1.3139 | AvgGrad=0.4637
Fold1 Epoch14 | TrainAcc=70.52% | ValAcc=66.35% | TrainLoss=1.1800 | ValLoss=1.2969 | AvgGrad=0.4717
Fold1 Epoch15 | TrainAcc=70.81% | ValAcc=70.81% | TrainLoss=1.1695 | ValLoss=1.1718 | AvgGrad=0.4773
Fold1 Epoch16 | TrainAcc=71.12% | ValAcc=67.05% | TrainLoss=1.1594 | ValLoss=1.2857 | AvgGrad=0.4814
Fold1 Epoch17 | TrainAcc=71.41% | ValAcc=61.15% | TrainLoss=1.1533 | ValLoss=1.4568 | AvgGrad=0.4863
Fold1 Epoch18 | TrainAcc=71.52% | ValAcc=69.91% | TrainLoss=1.1460 | ValLoss=1.2003 | AvgGrad=0.4901
Fold1 Epoch19 | TrainAcc=71.69% | ValAcc=70.85% | TrainLoss=1.1399 | ValLoss=1.1753 | AvgGrad=0.4908
Fold1 Epoch20 | TrainAcc=72.02% | ValAcc=66.28% | TrainLoss=1.1319 | ValLoss=1.3035 | AvgGrad=0.4940
Fold1 Epoch21 | TrainAcc=73.97% | ValAcc=72.81% | TrainLoss=1.0795 | ValLoss=1.1152 | AvgGrad=0.4802
Fold1 Epoch22 | TrainAcc=74.12% | ValAcc=72.41% | TrainLoss=1.0729 | ValLoss=1.1294 | AvgGrad=0.4890
Fold1 Epoch23 | TrainAcc=74.24% | ValAcc=72.57% | TrainLoss=1.0696 | ValLoss=1.1229 | AvgGrad=0.4945
Fold1 Epoch24 | TrainAcc=74.32% | ValAcc=72.94% | TrainLoss=1.0662 | ValLoss=1.1161 | AvgGrad=0.5009
Fold1 Epoch25 | TrainAcc=74.37% | ValAcc=72.95% | TrainLoss=1.0636 | ValLoss=1.1155 | AvgGrad=0.5051
Fold1 Epoch26 | TrainAcc=74.44% | ValAcc=72.28% | TrainLoss=1.0601 | ValLoss=1.1282 | AvgGrad=0.5086
