=== Experiment Parameters ===
Timestamp: 2025-11-24_19-27-23
SNR_dB: None, ADD_NOISE: False, ADD_DOPPLER: False
FS: 20000000.0, FC: 2400000000.0, Velocity_kmh: None
Batch: 256, Epochs: 200, LR: 0.001, WD: 0.0001
Num classes: 150, K-Fold: 5, Patience: 8, MinDelta: 0.1
============================

Fold1 Epoch1 | TrainAcc=21.29% | ValAcc=54.69% | TrainLoss=3.4527 | ValLoss=1.9840 | AvgGrad=0.3395
Fold1 Epoch2 | TrainAcc=53.08% | ValAcc=82.01% | TrainLoss=1.8605 | ValLoss=0.8309 | AvgGrad=0.4525
Fold1 Epoch3 | TrainAcc=69.50% | ValAcc=91.07% | TrainLoss=1.1513 | ValLoss=0.4304 | AvgGrad=0.4627
Fold1 Epoch4 | TrainAcc=77.18% | ValAcc=93.97% | TrainLoss=0.8363 | ValLoss=0.2842 | AvgGrad=0.4495
Fold1 Epoch5 | TrainAcc=81.34% | ValAcc=95.15% | TrainLoss=0.6767 | ValLoss=0.2312 | AvgGrad=0.4345
Fold1 Epoch6 | TrainAcc=83.69% | ValAcc=96.04% | TrainLoss=0.5823 | ValLoss=0.1875 | AvgGrad=0.4219
Fold1 Epoch7 | TrainAcc=85.30% | ValAcc=96.26% | TrainLoss=0.5195 | ValLoss=0.1789 | AvgGrad=0.4079
Fold1 Epoch8 | TrainAcc=86.54% | ValAcc=96.84% | TrainLoss=0.4729 | ValLoss=0.1469 | AvgGrad=0.3953
Fold1 Epoch9 | TrainAcc=87.59% | ValAcc=96.87% | TrainLoss=0.4346 | ValLoss=0.1420 | AvgGrad=0.3840
Fold1 Epoch10 | TrainAcc=88.37% | ValAcc=97.22% | TrainLoss=0.4040 | ValLoss=0.1321 | AvgGrad=0.3747
Fold1 Epoch11 | TrainAcc=91.24% | ValAcc=97.69% | TrainLoss=0.2992 | ValLoss=0.1069 | AvgGrad=0.3234
Fold1 Epoch12 | TrainAcc=91.97% | ValAcc=97.76% | TrainLoss=0.2737 | ValLoss=0.1035 | AvgGrad=0.3170
Fold1 Epoch13 | TrainAcc=92.23% | ValAcc=97.76% | TrainLoss=0.2609 | ValLoss=0.1051 | AvgGrad=0.3169
Fold1 Epoch14 | TrainAcc=92.39% | ValAcc=97.80% | TrainLoss=0.2539 | ValLoss=0.1034 | AvgGrad=0.3207
Fold1 Epoch15 | TrainAcc=92.63% | ValAcc=97.82% | TrainLoss=0.2456 | ValLoss=0.1006 | AvgGrad=0.3194
Fold1 Epoch16 | TrainAcc=92.85% | ValAcc=97.82% | TrainLoss=0.2370 | ValLoss=0.1007 | AvgGrad=0.3193
Fold1 Epoch17 | TrainAcc=93.08% | ValAcc=97.80% | TrainLoss=0.2289 | ValLoss=0.1004 | AvgGrad=0.3185
Fold1 Epoch18 | TrainAcc=93.24% | ValAcc=97.82% | TrainLoss=0.2233 | ValLoss=0.1019 | AvgGrad=0.3189
Fold1 Epoch19 | TrainAcc=93.37% | ValAcc=97.84% | TrainLoss=0.2167 | ValLoss=0.1000 | AvgGrad=0.3168
Fold1 Epoch20 | TrainAcc=93.47% | ValAcc=97.83% | TrainLoss=0.2144 | ValLoss=0.1010 | AvgGrad=0.3168
Fold1 Epoch21 | TrainAcc=94.65% | ValAcc=98.02% | TrainLoss=0.1736 | ValLoss=0.0923 | AvgGrad=0.2847
