=== Experiment Parameters ===
Timestamp: 2025-11-25_00-17-29
SNR_dB: 5, ADD_NOISE: True, ADD_DOPPLER: True
FS: 20000000.0, FC: 2400000000.0, Velocity_kmh: 120
Batch: 256, Epochs: 200, LR: 0.001, WD: 0.0001
Num classes: 150, K-Fold: 5, Patience: 8, MinDelta: 0.1
============================

Fold1 Epoch1 | TrainAcc=6.96% | ValAcc=17.96% | TrainLoss=4.2783 | ValLoss=3.6879 | AvgGrad=0.2462
Fold1 Epoch2 | TrainAcc=15.85% | ValAcc=31.26% | TrainLoss=3.7193 | ValLoss=3.1495 | AvgGrad=0.3097
Fold1 Epoch3 | TrainAcc=23.25% | ValAcc=40.43% | TrainLoss=3.3174 | ValLoss=2.6886 | AvgGrad=0.3457
Fold1 Epoch4 | TrainAcc=28.97% | ValAcc=47.12% | TrainLoss=3.0163 | ValLoss=2.3913 | AvgGrad=0.3770
Fold1 Epoch5 | TrainAcc=33.14% | ValAcc=51.76% | TrainLoss=2.8004 | ValLoss=2.1766 | AvgGrad=0.3946
Fold1 Epoch6 | TrainAcc=36.13% | ValAcc=54.49% | TrainLoss=2.6436 | ValLoss=2.0269 | AvgGrad=0.4082
Fold1 Epoch7 | TrainAcc=38.29% | ValAcc=55.16% | TrainLoss=2.5339 | ValLoss=1.9938 | AvgGrad=0.4177
Fold1 Epoch8 | TrainAcc=40.04% | ValAcc=57.76% | TrainLoss=2.4426 | ValLoss=1.8536 | AvgGrad=0.4236
Fold1 Epoch9 | TrainAcc=41.40% | ValAcc=58.80% | TrainLoss=2.3759 | ValLoss=1.7908 | AvgGrad=0.4273
Fold1 Epoch10 | TrainAcc=42.65% | ValAcc=60.17% | TrainLoss=2.3099 | ValLoss=1.7452 | AvgGrad=0.4295
Fold1 Epoch11 | TrainAcc=45.49% | ValAcc=62.66% | TrainLoss=2.1701 | ValLoss=1.6248 | AvgGrad=0.4193
Fold1 Epoch12 | TrainAcc=46.37% | ValAcc=62.94% | TrainLoss=2.1226 | ValLoss=1.6132 | AvgGrad=0.4322
Fold1 Epoch13 | TrainAcc=46.85% | ValAcc=63.17% | TrainLoss=2.0940 | ValLoss=1.5867 | AvgGrad=0.4408
Fold1 Epoch14 | TrainAcc=47.40% | ValAcc=63.53% | TrainLoss=2.0682 | ValLoss=1.5865 | AvgGrad=0.4481
Fold1 Epoch15 | TrainAcc=47.94% | ValAcc=63.76% | TrainLoss=2.0441 | ValLoss=1.5555 | AvgGrad=0.4545
Fold1 Epoch16 | TrainAcc=48.39% | ValAcc=64.02% | TrainLoss=2.0234 | ValLoss=1.5518 | AvgGrad=0.4585
Fold1 Epoch17 | TrainAcc=48.83% | ValAcc=64.64% | TrainLoss=2.0000 | ValLoss=1.5155 | AvgGrad=0.4650
Fold1 Epoch18 | TrainAcc=49.45% | ValAcc=64.75% | TrainLoss=1.9706 | ValLoss=1.5274 | AvgGrad=0.4687
Fold1 Epoch19 | TrainAcc=50.07% | ValAcc=65.28% | TrainLoss=1.9444 | ValLoss=1.4836 | AvgGrad=0.4722
Fold1 Epoch20 | TrainAcc=50.38% | ValAcc=65.99% | TrainLoss=1.9225 | ValLoss=1.4508 | AvgGrad=0.4747
Fold1 Epoch21 | TrainAcc=51.95% | ValAcc=66.92% | TrainLoss=1.8504 | ValLoss=1.4062 | AvgGrad=0.4648
Fold1 Epoch22 | TrainAcc=52.22% | ValAcc=66.95% | TrainLoss=1.8347 | ValLoss=1.4073 | AvgGrad=0.4696
Fold1 Epoch23 | TrainAcc=52.60% | ValAcc=66.93% | TrainLoss=1.8213 | ValLoss=1.4049 | AvgGrad=0.4753
Fold1 Epoch24 | TrainAcc=52.79% | ValAcc=66.79% | TrainLoss=1.8113 | ValLoss=1.4137 | AvgGrad=0.4789
Fold1 Epoch25 | TrainAcc=52.85% | ValAcc=67.23% | TrainLoss=1.8059 | ValLoss=1.3901 | AvgGrad=0.4828
Fold1 Epoch26 | TrainAcc=53.05% | ValAcc=66.97% | TrainLoss=1.7969 | ValLoss=1.3953 | AvgGrad=0.4871
Fold1 Epoch27 | TrainAcc=53.31% | ValAcc=67.00% | TrainLoss=1.7823 | ValLoss=1.3871 | AvgGrad=0.4903
Fold1 Epoch28 | TrainAcc=53.31% | ValAcc=67.05% | TrainLoss=1.7815 | ValLoss=1.3933 | AvgGrad=0.4933
Fold1 Epoch29 | TrainAcc=53.55% | ValAcc=67.18% | TrainLoss=1.7699 | ValLoss=1.3868 | AvgGrad=0.4977
Fold1 Epoch30 | TrainAcc=53.87% | ValAcc=67.56% | TrainLoss=1.7574 | ValLoss=1.3680 | AvgGrad=0.5002
Fold1 Epoch31 | TrainAcc=54.80% | ValAcc=68.08% | TrainLoss=1.7157 | ValLoss=1.3432 | AvgGrad=0.4921
Fold1 Epoch32 | TrainAcc=55.16% | ValAcc=68.21% | TrainLoss=1.7031 | ValLoss=1.3321 | AvgGrad=0.4954
Fold1 Epoch33 | TrainAcc=55.33% | ValAcc=68.26% | TrainLoss=1.6914 | ValLoss=1.3325 | AvgGrad=0.4955
Fold1 Epoch34 | TrainAcc=55.48% | ValAcc=68.26% | TrainLoss=1.6866 | ValLoss=1.3390 | AvgGrad=0.4982
Fold1 Epoch35 | TrainAcc=55.49% | ValAcc=68.28% | TrainLoss=1.6825 | ValLoss=1.3340 | AvgGrad=0.5019
Fold1 Epoch36 | TrainAcc=55.64% | ValAcc=68.50% | TrainLoss=1.6763 | ValLoss=1.3199 | AvgGrad=0.5035
Fold1 Epoch37 | TrainAcc=55.73% | ValAcc=68.50% | TrainLoss=1.6702 | ValLoss=1.3247 | AvgGrad=0.5061
Fold1 Epoch38 | TrainAcc=55.88% | ValAcc=68.53% | TrainLoss=1.6667 | ValLoss=1.3218 | AvgGrad=0.5078
Fold1 Epoch39 | TrainAcc=55.94% | ValAcc=68.45% | TrainLoss=1.6626 | ValLoss=1.3240 | AvgGrad=0.5102
Fold1 Epoch40 | TrainAcc=56.05% | ValAcc=68.52% | TrainLoss=1.6570 | ValLoss=1.3204 | AvgGrad=0.5110
Fold1 Epoch41 | TrainAcc=56.62% | ValAcc=68.79% | TrainLoss=1.6351 | ValLoss=1.3067 | AvgGrad=0.5067
Fold1 Epoch42 | TrainAcc=56.41% | ValAcc=68.71% | TrainLoss=1.6357 | ValLoss=1.3068 | AvgGrad=0.5089
Fold1 Epoch43 | TrainAcc=56.54% | ValAcc=68.79% | TrainLoss=1.6311 | ValLoss=1.3051 | AvgGrad=0.5101
Fold1 Epoch44 | TrainAcc=56.73% | ValAcc=68.67% | TrainLoss=1.6269 | ValLoss=1.3152 | AvgGrad=0.5111
Fold1 Epoch45 | TrainAcc=56.84% | ValAcc=68.71% | TrainLoss=1.6237 | ValLoss=1.3080 | AvgGrad=0.5126
Fold1 Epoch46 | TrainAcc=56.77% | ValAcc=68.78% | TrainLoss=1.6234 | ValLoss=1.3087 | AvgGrad=0.5128
Fold1 Epoch47 | TrainAcc=56.93% | ValAcc=68.84% | TrainLoss=1.6194 | ValLoss=1.2984 | AvgGrad=0.5130
Fold1 Epoch48 | TrainAcc=56.85% | ValAcc=68.81% | TrainLoss=1.6181 | ValLoss=1.3062 | AvgGrad=0.5161
Fold1 Epoch49 | TrainAcc=56.93% | ValAcc=68.80% | TrainLoss=1.6156 | ValLoss=1.3082 | AvgGrad=0.5159
Fold1 TestAcc=68.40%
Fold2 Epoch1 | TrainAcc=9.63% | ValAcc=25.55% | TrainLoss=4.1451 | ValLoss=3.3553 | AvgGrad=0.2533
Fold2 Epoch2 | TrainAcc=23.85% | ValAcc=42.66% | TrainLoss=3.3085 | ValLoss=2.5632 | AvgGrad=0.3362
Fold2 Epoch3 | TrainAcc=34.42% | ValAcc=54.54% | TrainLoss=2.7604 | ValLoss=2.0540 | AvgGrad=0.3766
Fold2 Epoch4 | TrainAcc=42.09% | ValAcc=61.24% | TrainLoss=2.3830 | ValLoss=1.7213 | AvgGrad=0.4009
Fold2 Epoch5 | TrainAcc=47.28% | ValAcc=65.51% | TrainLoss=2.1318 | ValLoss=1.5407 | AvgGrad=0.4125
Fold2 Epoch6 | TrainAcc=50.91% | ValAcc=68.86% | TrainLoss=1.9608 | ValLoss=1.3785 | AvgGrad=0.4201
Fold2 Epoch7 | TrainAcc=53.59% | ValAcc=71.27% | TrainLoss=1.8342 | ValLoss=1.2496 | AvgGrad=0.4244
Fold2 Epoch8 | TrainAcc=55.55% | ValAcc=72.46% | TrainLoss=1.7400 | ValLoss=1.2046 | AvgGrad=0.4257
Fold2 Epoch9 | TrainAcc=57.38% | ValAcc=74.05% | TrainLoss=1.6611 | ValLoss=1.1154 | AvgGrad=0.4262
Fold2 Epoch10 | TrainAcc=58.54% | ValAcc=75.10% | TrainLoss=1.6048 | ValLoss=1.0689 | AvgGrad=0.4271
Fold2 Epoch11 | TrainAcc=62.23% | ValAcc=77.43% | TrainLoss=1.4433 | ValLoss=0.9651 | AvgGrad=0.4118
Fold2 Epoch12 | TrainAcc=63.27% | ValAcc=77.77% | TrainLoss=1.3978 | ValLoss=0.9444 | AvgGrad=0.4203
Fold2 Epoch13 | TrainAcc=63.79% | ValAcc=78.07% | TrainLoss=1.3731 | ValLoss=0.9252 | AvgGrad=0.4289
Fold2 Epoch14 | TrainAcc=64.35% | ValAcc=78.24% | TrainLoss=1.3463 | ValLoss=0.9238 | AvgGrad=0.4330
Fold2 Epoch15 | TrainAcc=64.53% | ValAcc=78.44% | TrainLoss=1.3274 | ValLoss=0.9143 | AvgGrad=0.4384
Fold2 Epoch16 | TrainAcc=65.24% | ValAcc=78.46% | TrainLoss=1.3050 | ValLoss=0.9000 | AvgGrad=0.4414
Fold2 Epoch17 | TrainAcc=65.49% | ValAcc=79.07% | TrainLoss=1.2925 | ValLoss=0.8792 | AvgGrad=0.4448
Fold2 Epoch18 | TrainAcc=65.91% | ValAcc=79.11% | TrainLoss=1.2704 | ValLoss=0.8714 | AvgGrad=0.4486
Fold2 Epoch19 | TrainAcc=66.22% | ValAcc=78.95% | TrainLoss=1.2595 | ValLoss=0.8750 | AvgGrad=0.4511
Fold2 Epoch20 | TrainAcc=66.64% | ValAcc=79.24% | TrainLoss=1.2419 | ValLoss=0.8658 | AvgGrad=0.4525
Fold2 Epoch21 | TrainAcc=68.39% | ValAcc=80.16% | TrainLoss=1.1695 | ValLoss=0.8270 | AvgGrad=0.4399
Fold2 Epoch22 | TrainAcc=68.86% | ValAcc=80.25% | TrainLoss=1.1484 | ValLoss=0.8215 | AvgGrad=0.4435
Fold2 Epoch23 | TrainAcc=68.89% | ValAcc=80.46% | TrainLoss=1.1436 | ValLoss=0.8082 | AvgGrad=0.4477
Fold2 Epoch24 | TrainAcc=69.09% | ValAcc=80.41% | TrainLoss=1.1324 | ValLoss=0.8079 | AvgGrad=0.4504
Fold2 Epoch25 | TrainAcc=69.25% | ValAcc=80.44% | TrainLoss=1.1256 | ValLoss=0.8062 | AvgGrad=0.4535
Fold2 Epoch26 | TrainAcc=69.34% | ValAcc=80.42% | TrainLoss=1.1204 | ValLoss=0.8072 | AvgGrad=0.4574
Fold2 Epoch27 | TrainAcc=69.61% | ValAcc=80.42% | TrainLoss=1.1128 | ValLoss=0.8077 | AvgGrad=0.4598
Fold2 Epoch28 | TrainAcc=69.68% | ValAcc=80.50% | TrainLoss=1.1052 | ValLoss=0.7994 | AvgGrad=0.4613
Fold2 Epoch29 | TrainAcc=69.79% | ValAcc=80.31% | TrainLoss=1.1008 | ValLoss=0.8069 | AvgGrad=0.4640
Fold2 Epoch30 | TrainAcc=69.87% | ValAcc=80.44% | TrainLoss=1.0964 | ValLoss=0.7961 | AvgGrad=0.4666
Fold2 Epoch31 | TrainAcc=70.90% | ValAcc=80.80% | TrainLoss=1.0582 | ValLoss=0.7826 | AvgGrad=0.4582
Fold2 Epoch32 | TrainAcc=71.10% | ValAcc=80.82% | TrainLoss=1.0484 | ValLoss=0.7814 | AvgGrad=0.4588
Fold2 Epoch33 | TrainAcc=71.17% | ValAcc=80.81% | TrainLoss=1.0416 | ValLoss=0.7825 | AvgGrad=0.4604
Fold2 Epoch34 | TrainAcc=71.26% | ValAcc=80.85% | TrainLoss=1.0412 | ValLoss=0.7812 | AvgGrad=0.4628
Fold2 Epoch35 | TrainAcc=71.37% | ValAcc=80.77% | TrainLoss=1.0355 | ValLoss=0.7837 | AvgGrad=0.4648
Fold2 Epoch36 | TrainAcc=71.36% | ValAcc=80.92% | TrainLoss=1.0319 | ValLoss=0.7784 | AvgGrad=0.4667
Fold2 Epoch37 | TrainAcc=71.58% | ValAcc=80.97% | TrainLoss=1.0260 | ValLoss=0.7767 | AvgGrad=0.4672
Fold2 Epoch38 | TrainAcc=71.59% | ValAcc=80.83% | TrainLoss=1.0254 | ValLoss=0.7805 | AvgGrad=0.4695
Fold2 Epoch39 | TrainAcc=71.64% | ValAcc=80.82% | TrainLoss=1.0211 | ValLoss=0.7807 | AvgGrad=0.4709
Fold2 Epoch40 | TrainAcc=71.66% | ValAcc=80.85% | TrainLoss=1.0218 | ValLoss=0.7827 | AvgGrad=0.4722
Fold2 Epoch41 | TrainAcc=72.17% | ValAcc=81.01% | TrainLoss=1.0010 | ValLoss=0.7708 | AvgGrad=0.4674
Fold2 Epoch42 | TrainAcc=72.21% | ValAcc=81.06% | TrainLoss=0.9967 | ValLoss=0.7717 | AvgGrad=0.4691
Fold2 Epoch43 | TrainAcc=72.34% | ValAcc=81.06% | TrainLoss=0.9949 | ValLoss=0.7713 | AvgGrad=0.4689
Fold2 Epoch44 | TrainAcc=72.29% | ValAcc=81.03% | TrainLoss=0.9932 | ValLoss=0.7717 | AvgGrad=0.4709
Fold2 Epoch45 | TrainAcc=72.34% | ValAcc=80.99% | TrainLoss=0.9913 | ValLoss=0.7669 | AvgGrad=0.4717
Fold2 Epoch46 | TrainAcc=72.37% | ValAcc=80.96% | TrainLoss=0.9901 | ValLoss=0.7713 | AvgGrad=0.4728
Fold2 Epoch47 | TrainAcc=72.39% | ValAcc=81.07% | TrainLoss=0.9898 | ValLoss=0.7700 | AvgGrad=0.4726
Fold2 Epoch48 | TrainAcc=72.44% | ValAcc=81.05% | TrainLoss=0.9857 | ValLoss=0.7683 | AvgGrad=0.4742
Fold2 Epoch49 | TrainAcc=72.50% | ValAcc=81.14% | TrainLoss=0.9819 | ValLoss=0.7654 | AvgGrad=0.4749
