=== Experiment Parameters ===
Timestamp: 2025-11-25_10-21-32
SNR_dB: 20, ADD_NOISE: True, ADD_DOPPLER: True
FS: 20000000.0, FC: 2400000000.0, Velocity_kmh: 120
Batch: 256, Epochs: 200, LR: 0.001, WD: 0.0001
Num classes: 6, K-Fold: 5, Patience: 8, MinDelta: 0.1
============================

Fold1 Epoch1 | TrainAcc=64.23% | ValAcc=81.29% | TrainLoss=0.8874 | ValLoss=0.5160 | AvgGrad=0.3443
Fold1 Epoch2 | TrainAcc=87.93% | ValAcc=91.95% | TrainLoss=0.3501 | ValLoss=0.2454 | AvgGrad=0.3531
Fold1 Epoch3 | TrainAcc=93.96% | ValAcc=93.66% | TrainLoss=0.1836 | ValLoss=0.1950 | AvgGrad=0.3011
Fold1 Epoch4 | TrainAcc=96.01% | ValAcc=95.81% | TrainLoss=0.1213 | ValLoss=0.1383 | AvgGrad=0.2641
Fold1 Epoch5 | TrainAcc=96.99% | ValAcc=95.76% | TrainLoss=0.0916 | ValLoss=0.1475 | AvgGrad=0.2411
Fold1 Epoch6 | TrainAcc=97.44% | ValAcc=96.27% | TrainLoss=0.0766 | ValLoss=0.1282 | AvgGrad=0.2299
Fold1 Epoch7 | TrainAcc=97.88% | ValAcc=96.92% | TrainLoss=0.0632 | ValLoss=0.1101 | AvgGrad=0.2157
Fold1 Epoch8 | TrainAcc=98.08% | ValAcc=96.40% | TrainLoss=0.0561 | ValLoss=0.1333 | AvgGrad=0.2070
Fold1 Epoch9 | TrainAcc=98.17% | ValAcc=96.73% | TrainLoss=0.0532 | ValLoss=0.1294 | AvgGrad=0.2022
Fold1 Epoch10 | TrainAcc=98.40% | ValAcc=96.05% | TrainLoss=0.0459 | ValLoss=0.1526 | AvgGrad=0.1946
Fold1 Epoch11 | TrainAcc=99.33% | ValAcc=97.58% | TrainLoss=0.0196 | ValLoss=0.1080 | AvgGrad=0.1252
Fold1 Epoch12 | TrainAcc=99.60% | ValAcc=97.59% | TrainLoss=0.0119 | ValLoss=0.1076 | AvgGrad=0.0958
Fold1 Epoch13 | TrainAcc=99.57% | ValAcc=97.59% | TrainLoss=0.0126 | ValLoss=0.1141 | AvgGrad=0.1045
Fold1 Epoch14 | TrainAcc=99.51% | ValAcc=97.60% | TrainLoss=0.0140 | ValLoss=0.1118 | AvgGrad=0.1140
