=== Experiment Parameters ===
Timestamp: 2025-11-25_11-27-13
SNR_dB: -10, ADD_NOISE: True, ADD_DOPPLER: True
FS: 20000000.0, FC: 2400000000.0, Velocity_kmh: 120
Batch: 256, Epochs: 200, LR: 0.001, WD: 0.0001
Num classes: 150, K-Fold: 5, Patience: 8, MinDelta: 0.1
============================

Fold1 Epoch1 | TrainAcc=22.62% | ValAcc=58.01% | TrainLoss=3.3576 | ValLoss=1.8436 | AvgGrad=0.1786
Fold1 Epoch2 | TrainAcc=55.76% | ValAcc=83.21% | TrainLoss=1.7437 | ValLoss=0.7767 | AvgGrad=0.2306
Fold1 Epoch3 | TrainAcc=72.46% | ValAcc=91.16% | TrainLoss=1.0326 | ValLoss=0.4116 | AvgGrad=0.2319
Fold1 Epoch4 | TrainAcc=79.69% | ValAcc=94.07% | TrainLoss=0.7446 | ValLoss=0.2742 | AvgGrad=0.2239
Fold1 Epoch5 | TrainAcc=83.50% | ValAcc=94.94% | TrainLoss=0.5964 | ValLoss=0.2285 | AvgGrad=0.2150
Fold1 Epoch6 | TrainAcc=85.61% | ValAcc=95.69% | TrainLoss=0.5106 | ValLoss=0.1944 | AvgGrad=0.2087
Fold1 Epoch7 | TrainAcc=87.23% | ValAcc=95.93% | TrainLoss=0.4499 | ValLoss=0.1815 | AvgGrad=0.2014
Fold1 Epoch8 | TrainAcc=88.38% | ValAcc=96.32% | TrainLoss=0.4034 | ValLoss=0.1674 | AvgGrad=0.1950
Fold1 Epoch9 | TrainAcc=89.41% | ValAcc=96.40% | TrainLoss=0.3656 | ValLoss=0.1621 | AvgGrad=0.1897
Fold1 Epoch10 | TrainAcc=90.18% | ValAcc=96.56% | TrainLoss=0.3384 | ValLoss=0.1572 | AvgGrad=0.1843
Fold1 Epoch11 | TrainAcc=93.28% | ValAcc=97.28% | TrainLoss=0.2252 | ValLoss=0.1263 | AvgGrad=0.1522
Fold1 Epoch12 | TrainAcc=94.08% | ValAcc=97.29% | TrainLoss=0.1940 | ValLoss=0.1264 | AvgGrad=0.1472
Fold1 Epoch13 | TrainAcc=94.38% | ValAcc=97.38% | TrainLoss=0.1838 | ValLoss=0.1236 | AvgGrad=0.1476
Fold1 Epoch14 | TrainAcc=94.64% | ValAcc=97.44% | TrainLoss=0.1745 | ValLoss=0.1278 | AvgGrad=0.1474
Fold1 Epoch15 | TrainAcc=94.76% | ValAcc=97.36% | TrainLoss=0.1692 | ValLoss=0.1288 | AvgGrad=0.1486
Fold1 Epoch16 | TrainAcc=95.02% | ValAcc=97.45% | TrainLoss=0.1586 | ValLoss=0.1284 | AvgGrad=0.1469
