=== Experiment Parameters ===
Timestamp: 2025-11-25_18-45-27
SNR_dB: 5, ADD_NOISE: True, ADD_DOPPLER: True
FS: 20000000.0, FC: 2400000000.0, Velocity_kmh: 120
Batch: 256, Epochs: 200, LR: 0.001, WD: 0.0001
Num classes: 6, K-Fold: 5, Patience: 8, MinDelta: 0.1
============================

Fold1 Epoch1 | TrainAcc=95.34% | ValAcc=99.38% | TrainLoss=0.1365 | ValLoss=0.0192 | AvgGrad=0.1061
Fold1 Epoch2 | TrainAcc=99.38% | ValAcc=99.31% | TrainLoss=0.0182 | ValLoss=0.0201 | AvgGrad=0.0426
Fold1 Epoch3 | TrainAcc=99.38% | ValAcc=99.56% | TrainLoss=0.0168 | ValLoss=0.0130 | AvgGrad=0.0429
Fold1 Epoch4 | TrainAcc=99.69% | ValAcc=99.42% | TrainLoss=0.0096 | ValLoss=0.0182 | AvgGrad=0.0289
Fold1 Epoch5 | TrainAcc=99.76% | ValAcc=99.58% | TrainLoss=0.0071 | ValLoss=0.0134 | AvgGrad=0.0246
Fold1 Epoch6 | TrainAcc=99.75% | ValAcc=99.50% | TrainLoss=0.0070 | ValLoss=0.0156 | AvgGrad=0.0260
Fold1 Epoch7 | TrainAcc=99.62% | ValAcc=99.49% | TrainLoss=0.0114 | ValLoss=0.0184 | AvgGrad=0.0330
Fold1 Epoch8 | TrainAcc=99.73% | ValAcc=99.54% | TrainLoss=0.0072 | ValLoss=0.0149 | AvgGrad=0.0241
Fold1 Epoch9 | TrainAcc=99.79% | ValAcc=99.47% | TrainLoss=0.0060 | ValLoss=0.0222 | AvgGrad=0.0220
Fold1 Epoch10 | TrainAcc=99.84% | ValAcc=99.58% | TrainLoss=0.0047 | ValLoss=0.0162 | AvgGrad=0.0190
Fold1 Epoch11 | TrainAcc=99.96% | ValAcc=99.71% | TrainLoss=0.0012 | ValLoss=0.0131 | AvgGrad=0.0069
Fold1 Epoch12 | TrainAcc=99.99% | ValAcc=99.66% | TrainLoss=0.0003 | ValLoss=0.0145 | AvgGrad=0.0021
Fold1 Epoch13 | TrainAcc=99.99% | ValAcc=99.63% | TrainLoss=0.0002 | ValLoss=0.0154 | AvgGrad=0.0018
Fold1 Epoch14 | TrainAcc=100.00% | ValAcc=99.69% | TrainLoss=0.0001 | ValLoss=0.0143 | AvgGrad=0.0006
