=== Experiment Parameters ===
Timestamp: 2025-11-26_13-58-15
Device: cuda
SNR_dB: -10
Doppler_fd: 266.67 Hz
FS: 20000000.0
FC: 2400000000.0
Wavelet: db6, Level: 6
Batch size: 256, Epochs: 200, LR: 0.001, Weight decay: 0.0001
K-Fold: 5, Patience: 8, Num classes: 6
============================

Fold1 Epoch1 | TrainAcc=20.67% | ValAcc=19.00% | TrainLoss=1.7765 | ValLoss=1.7879 | AvgGrad=0.0258
Fold1 Epoch2 | TrainAcc=23.97% | ValAcc=21.77% | TrainLoss=1.7493 | ValLoss=1.7793 | AvgGrad=0.0304
Fold1 Epoch3 | TrainAcc=25.48% | ValAcc=23.55% | TrainLoss=1.7343 | ValLoss=1.7660 | AvgGrad=0.0334
Fold1 Epoch4 | TrainAcc=26.48% | ValAcc=19.09% | TrainLoss=1.7223 | ValLoss=1.9346 | AvgGrad=0.0374
Fold1 Epoch5 | TrainAcc=27.26% | ValAcc=23.50% | TrainLoss=1.7122 | ValLoss=1.7549 | AvgGrad=0.0401
Fold1 Epoch6 | TrainAcc=27.85% | ValAcc=24.88% | TrainLoss=1.7047 | ValLoss=1.7700 | AvgGrad=0.0426
Fold1 Epoch7 | TrainAcc=28.23% | ValAcc=24.75% | TrainLoss=1.6999 | ValLoss=1.7671 | AvgGrad=0.0439
Fold1 Epoch8 | TrainAcc=28.64% | ValAcc=26.02% | TrainLoss=1.6948 | ValLoss=1.7452 | AvgGrad=0.0448
Fold1 Epoch9 | TrainAcc=28.86% | ValAcc=26.75% | TrainLoss=1.6912 | ValLoss=1.7347 | AvgGrad=0.0469
Fold1 Epoch10 | TrainAcc=28.99% | ValAcc=26.47% | TrainLoss=1.6876 | ValLoss=1.7290 | AvgGrad=0.0482
Fold1 Epoch11 | TrainAcc=29.85% | ValAcc=25.05% | TrainLoss=1.6758 | ValLoss=1.7528 | AvgGrad=0.0533
Fold1 Epoch12 | TrainAcc=30.10% | ValAcc=27.24% | TrainLoss=1.6718 | ValLoss=1.7201 | AvgGrad=0.0586
Fold1 Epoch13 | TrainAcc=30.39% | ValAcc=24.14% | TrainLoss=1.6684 | ValLoss=1.7898 | AvgGrad=0.0624
Fold1 Epoch14 | TrainAcc=30.56% | ValAcc=26.32% | TrainLoss=1.6655 | ValLoss=1.7394 | AvgGrad=0.0665
Fold1 Epoch15 | TrainAcc=30.90% | ValAcc=25.47% | TrainLoss=1.6623 | ValLoss=1.7608 | AvgGrad=0.0704
Fold1 Epoch16 | TrainAcc=30.97% | ValAcc=22.74% | TrainLoss=1.6595 | ValLoss=1.8440 | AvgGrad=0.0741
Fold1 Epoch17 | TrainAcc=31.22% | ValAcc=23.62% | TrainLoss=1.6566 | ValLoss=1.8020 | AvgGrad=0.0781
Fold1 Epoch18 | TrainAcc=31.40% | ValAcc=26.80% | TrainLoss=1.6540 | ValLoss=1.7480 | AvgGrad=0.0817
Fold1 Epoch19 | TrainAcc=31.59% | ValAcc=25.24% | TrainLoss=1.6506 | ValLoss=1.7810 | AvgGrad=0.0848
Fold1 Epoch20 | TrainAcc=31.78% | ValAcc=25.39% | TrainLoss=1.6480 | ValLoss=1.7606 | AvgGrad=0.0885
Fold1 TestAcc=25.14%
Fold2 Epoch1 | TrainAcc=20.92% | ValAcc=22.11% | TrainLoss=1.7745 | ValLoss=1.7703 | AvgGrad=0.0251
Fold2 Epoch2 | TrainAcc=24.22% | ValAcc=24.12% | TrainLoss=1.7467 | ValLoss=1.7554 | AvgGrad=0.0307
Fold2 Epoch3 | TrainAcc=25.78% | ValAcc=21.79% | TrainLoss=1.7301 | ValLoss=1.7862 | AvgGrad=0.0349
Fold2 Epoch4 | TrainAcc=26.69% | ValAcc=24.61% | TrainLoss=1.7187 | ValLoss=1.7534 | AvgGrad=0.0383
Fold2 Epoch5 | TrainAcc=27.50% | ValAcc=25.15% | TrainLoss=1.7097 | ValLoss=1.7785 | AvgGrad=0.0411
Fold2 Epoch6 | TrainAcc=28.08% | ValAcc=26.30% | TrainLoss=1.7020 | ValLoss=1.7318 | AvgGrad=0.0438
Fold2 Epoch7 | TrainAcc=28.55% | ValAcc=27.70% | TrainLoss=1.6963 | ValLoss=1.7125 | AvgGrad=0.0456
