=== Experiment Summary ===
Timestamp: 2025-11-28_15-01-47
Total Classes: 6
SNR: 20 dB
fd (Doppler shift): 266.6666666666667 Hz
equalized: 0
Fold1 Epoch1 | TrainAcc=60.18% | ValAcc=54.06% | TrainLoss=0.9641 | ValLoss=1.9370 | AvgGrad=5.9040
Fold1 Epoch2 | TrainAcc=90.27% | ValAcc=82.03% | TrainLoss=0.2736 | ValLoss=0.6380 | AvgGrad=4.7448
Fold1 Epoch3 | TrainAcc=96.54% | ValAcc=89.74% | TrainLoss=0.1100 | ValLoss=0.3668 | AvgGrad=3.3871
Fold1 Epoch4 | TrainAcc=97.85% | ValAcc=96.40% | TrainLoss=0.0718 | ValLoss=0.1111 | AvgGrad=2.6195
Fold1 Epoch5 | TrainAcc=98.46% | ValAcc=97.11% | TrainLoss=0.0523 | ValLoss=0.0878 | AvgGrad=2.1395
Fold1 Epoch6 | TrainAcc=98.71% | ValAcc=98.58% | TrainLoss=0.0412 | ValLoss=0.0514 | AvgGrad=1.8717
Fold1 Epoch7 | TrainAcc=98.86% | ValAcc=98.93% | TrainLoss=0.0385 | ValLoss=0.0380 | AvgGrad=1.6471
Fold1 Epoch8 | TrainAcc=99.03% | ValAcc=99.17% | TrainLoss=0.0333 | ValLoss=0.0304 | AvgGrad=1.4282
Fold1 Epoch9 | TrainAcc=99.11% | ValAcc=99.40% | TrainLoss=0.0299 | ValLoss=0.0213 | AvgGrad=1.3504
Fold1 Epoch10 | TrainAcc=99.19% | ValAcc=99.36% | TrainLoss=0.0276 | ValLoss=0.0215 | AvgGrad=1.2790
Fold1 Epoch11 | TrainAcc=99.49% | ValAcc=99.49% | TrainLoss=0.0184 | ValLoss=0.0180 | AvgGrad=0.8447
Fold1 Epoch12 | TrainAcc=99.57% | ValAcc=99.51% | TrainLoss=0.0162 | ValLoss=0.0180 | AvgGrad=0.8002
Fold1 Epoch13 | TrainAcc=99.50% | ValAcc=99.55% | TrainLoss=0.0174 | ValLoss=0.0199 | AvgGrad=0.9152
Fold1 Epoch14 | TrainAcc=99.52% | ValAcc=99.49% | TrainLoss=0.0166 | ValLoss=0.0165 | AvgGrad=0.8769
Fold1 Epoch15 | TrainAcc=99.55% | ValAcc=99.54% | TrainLoss=0.0162 | ValLoss=0.0155 | AvgGrad=0.8485
Fold1 Epoch16 | TrainAcc=99.55% | ValAcc=99.49% | TrainLoss=0.0158 | ValLoss=0.0166 | AvgGrad=0.9073
Fold1 Epoch17 | TrainAcc=99.54% | ValAcc=99.55% | TrainLoss=0.0160 | ValLoss=0.0161 | AvgGrad=0.9155
Fold1 Epoch18 | TrainAcc=99.59% | ValAcc=99.56% | TrainLoss=0.0149 | ValLoss=0.0153 | AvgGrad=0.8170
Fold1 Epoch19 | TrainAcc=99.61% | ValAcc=99.52% | TrainLoss=0.0141 | ValLoss=0.0148 | AvgGrad=0.7634
Fold1 Epoch20 | TrainAcc=99.62% | ValAcc=99.56% | TrainLoss=0.0136 | ValLoss=0.0157 | AvgGrad=0.8119
Fold1 Epoch21 | TrainAcc=99.73% | ValAcc=99.59% | TrainLoss=0.0105 | ValLoss=0.0144 | AvgGrad=0.6002
Fold1 Epoch22 | TrainAcc=99.73% | ValAcc=99.57% | TrainLoss=0.0105 | ValLoss=0.0149 | AvgGrad=0.6462
Fold1 Epoch23 | TrainAcc=99.70% | ValAcc=99.53% | TrainLoss=0.0108 | ValLoss=0.0152 | AvgGrad=0.6814
Fold1 Epoch24 | TrainAcc=99.74% | ValAcc=99.56% | TrainLoss=0.0103 | ValLoss=0.0140 | AvgGrad=0.6365
Fold1 Epoch25 | TrainAcc=99.75% | ValAcc=99.60% | TrainLoss=0.0094 | ValLoss=0.0147 | AvgGrad=0.5922
Fold1 Epoch26 | TrainAcc=99.73% | ValAcc=99.56% | TrainLoss=0.0102 | ValLoss=0.0142 | AvgGrad=0.6515
Fold1 Epoch27 | TrainAcc=99.77% | ValAcc=99.56% | TrainLoss=0.0089 | ValLoss=0.0154 | AvgGrad=0.6412
Fold1 Epoch28 | TrainAcc=99.76% | ValAcc=99.53% | TrainLoss=0.0094 | ValLoss=0.0150 | AvgGrad=0.6564
Fold1 Epoch29 | TrainAcc=99.76% | ValAcc=99.55% | TrainLoss=0.0088 | ValLoss=0.0158 | AvgGrad=0.6251
Fold 1 Test Acc: 83.48%
Fold2 Epoch1 | TrainAcc=59.75% | ValAcc=50.56% | TrainLoss=0.9591 | ValLoss=2.0971 | AvgGrad=5.9327
Fold2 Epoch2 | TrainAcc=89.07% | ValAcc=83.97% | TrainLoss=0.3089 | ValLoss=0.4770 | AvgGrad=4.8499
Fold2 Epoch3 | TrainAcc=96.29% | ValAcc=96.61% | TrainLoss=0.1213 | ValLoss=0.1046 | AvgGrad=3.3634
Fold2 Epoch4 | TrainAcc=97.95% | ValAcc=98.53% | TrainLoss=0.0710 | ValLoss=0.0482 | AvgGrad=2.5209
Fold2 Epoch5 | TrainAcc=98.39% | ValAcc=97.75% | TrainLoss=0.0539 | ValLoss=0.0686 | AvgGrad=2.1454
Fold2 Epoch6 | TrainAcc=98.72% | ValAcc=99.25% | TrainLoss=0.0436 | ValLoss=0.0266 | AvgGrad=1.8188
Fold2 Epoch7 | TrainAcc=98.83% | ValAcc=99.45% | TrainLoss=0.0395 | ValLoss=0.0193 | AvgGrad=1.6889
Fold2 Epoch8 | TrainAcc=99.03% | ValAcc=99.56% | TrainLoss=0.0329 | ValLoss=0.0155 | AvgGrad=1.4168
Fold2 Epoch9 | TrainAcc=99.10% | ValAcc=99.60% | TrainLoss=0.0306 | ValLoss=0.0160 | AvgGrad=1.3671
Fold2 Epoch10 | TrainAcc=99.18% | ValAcc=99.56% | TrainLoss=0.0288 | ValLoss=0.0163 | AvgGrad=1.3066
Fold2 Epoch11 | TrainAcc=99.44% | ValAcc=99.67% | TrainLoss=0.0187 | ValLoss=0.0107 | AvgGrad=0.8768
Fold2 Epoch12 | TrainAcc=99.53% | ValAcc=99.69% | TrainLoss=0.0178 | ValLoss=0.0105 | AvgGrad=0.8042
Fold2 Epoch13 | TrainAcc=99.45% | ValAcc=99.68% | TrainLoss=0.0197 | ValLoss=0.0115 | AvgGrad=0.9627
Fold2 Epoch14 | TrainAcc=99.49% | ValAcc=99.69% | TrainLoss=0.0174 | ValLoss=0.0119 | AvgGrad=0.9087
Fold2 Epoch15 | TrainAcc=99.48% | ValAcc=99.67% | TrainLoss=0.0176 | ValLoss=0.0102 | AvgGrad=0.9011
Fold2 Epoch16 | TrainAcc=99.48% | ValAcc=99.65% | TrainLoss=0.0181 | ValLoss=0.0122 | AvgGrad=0.9093
Fold2 Epoch17 | TrainAcc=99.50% | ValAcc=99.70% | TrainLoss=0.0168 | ValLoss=0.0094 | AvgGrad=0.8720
Fold2 Epoch18 | TrainAcc=99.58% | ValAcc=99.62% | TrainLoss=0.0157 | ValLoss=0.0116 | AvgGrad=0.8275
Fold2 Epoch19 | TrainAcc=99.55% | ValAcc=99.68% | TrainLoss=0.0166 | ValLoss=0.0096 | AvgGrad=0.8801
Fold2 Epoch20 | TrainAcc=99.55% | ValAcc=99.69% | TrainLoss=0.0159 | ValLoss=0.0088 | AvgGrad=0.8498
Fold2 Epoch21 | TrainAcc=99.68% | ValAcc=99.74% | TrainLoss=0.0119 | ValLoss=0.0076 | AvgGrad=0.6375
Fold2 Epoch22 | TrainAcc=99.65% | ValAcc=99.71% | TrainLoss=0.0123 | ValLoss=0.0087 | AvgGrad=0.6978
Fold2 Epoch23 | TrainAcc=99.69% | ValAcc=99.72% | TrainLoss=0.0112 | ValLoss=0.0088 | AvgGrad=0.6391
Fold2 Epoch24 | TrainAcc=99.70% | ValAcc=99.72% | TrainLoss=0.0112 | ValLoss=0.0087 | AvgGrad=0.6646
Fold2 Epoch25 | TrainAcc=99.70% | ValAcc=99.74% | TrainLoss=0.0110 | ValLoss=0.0081 | AvgGrad=0.6547
Fold2 Epoch26 | TrainAcc=99.72% | ValAcc=99.73% | TrainLoss=0.0108 | ValLoss=0.0088 | AvgGrad=0.6870
Fold 2 Test Acc: 83.52%
Fold3 Epoch1 | TrainAcc=61.61% | ValAcc=54.19% | TrainLoss=0.9445 | ValLoss=2.0619 | AvgGrad=6.1038
Fold3 Epoch2 | TrainAcc=91.45% | ValAcc=86.80% | TrainLoss=0.2470 | ValLoss=0.4888 | AvgGrad=4.5992
Fold3 Epoch3 | TrainAcc=96.80% | ValAcc=94.64% | TrainLoss=0.1046 | ValLoss=0.1522 | AvgGrad=3.1349
Fold3 Epoch4 | TrainAcc=97.98% | ValAcc=97.65% | TrainLoss=0.0690 | ValLoss=0.0720 | AvgGrad=2.4592
Fold3 Epoch5 | TrainAcc=98.48% | ValAcc=97.92% | TrainLoss=0.0517 | ValLoss=0.0570 | AvgGrad=2.0288
Fold3 Epoch6 | TrainAcc=98.77% | ValAcc=98.88% | TrainLoss=0.0428 | ValLoss=0.0385 | AvgGrad=1.7789
Fold3 Epoch7 | TrainAcc=98.83% | ValAcc=97.88% | TrainLoss=0.0387 | ValLoss=0.0885 | AvgGrad=1.6431
Fold3 Epoch8 | TrainAcc=99.00% | ValAcc=99.36% | TrainLoss=0.0345 | ValLoss=0.0217 | AvgGrad=1.4134
Fold3 Epoch9 | TrainAcc=99.13% | ValAcc=99.40% | TrainLoss=0.0307 | ValLoss=0.0190 | AvgGrad=1.2974
Fold3 Epoch10 | TrainAcc=99.15% | ValAcc=99.51% | TrainLoss=0.0301 | ValLoss=0.0164 | AvgGrad=1.2579
Fold3 Epoch11 | TrainAcc=99.38% | ValAcc=99.62% | TrainLoss=0.0209 | ValLoss=0.0115 | AvgGrad=0.9129
Fold3 Epoch12 | TrainAcc=99.46% | ValAcc=99.67% | TrainLoss=0.0181 | ValLoss=0.0121 | AvgGrad=0.8444
Fold3 Epoch13 | TrainAcc=99.45% | ValAcc=99.65% | TrainLoss=0.0192 | ValLoss=0.0117 | AvgGrad=0.9193
Fold3 Epoch14 | TrainAcc=99.49% | ValAcc=99.67% | TrainLoss=0.0183 | ValLoss=0.0118 | AvgGrad=0.9243
Fold3 Epoch15 | TrainAcc=99.46% | ValAcc=99.67% | TrainLoss=0.0188 | ValLoss=0.0113 | AvgGrad=0.9329
Fold3 Epoch16 | TrainAcc=99.54% | ValAcc=99.58% | TrainLoss=0.0173 | ValLoss=0.0123 | AvgGrad=0.8643
Fold3 Epoch17 | TrainAcc=99.53% | ValAcc=99.60% | TrainLoss=0.0176 | ValLoss=0.0127 | AvgGrad=0.8801
Fold3 Epoch18 | TrainAcc=99.57% | ValAcc=99.67% | TrainLoss=0.0163 | ValLoss=0.0108 | AvgGrad=0.8699
Fold3 Epoch19 | TrainAcc=99.54% | ValAcc=99.63% | TrainLoss=0.0166 | ValLoss=0.0106 | AvgGrad=0.9007
Fold3 Epoch20 | TrainAcc=99.54% | ValAcc=99.67% | TrainLoss=0.0165 | ValLoss=0.0105 | AvgGrad=0.8985
Fold3 Epoch21 | TrainAcc=99.67% | ValAcc=99.67% | TrainLoss=0.0124 | ValLoss=0.0105 | AvgGrad=0.6525
Fold3 Epoch22 | TrainAcc=99.67% | ValAcc=99.69% | TrainLoss=0.0113 | ValLoss=0.0096 | AvgGrad=0.6287
Fold3 Epoch23 | TrainAcc=99.72% | ValAcc=99.70% | TrainLoss=0.0111 | ValLoss=0.0088 | AvgGrad=0.6244
