=== Experiment Parameters ===
Timestamp: 2025-11-28_21-49-35
Device: cuda
SNR_dB: 5
Doppler_fd: 266.67 Hz
FS: 20000000.0
FC: 2400000000.0
Wavelet: db6, Level: 6
Batch size: 256, Epochs: 200, LR: 0.001, Weight decay: 0.0001
K-Fold: 5, Patience: 8, Num classes: 6
训练集所选日期: ['2021_03_15']测试集所选日期：['2021_03_01']============================

Fold1 Epoch1 | TrainAcc=65.58% | ValAcc=43.90% | TrainLoss=0.9322 | ValLoss=1.8799 | AvgGrad=0.1291
Fold1 Epoch2 | TrainAcc=84.35% | ValAcc=71.65% | TrainLoss=0.4420 | ValLoss=0.8375 | AvgGrad=0.1981
Fold1 Epoch3 | TrainAcc=88.02% | ValAcc=69.37% | TrainLoss=0.3384 | ValLoss=0.8397 | AvgGrad=0.2080
Fold1 Epoch4 | TrainAcc=89.55% | ValAcc=76.44% | TrainLoss=0.2898 | ValLoss=0.7149 | AvgGrad=0.2109
Fold1 Epoch5 | TrainAcc=90.67% | ValAcc=64.60% | TrainLoss=0.2610 | ValLoss=1.0512 | AvgGrad=0.2157
Fold1 Epoch6 | TrainAcc=91.28% | ValAcc=78.94% | TrainLoss=0.2426 | ValLoss=0.6213 | AvgGrad=0.2073
Fold1 Epoch7 | TrainAcc=92.03% | ValAcc=73.19% | TrainLoss=0.2245 | ValLoss=0.7927 | AvgGrad=0.2069
Fold1 Epoch8 | TrainAcc=92.58% | ValAcc=73.67% | TrainLoss=0.2092 | ValLoss=0.8595 | AvgGrad=0.2013
Fold1 Epoch9 | TrainAcc=92.83% | ValAcc=85.36% | TrainLoss=0.1990 | ValLoss=0.3889 | AvgGrad=0.2022
Fold1 Epoch10 | TrainAcc=93.24% | ValAcc=63.53% | TrainLoss=0.1889 | ValLoss=1.5710 | AvgGrad=0.2026
Fold1 Epoch11 | TrainAcc=94.55% | ValAcc=79.14% | TrainLoss=0.1560 | ValLoss=0.6328 | AvgGrad=0.1859
Fold1 Epoch12 | TrainAcc=94.92% | ValAcc=81.08% | TrainLoss=0.1478 | ValLoss=0.5537 | AvgGrad=0.1939
Fold1 Epoch13 | TrainAcc=94.92% | ValAcc=76.90% | TrainLoss=0.1449 | ValLoss=0.7520 | AvgGrad=0.2011
Fold1 Epoch14 | TrainAcc=95.27% | ValAcc=73.97% | TrainLoss=0.1374 | ValLoss=0.8659 | AvgGrad=0.2044
Fold1 Epoch15 | TrainAcc=95.34% | ValAcc=70.99% | TrainLoss=0.1342 | ValLoss=1.1705 | AvgGrad=0.2090
Fold1 Epoch16 | TrainAcc=95.54% | ValAcc=84.98% | TrainLoss=0.1308 | ValLoss=0.4527 | AvgGrad=0.2098
Fold1 Epoch17 | TrainAcc=95.46% | ValAcc=81.67% | TrainLoss=0.1286 | ValLoss=0.5637 | AvgGrad=0.2152
Fold1 TestAcc=61.59%
Fold2 Epoch1 | TrainAcc=65.77% | ValAcc=61.72% | TrainLoss=0.9235 | ValLoss=1.0204 | AvgGrad=0.1455
Fold2 Epoch2 | TrainAcc=83.61% | ValAcc=73.64% | TrainLoss=0.4623 | ValLoss=0.7052 | AvgGrad=0.2100
Fold2 Epoch3 | TrainAcc=87.18% | ValAcc=33.84% | TrainLoss=0.3563 | ValLoss=3.7051 | AvgGrad=0.2224
Fold2 Epoch4 | TrainAcc=89.05% | ValAcc=84.69% | TrainLoss=0.3061 | ValLoss=0.4077 | AvgGrad=0.2231
Fold2 Epoch5 | TrainAcc=90.27% | ValAcc=78.85% | TrainLoss=0.2731 | ValLoss=0.5909 | AvgGrad=0.2207
Fold2 Epoch6 | TrainAcc=90.98% | ValAcc=83.26% | TrainLoss=0.2505 | ValLoss=0.4776 | AvgGrad=0.2147
Fold2 Epoch7 | TrainAcc=91.71% | ValAcc=63.49% | TrainLoss=0.2304 | ValLoss=1.4725 | AvgGrad=0.2126
Fold2 Epoch8 | TrainAcc=92.12% | ValAcc=76.81% | TrainLoss=0.2187 | ValLoss=0.7620 | AvgGrad=0.2132
Fold2 Epoch9 | TrainAcc=92.54% | ValAcc=43.21% | TrainLoss=0.2069 | ValLoss=2.8484 | AvgGrad=0.2132
Fold2 Epoch10 | TrainAcc=92.97% | ValAcc=62.71% | TrainLoss=0.1966 | ValLoss=1.6016 | AvgGrad=0.2072
Fold2 Epoch11 | TrainAcc=94.23% | ValAcc=83.77% | TrainLoss=0.1628 | ValLoss=0.5218 | AvgGrad=0.1932
Fold2 Epoch12 | TrainAcc=94.52% | ValAcc=80.72% | TrainLoss=0.1548 | ValLoss=0.6163 | AvgGrad=0.2068
Fold2 TestAcc=63.55%
Fold3 Epoch1 | TrainAcc=63.76% | ValAcc=68.75% | TrainLoss=0.9591 | ValLoss=0.8257 | AvgGrad=0.1342
Fold3 Epoch2 | TrainAcc=83.34% | ValAcc=79.88% | TrainLoss=0.4679 | ValLoss=0.5189 | AvgGrad=0.1964
Fold3 Epoch3 | TrainAcc=87.40% | ValAcc=43.00% | TrainLoss=0.3523 | ValLoss=2.2343 | AvgGrad=0.2100
Fold3 Epoch4 | TrainAcc=89.19% | ValAcc=81.83% | TrainLoss=0.2996 | ValLoss=0.4957 | AvgGrad=0.2117
Fold3 Epoch5 | TrainAcc=90.39% | ValAcc=69.25% | TrainLoss=0.2698 | ValLoss=0.9601 | AvgGrad=0.2143
Fold3 Epoch6 | TrainAcc=91.07% | ValAcc=33.60% | TrainLoss=0.2502 | ValLoss=4.0689 | AvgGrad=0.2145
Fold3 Epoch7 | TrainAcc=91.99% | ValAcc=71.46% | TrainLoss=0.2261 | ValLoss=0.9392 | AvgGrad=0.2094
Fold3 Epoch8 | TrainAcc=92.09% | ValAcc=86.27% | TrainLoss=0.2179 | ValLoss=0.3766 | AvgGrad=0.2128
