=== Experiment Parameters ===
Timestamp: 2025-11-28_22-40-50
Device: cuda
SNR_dB: 20
Doppler_fd: 266.67 Hz
FS: 20000000.0
FC: 2400000000.0
Wavelet: db6, Level: 6
Batch size: 256, Epochs: 200, LR: 0.001, Weight decay: 0.0001
K-Fold: 5, Patience: 5, Num classes: 150
============================

Fold1 Epoch1 | TrainAcc=20.66% | ValAcc=22.50% | TrainLoss=3.0889 | ValLoss=2.8299 | AvgGrad=0.2056
Fold1 Epoch2 | TrainAcc=33.22% | ValAcc=33.41% | TrainLoss=2.4072 | ValLoss=2.3740 | AvgGrad=0.2756
Fold1 Epoch3 | TrainAcc=37.38% | ValAcc=29.78% | TrainLoss=2.2318 | ValLoss=2.5550 | AvgGrad=0.2917
Fold1 Epoch4 | TrainAcc=39.95% | ValAcc=21.83% | TrainLoss=2.1319 | ValLoss=3.1521 | AvgGrad=0.2999
Fold1 Epoch5 | TrainAcc=41.80% | ValAcc=29.77% | TrainLoss=2.0617 | ValLoss=2.5864 | AvgGrad=0.3051
Fold1 Epoch6 | TrainAcc=43.46% | ValAcc=39.16% | TrainLoss=2.0051 | ValLoss=2.1687 | AvgGrad=0.3082
Fold1 Epoch7 | TrainAcc=44.70% | ValAcc=37.77% | TrainLoss=1.9620 | ValLoss=2.2139 | AvgGrad=0.3125
Fold1 Epoch8 | TrainAcc=45.79% | ValAcc=37.54% | TrainLoss=1.9253 | ValLoss=2.2416 | AvgGrad=0.3121
Fold1 Epoch9 | TrainAcc=46.84% | ValAcc=41.61% | TrainLoss=1.8917 | ValLoss=2.0627 | AvgGrad=0.3129
Fold1 Epoch10 | TrainAcc=47.72% | ValAcc=41.31% | TrainLoss=1.8620 | ValLoss=2.1031 | AvgGrad=0.3115
Fold1 Epoch11 | TrainAcc=50.28% | ValAcc=41.61% | TrainLoss=1.7858 | ValLoss=2.0622 | AvgGrad=0.3080
Fold1 Epoch12 | TrainAcc=50.68% | ValAcc=47.61% | TrainLoss=1.7708 | ValLoss=1.8907 | AvgGrad=0.3246
Fold1 Epoch13 | TrainAcc=51.20% | ValAcc=44.29% | TrainLoss=1.7548 | ValLoss=1.9736 | AvgGrad=0.3325
Fold1 Epoch14 | TrainAcc=51.48% | ValAcc=44.89% | TrainLoss=1.7423 | ValLoss=1.9728 | AvgGrad=0.3392
Fold1 Epoch15 | TrainAcc=52.00% | ValAcc=41.21% | TrainLoss=1.7292 | ValLoss=2.1149 | AvgGrad=0.3443
Fold1 Epoch16 | TrainAcc=52.18% | ValAcc=45.11% | TrainLoss=1.7202 | ValLoss=1.9553 | AvgGrad=0.3507
Fold1 Epoch17 | TrainAcc=52.58% | ValAcc=47.21% | TrainLoss=1.7095 | ValLoss=1.8811 | AvgGrad=0.3552
Fold1 TestAcc=46.94%
