=== Experiment Summary ===
Timestamp: 2025-11-29_18-20-38
Total Classes: 150
SNR: 20 dB
fd (Doppler shift): 266.6666666666667 Hz
equalized: 0
diff:True
Fold1 Epoch1 | TrainAcc=3.66% | ValAcc=7.72% | TrainLoss=4.6730 | ValLoss=4.1586 | AvgGrad=4.9937
Fold1 Epoch2 | TrainAcc=11.69% | ValAcc=18.64% | TrainLoss=3.8768 | ValLoss=3.4036 | AvgGrad=4.7864
Fold1 Epoch3 | TrainAcc=22.63% | ValAcc=34.72% | TrainLoss=3.2519 | ValLoss=2.6678 | AvgGrad=5.7300
Fold1 Epoch4 | TrainAcc=36.95% | ValAcc=53.62% | TrainLoss=2.6154 | ValLoss=1.9367 | AvgGrad=7.1424
Fold1 Epoch5 | TrainAcc=50.76% | ValAcc=67.08% | TrainLoss=2.0518 | ValLoss=1.4119 | AvgGrad=8.3976
Fold1 Epoch6 | TrainAcc=61.13% | ValAcc=75.65% | TrainLoss=1.6319 | ValLoss=1.0701 | AvgGrad=9.0830
Fold1 Epoch7 | TrainAcc=68.23% | ValAcc=79.92% | TrainLoss=1.3553 | ValLoss=0.8965 | AvgGrad=9.3056
Fold1 Epoch8 | TrainAcc=72.83% | ValAcc=82.83% | TrainLoss=1.1718 | ValLoss=0.7716 | AvgGrad=9.2858
Fold1 Epoch9 | TrainAcc=76.05% | ValAcc=84.52% | TrainLoss=1.0474 | ValLoss=0.6963 | AvgGrad=9.1455
Fold1 Epoch10 | TrainAcc=78.31% | ValAcc=85.83% | TrainLoss=0.9623 | ValLoss=0.6518 | AvgGrad=9.0035
Fold1 Epoch11 | TrainAcc=83.22% | ValAcc=87.97% | TrainLoss=0.7819 | ValLoss=0.5578 | AvgGrad=8.0782
Fold1 Epoch12 | TrainAcc=84.15% | ValAcc=88.30% | TrainLoss=0.7436 | ValLoss=0.5446 | AvgGrad=8.3540
Fold1 Epoch13 | TrainAcc=84.85% | ValAcc=88.42% | TrainLoss=0.7179 | ValLoss=0.5382 | AvgGrad=8.5394
Fold1 Epoch14 | TrainAcc=85.24% | ValAcc=88.83% | TrainLoss=0.7020 | ValLoss=0.5215 | AvgGrad=8.7515
Fold1 Epoch15 | TrainAcc=85.55% | ValAcc=89.10% | TrainLoss=0.6860 | ValLoss=0.5130 | AvgGrad=8.9240
Fold1 Epoch16 | TrainAcc=85.97% | ValAcc=89.13% | TrainLoss=0.6720 | ValLoss=0.5096 | AvgGrad=9.0590
Fold1 Epoch17 | TrainAcc=86.15% | ValAcc=89.36% | TrainLoss=0.6629 | ValLoss=0.4984 | AvgGrad=9.2066
Fold1 Epoch18 | TrainAcc=86.43% | ValAcc=89.54% | TrainLoss=0.6523 | ValLoss=0.4933 | AvgGrad=9.3027
Fold1 Epoch19 | TrainAcc=86.63% | ValAcc=89.40% | TrainLoss=0.6423 | ValLoss=0.4923 | AvgGrad=9.4207
Fold1 Epoch20 | TrainAcc=86.84% | ValAcc=89.66% | TrainLoss=0.6334 | ValLoss=0.4880 | AvgGrad=9.4933
Fold1 Epoch21 | TrainAcc=88.44% | ValAcc=90.19% | TrainLoss=0.5655 | ValLoss=0.4606 | AvgGrad=8.5044
Fold1 Epoch22 | TrainAcc=88.68% | ValAcc=90.34% | TrainLoss=0.5539 | ValLoss=0.4584 | AvgGrad=8.6665
Fold1 Epoch23 | TrainAcc=88.85% | ValAcc=90.28% | TrainLoss=0.5493 | ValLoss=0.4570 | AvgGrad=8.8193
Fold1 Epoch24 | TrainAcc=88.99% | ValAcc=90.37% | TrainLoss=0.5439 | ValLoss=0.4546 | AvgGrad=8.9533
Fold1 Epoch25 | TrainAcc=89.04% | ValAcc=90.39% | TrainLoss=0.5414 | ValLoss=0.4540 | AvgGrad=9.1584
Fold1 Epoch26 | TrainAcc=89.13% | ValAcc=90.34% | TrainLoss=0.5377 | ValLoss=0.4538 | AvgGrad=9.3020
Fold1 Epoch27 | TrainAcc=89.18% | ValAcc=90.44% | TrainLoss=0.5348 | ValLoss=0.4507 | AvgGrad=9.4688
Fold1 Epoch28 | TrainAcc=89.29% | ValAcc=90.42% | TrainLoss=0.5314 | ValLoss=0.4508 | AvgGrad=9.5910
Fold1 Epoch29 | TrainAcc=89.28% | ValAcc=90.54% | TrainLoss=0.5296 | ValLoss=0.4471 | AvgGrad=9.7473
Fold1 Epoch30 | TrainAcc=89.37% | ValAcc=90.52% | TrainLoss=0.5265 | ValLoss=0.4464 | AvgGrad=9.8696
Fold1 Epoch31 | TrainAcc=90.08% | ValAcc=90.77% | TrainLoss=0.4938 | ValLoss=0.4374 | AvgGrad=9.2588
Fold1 Epoch32 | TrainAcc=90.18% | ValAcc=90.77% | TrainLoss=0.4871 | ValLoss=0.4383 | AvgGrad=9.3379
Fold1 Epoch33 | TrainAcc=90.25% | ValAcc=90.83% | TrainLoss=0.4844 | ValLoss=0.4335 | AvgGrad=9.4000
Fold1 Epoch34 | TrainAcc=90.32% | ValAcc=90.78% | TrainLoss=0.4824 | ValLoss=0.4350 | AvgGrad=9.5059
Fold1 Epoch35 | TrainAcc=90.32% | ValAcc=90.84% | TrainLoss=0.4815 | ValLoss=0.4337 | AvgGrad=9.6766
Fold1 Epoch36 | TrainAcc=90.38% | ValAcc=90.91% | TrainLoss=0.4795 | ValLoss=0.4303 | AvgGrad=9.7544
Fold1 Epoch37 | TrainAcc=90.46% | ValAcc=90.77% | TrainLoss=0.4773 | ValLoss=0.4352 | AvgGrad=9.8145
Fold1 Epoch38 | TrainAcc=90.48% | ValAcc=90.85% | TrainLoss=0.4766 | ValLoss=0.4338 | AvgGrad=10.0053
Fold1 Epoch39 | TrainAcc=90.45% | ValAcc=90.88% | TrainLoss=0.4755 | ValLoss=0.4322 | AvgGrad=10.0752
Fold1 Epoch40 | TrainAcc=90.52% | ValAcc=90.88% | TrainLoss=0.4737 | ValLoss=0.4315 | AvgGrad=10.1382
