=== Experiment Parameters ===
Timestamp: 2025-12-01_23-15-07
SNR_dB: 10, ADD_NOISE: True, ADD_DOPPLER: True
FS: 20000000.0, FC: 2400000000.0, Velocity_kmh: 120
Batch: 64, Epochs: 200, LR: 0.001, WD: 0.005
Num classes: 144, K-Fold: 5, Patience: 5, MinDelta: 0.05
============================

Fold1 Epoch1 | TrainAcc=25.37% | ValAcc=67.07% | TrainLoss=2.7809 | ValLoss=1.2274 | AvgGrad=0.1902
Fold1 Epoch2 | TrainAcc=66.42% | ValAcc=80.36% | TrainLoss=1.1348 | ValLoss=0.7875 | AvgGrad=0.1516
Fold1 Epoch3 | TrainAcc=82.93% | ValAcc=83.66% | TrainLoss=0.5802 | ValLoss=0.7131 | AvgGrad=0.1324
Fold1 Epoch4 | TrainAcc=88.46% | ValAcc=84.20% | TrainLoss=0.3927 | ValLoss=0.7456 | AvgGrad=0.1240
Fold1 Epoch5 | TrainAcc=91.20% | ValAcc=84.72% | TrainLoss=0.3008 | ValLoss=0.7525 | AvgGrad=0.1195
Fold1 Epoch6 | TrainAcc=92.68% | ValAcc=84.74% | TrainLoss=0.2503 | ValLoss=0.7809 | AvgGrad=0.1169
Fold1 Epoch7 | TrainAcc=93.62% | ValAcc=85.71% | TrainLoss=0.2174 | ValLoss=0.7489 | AvgGrad=0.1153
Fold1 Epoch8 | TrainAcc=94.32% | ValAcc=85.53% | TrainLoss=0.1933 | ValLoss=0.7895 | AvgGrad=0.1149
Fold1 Epoch9 | TrainAcc=94.80% | ValAcc=84.90% | TrainLoss=0.1764 | ValLoss=0.8173 | AvgGrad=0.1154
Fold1 Epoch10 | TrainAcc=95.28% | ValAcc=85.11% | TrainLoss=0.1620 | ValLoss=0.8015 | AvgGrad=0.1151
Fold1 Epoch11 | TrainAcc=96.56% | ValAcc=86.32% | TrainLoss=0.1157 | ValLoss=0.7829 | AvgGrad=0.0997
Fold1 Epoch12 | TrainAcc=97.09% | ValAcc=86.07% | TrainLoss=0.0985 | ValLoss=0.8515 | AvgGrad=0.0949
Fold1 Epoch13 | TrainAcc=97.30% | ValAcc=86.08% | TrainLoss=0.0896 | ValLoss=0.8310 | AvgGrad=0.0928
Fold1 Epoch14 | TrainAcc=97.49% | ValAcc=86.25% | TrainLoss=0.0840 | ValLoss=0.8353 | AvgGrad=0.0928
Fold1 Epoch15 | TrainAcc=97.60% | ValAcc=85.92% | TrainLoss=0.0798 | ValLoss=0.8145 | AvgGrad=0.0921
Fold1 Epoch16 | TrainAcc=97.77% | ValAcc=86.13% | TrainLoss=0.0746 | ValLoss=0.8594 | AvgGrad=0.0920
Fold1 TestAcc=90.67%
Fold2 Epoch1 | TrainAcc=24.32% | ValAcc=71.72% | TrainLoss=2.8621 | ValLoss=1.0213 | AvgGrad=0.1961
Fold2 Epoch2 | TrainAcc=68.13% | ValAcc=81.90% | TrainLoss=1.0788 | ValLoss=0.7092 | AvgGrad=0.1529
Fold2 Epoch3 | TrainAcc=83.52% | ValAcc=84.50% | TrainLoss=0.5598 | ValLoss=0.6305 | AvgGrad=0.1314
Fold2 Epoch4 | TrainAcc=88.76% | ValAcc=86.08% | TrainLoss=0.3810 | ValLoss=0.6034 | AvgGrad=0.1223
Fold2 Epoch5 | TrainAcc=91.39% | ValAcc=86.27% | TrainLoss=0.2920 | ValLoss=0.6446 | AvgGrad=0.1177
Fold2 Epoch6 | TrainAcc=92.76% | ValAcc=86.47% | TrainLoss=0.2446 | ValLoss=0.6205 | AvgGrad=0.1156
Fold2 Epoch7 | TrainAcc=93.77% | ValAcc=86.61% | TrainLoss=0.2122 | ValLoss=0.6295 | AvgGrad=0.1143
